db,spec_code,species,length
fb,2,oreochromis niloticus,25
fb,3,oreochromis mossambicus,24.550000190734863
fb,4,engraulis ringens,19.5
fb,5,orthopristis chrysoptera,22.95
fb,6,coryphaena hippurus,131
fb,7,coryphaena equiselis,104.2499984741211
fb,9,abalistes stellaris,51.75
fb,10,alectis indica,100
fb,12,cephalopholis cruentata,28
fb,14,epinephelus adscensionis,62.5
fb,15,epinephelus guttatus,52
fb,16,epinephelus itajara,189
fb,17,epinephelus morio,84.5
fb,18,epinephelus striatus,71
fb,19,balistes vetula,43.25
fb,20,argentina sphyraena,21.600000381469727
fb,21,benthosema glaciale,10.300000190734863
fb,22,callionymus reticulatus,17
fb,23,callionymus lyra,27.35
fb,24,clupea harengus,27.5
fb,25,gadiculus thori,15
fb,26,glyptocephalus cynoglossus,38
fb,27,lepidorhombus boscii,29.25
fb,28,lepidorhombus whiffiagonis,35.900001525878906
fb,29,merlangius merlangus,30.399999618530273
fb,30,merluccius merluccius,44
fb,31,micromesistius poutassou,31.4
fb,32,microchirus variegatus,19.2
fb,33,molva molva,107.75
fb,34,pollachius pollachius,83
fb,35,anguilla anguilla,68.6
fb,36,agonus cataphractus,17.35
fb,37,ammodytes marinus,17.399999618530273
fb,38,ammodytes tobianus,20
fb,39,aphia minuta,4.4
fb,40,argyropelecus affinis,4.4
fb,41,arnoglossus laterna,15.2
fb,42,arnoglossus imperialis,17.15
fb,43,arnoglossus thori,12.149999999999999
fb,44,chelidonichthys cuculus,28.100000381469727
fb,45,atherina presbyter,15.100000381469728
fb,46,melanolagus bericoides,20
fb,47,belone belone,51.15
fb,48,parablennius gattorugine,16.05
fb,49,blennius ocellaris,15
fb,51,brosme brosme,69.5
fb,52,buenia jeffreysii,5.1
fb,53,buglossidium luteum,13.5
fb,54,capros aper,12.2
fb,55,centrolabrus exoletus,13.099999904632568
fb,56,cepola macrophthalma,51.3
fb,57,chirolophis ascanii,25
fb,58,coris julis,16.8
fb,59,symphodus melops,21
fb,60,crystallogobius linearis,4.699999809265137
fb,61,ctenolabrus rupestris,15.599999904632568
fb,62,cyclopterus lumpus,57
fb,63,dicentrarchus labrax,53.75
fb,64,diplecogaster bimaculata,4.775
