species,value,trait
abramis brama,3.490022542322704,age to maturity
abramis brama,5.5,age to maturity
abramis brama,5,age to maturity
abramis brama,2.792018033858163,age to maturity
abramis brama,2.792018033858163,age to maturity
abramis brama,2.0940135253936223,age to maturity
abbottina rivularis,1,age to maturity
abyssocottus korotneffi,6.575508097244202,age to maturity
acanthocybium solandri,1.3151016194488403,age to maturity
acanthocybium solandri,2,age to maturity
acanthocybium solandri,1.3151016194488403,age to maturity
acanthocybium solandri,1.3151016194488403,age to maturity
acanthopagrus australis,5.260406477795361,age to maturity
acanthopagrus australis,3.945304858346521,age to maturity
acanthopagrus australis,5.260406477795361,age to maturity
acanthopagrus bifasciatus,4.599999904632568,age to maturity
acanthopagrus bifasciatus,2,age to maturity
acanthopagrus butcheri,2.0940135253936223,age to maturity
acanthopagrus butcheri,6.575508097244202,age to maturity
acanthopagrus butcheri,3.945304858346521,age to maturity
acanthopagrus butcheri,3.945304858346521,age to maturity
acanthopagrus butcheri,3,age to maturity
acanthopagrus latus,2.792018033858163,age to maturity
acanthopagrus pacificus,1.149999976158142,age to maturity
acanthopsetta nadeshnyi,7,age to maturity
acanthurus lineatus,4,age to maturity
acanthurus nigrofuscus,2,age to maturity
acanthurus nigrofuscus,2,age to maturity
acanthurus triostegus,1.3960090169290815,age to maturity
acentrogobius pflaumii,1,age to maturity
acheilognathus asmussii,3,age to maturity
achoerodus gouldii,17,age to maturity
achoerodus viridis,8,age to maturity
achondrostoma arcasii,2,age to maturity
achondrostoma arcasii,1.2000000476837158,age to maturity
achondrostoma arcasii,2.6302032388976806,age to maturity
acipenser baerii,17,age to maturity
acipenser baerii,11,age to maturity
acipenser baerii,7.678049593109948,age to maturity
acipenser baerii,16.05410369468444,age to maturity
acipenser baerii,9.77206311850357,age to maturity
acipenser baerii,12.564081152361734,age to maturity
acipenser baerii,12,age to maturity
acipenser baerii,16,age to maturity
acipenser baerii,6.282040576180867,age to maturity
acipenser baerii,15.356099186219897,age to maturity
acipenser baerii,23.732153287794386,age to maturity
acipenser baerii,9.07405861003903,age to maturity
acipenser baerii,13.960090169290815,age to maturity
acipenser baerii,12.564081152361734,age to maturity
acipenser baerii,8.37605410157449,age to maturity
acipenser baerii,12,age to maturity
acipenser baerii,16,age to maturity
acipenser baerii,10,age to maturity
acipenser baerii,18,age to maturity
acipenser baerii,16.75210820314898,age to maturity
acipenser baerii,9.77206311850357,age to maturity
acipenser baerii,9.07405861003903,age to maturity
acipenser baerii,16,age to maturity
acipenser baerii,4,age to maturity
acipenser baerii,15,age to maturity
acipenser baerii,20.242130745471684,age to maturity
acipenser baerii,6.980045084645408,age to maturity
acipenser baerii,12.564081152361734,age to maturity
acipenser baerii,6.980045084645408,age to maturity
acipenser baerii,8,age to maturity
acipenser baerii,10,age to maturity
acipenser baerii,10,age to maturity
acipenser baerii,13.960090169290815,age to maturity
acipenser baerii,19.54412623700714,age to maturity
acipenser baerii,16.75210820314898,age to maturity
acipenser baerii,26.30203238897681,age to maturity
acipenser baerii,19.726524291732606,age to maturity
acipenser brevirostrum,11.866076643897193,age to maturity
acipenser brevirostrum,4.886031559251785,age to maturity
acipenser brevirostrum,3.490022542322704,age to maturity
acipenser dabryanus,6.980045084645408,age to maturity
acipenser fulvescens,26,age to maturity
