species,troph,troph_se
oreochromis niloticus,2.0199999809265137,0
oreochromis mossambicus,2.77,0.36
engraulis ringens,2.859999895095825,0.3774
orthopristis chrysoptera,3.390000104904175,0.4657
coryphaena hippurus,4.5,0.87
coryphaena equiselis,4.5,0.6
abalistes stellaris,3.85,0.61
alectis indica,4.09,0.52
cephalopholis cruentata,4.16,0.73
epinephelus adscensionis,3.75,0.62
epinephelus guttatus,4.15,0.67
epinephelus itajara,4.03,0.57
epinephelus morio,3.63,0.71
epinephelus striatus,4.03,0.021400000000000002
balistes vetula,3.3399999141693115,0.451
argentina sphyraena,3.62,0.52
benthosema glaciale,3.14,0.29
callionymus reticulatus,3.28,0.39
callionymus lyra,3.27,0.38
clupea harengus,3.294999980926515,0.6300793600809346
gadiculus thori,3.51,0.5
glyptocephalus cynoglossus,3.45,0.41
lepidorhombus boscii,3.56,0.71
lepidorhombus whiffiagonis,3.51,0.69
merlangius merlangus,3.57,0.74
merluccius merluccius,4.43,1.05
micromesistius poutassou,3.94,0.57
microchirus variegatus,3.28,0.45
molva molva,4.27,0.73
pollachius pollachius,3.91,0.71
anguilla anguilla,3.67,0.74
agonus cataphractus,3.26,0.38
ammodytes marinus,3.27,0.4
ammodytes tobianus,3.16,0.32
aphia minuta,3.1,0.28
argyropelecus affinis,3.09,0.19
arnoglossus laterna,3.490000009536743,0.46659999999999996
arnoglossus imperialis,3.84,0.6
arnoglossus thori,3.72,0.57
chelidonichthys cuculus,3.6,0.73
atherina presbyter,3.67,0.43
melanolagus bericoides,3.4,0.45
belone belone,4.5,0.8
parablennius gattorugine,2.72,0.24
blennius ocellaris,3.49,0.43
brosme brosme,4.08,0.69
buenia jeffreysii,3.62,0.54
buglossidium luteum,3.31,0.42
capros aper,3.2,0.39
centrolabrus exoletus,3.5,0.5
cepola macrophthalma,3.130000114440918,0.2332
chirolophis ascanii,3.23,0.36
coris julis,3.240000009536743,0.4291
symphodus melops,3.32,0.52
crystallogobius linearis,3.4,0.45
ctenolabrus rupestris,3.5,0.49
cyclopterus lumpus,3.64,0.43
dicentrarchus labrax,3.47,0.5
diplecogaster bimaculata,3.25,0.4
echiodon drummondii,4.03,0.65
engraulis encrasicolus,3.12,0.36
entelurus aequoreus,3.5399999618530273,0.4397
eutrigla gurnardus,4.37,0.0101
gadus morhua,4.29,1
caranx hippos,3.83,0.66
gobius niger,3.359999895095825,0.4461
gobius paganellus,3.299999952316284,0.4531
pomatoschistus flavescens,3.18,0.34
