taxon,stressor,mean_vuln,sd_vuln,n_spp_known,n_spp_total,pct_spp_filled
cephalopods,air_temp,0,0,758,810,6.419999999999999
cephalopods,biomass_removal,0.65523,0,758,810,6.419999999999999
cephalopods,bycatch,0.24304,0,758,810,6.419999999999999
cephalopods,entanglement_macroplastic,0.12055,0,758,810,6.419999999999999
cephalopods,eutrophication_nutrient_pollution,0.41826,0,758,810,6.419999999999999
cephalopods,habitat_loss_degradation,0.26326,0,758,810,6.419999999999999
cephalopods,inorganic_pollution,0.38638,0,758,810,6.419999999999999
cephalopods,invasive_species,0,0,758,810,6.419999999999999
cephalopods,light_pollution,0,0,758,810,6.419999999999999
cephalopods,noise_pollution,0.19599,0,758,810,6.419999999999999
cephalopods,oa,0.38603,0,758,810,6.419999999999999
cephalopods,oceanographic,0.29128,0,758,810,6.419999999999999
cephalopods,organic_pollution,0.38159,0,758,810,6.419999999999999
cephalopods,plastic_pollution_microplastic,0.28178,0,758,810,6.419999999999999
cephalopods,poisons_toxins,0.32598,0,758,810,6.419999999999999
cephalopods,salinity,0.37512,0,758,810,6.419999999999999
cephalopods,sedimentation,0.27455,0,758,810,6.419999999999999
cephalopods,slr,0.16972,0,758,810,6.419999999999999
cephalopods,storm_disturbance,0.06655,0,758,810,6.419999999999999
cephalopods,uv,0,0,758,810,6.419999999999999
cephalopods,water_temp,0.3241,0,758,810,6.419999999999999
cephalopods,wildlife_strike,0.01883,0,758,810,6.419999999999999
corals,air_temp,0,0,283,602,52.99
corals,biomass_removal,0.62743,0,283,602,52.99
corals,bycatch,0,0,283,602,52.99
corals,entanglement_macroplastic,0,0,283,602,52.99
corals,eutrophication_nutrient_pollution,0.55539,0,283,602,52.99
corals,habitat_loss_degradation,0,0,283,602,52.99
corals,inorganic_pollution,0.41347,0,283,602,52.99
corals,invasive_species,0,0,283,602,52.99
corals,light_pollution,0,0,283,602,52.99
corals,noise_pollution,0,0,283,602,52.99
corals,oa,0.46301,0,283,602,52.99
corals,oceanographic,0,0,283,602,52.99
corals,organic_pollution,0.38584,0,283,602,52.99
corals,plastic_pollution_microplastic,0,0,283,602,52.99
corals,poisons_toxins,0.21282,0,283,602,52.99
corals,salinity,0.55535,0,283,602,52.99
corals,sedimentation,0.27275,0,283,602,52.99
corals,slr,0,0,283,602,52.99
corals,storm_disturbance,0.13779,0,283,602,52.99
corals,uv,0,0,283,602,52.99
corals,water_temp,0.40065,0,283,602,52.99
corals,wildlife_strike,0,0,283,602,52.99
crustacea_arthropods,air_temp,0.26824,0,113,1891,94.024
crustacea_arthropods,biomass_removal,0.69113,0,113,1891,94.024
crustacea_arthropods,bycatch,0.3172,0,113,1891,94.024
crustacea_arthropods,entanglement_macroplastic,0.12754,0,113,1891,94.024
crustacea_arthropods,eutrophication_nutrient_pollution,0.39335,0,113,1891,94.024
crustacea_arthropods,habitat_loss_degradation,0.0794,0,113,1891,94.024
