taxon,species,representative_to,comments_notes
corals,diploastrea heliopora,,
crustacea_arthropods,bythograea thermydron,,
crustacea_arthropods,mictyris platycheles,,
crustacea_arthropods,nymphon australe,,
crustacea_arthropods,palaemon elegans,,
crustacea_arthropods,paralithodes camtschaticus,,
crustacea_arthropods,scylla serrata,,
crustacea_arthropods,trapezia flavopunctata,,
echinoderms,actinopyga echinites,,
echinoderms,amphiodia occidentalis,,
echinoderms,amphipholis squamata,,
echinoderms,anneissia japonica,,
echinoderms,antedon mediterranea,,
echinoderms,aporometra wilsoni,,
echinoderms,apostichopus californicus,,
echinoderms,apostichopus japonicus,,
echinoderms,aquilonastra burtoni,,
echinoderms,arachnoides placenta,,
echinoderms,asterias rubens,,
echinoderms,asterina gibbosa,,
echinoderms,asterina phylactica,,
echinoderms,asterina stellifera,,
echinoderms,australostichopus mollis,,
echinoderms,breviturma brevipes,,
echinoderms,breviturma dentata,,
echinoderms,breviturma doederleini,,
echinoderms,breviturma longispina,,
echinoderms,breviturma pica,,
echinoderms,breviturma pusilla,,
echinoderms,brisaster latifrons,,
echinoderms,centrostephanus rodgersii,,
echinoderms,cryptasterina hystera,,
echinoderms,cryptasterina pacifica,,
echinoderms,cryptasterina pentagona,,
echinoderms,cucumaria frondosa,,
echinoderms,cucumaria miniata,,
echinoderms,cucumaria piperata,,
echinoderms,cucumaria pseudocurata,,
echinoderms,dendraster excentricus,,
echinoderms,diadema antillarum,,
echinoderms,diadema savignyi,,
echinoderms,diadema setosum,,
echinoderms,echinocardium cordatum,,
echinoderms,eupentacta quinquesemita,,
echinoderms,evechinus chloroticus,,
echinoderms,florometra serratissima,,
echinoderms,gorgonocephalus eucnemis,,
echinoderms,heliocidaris crassispina,,
echinoderms,heliocidaris erythrogramma,,
echinoderms,heliocidaris tuberculata,,
echinoderms,holopneustes purpurascens,,
echinoderms,holothuria (halodeima) atra,,
echinoderms,holothuria (metriatyla) scabra,,
echinoderms,holothuria (panningothuria) forskali,,
echinoderms,leptopentacta elongata,,
echinoderms,leptosynapta clarki,,
echinoderms,loxechinus albus,,
echinoderms,meridiastra atyphoida,,
echinoderms,meridiastra calcar,,
echinoderms,meridiastra gunnii,,
echinoderms,meridiastra mortenseni,,
echinoderms,meridiastra occidens,,
echinoderms,meridiastra oriens,,
echinoderms,mesocentrotus franciscanus,,
echinoderms,molpadia intermedia,,
echinoderms,odontaster validus,,
echinoderms,ophiocoma aethiops,,
echinoderms,ophiocoma echinata,,
echinoderms,ophiocoma erinaceus,,
echinoderms,ophiocoma scolopendrina,,
echinoderms,ophiocomella alexandri,,
echinoderms,ophiocomella ophiactoides,,
echinoderms,ophiocomella pumila,,
echinoderms,ophiomastix annulosa,,
echinoderms,ophiomastix caryophyllata,,
echinoderms,ophiomastix elegans,,
echinoderms,ophiomastix endeani,,
echinoderms,ophiomastix janualis,,
echinoderms,ophiomastix macroplaca,,
echinoderms,ophiomastix marshallensis,,
echinoderms,ophiomastix mixta,,
echinoderms,ophiomastix occidentalis,,
echinoderms,ophiomastix pictum,,
echinoderms,ophiomastix venosa,,
echinoderms,ophiomastix wendtii,,
echinoderms,ophiopholis aculeata,,
echinoderms,ophiura sarsii,,
echinoderms,parvulastra exigua,,
echinoderms,parvulastra parvivipara,,
echinoderms,parvulastra vivipara,,
echinoderms,patiria chilensis,,
echinoderms,patiria miniata,,
echinoderms,patiria pectinifera,,
echinoderms,patiriella regularis,,
echinoderms,pentamera populifera,,
echinoderms,pisaster ochraceus,,
echinoderms,psammechinus miliaris,,
echinoderms,pseudocnus lubricus,,
echinoderms,psolidium bullatum,,
echinoderms,psolus chitonoides,,
echinoderms,pycnopodia helianthoides,,
echinoderms,strongylocentrotus droebachiensis,,
echinoderms,strongylocentrotus fragilis,,
echinoderms,strongylocentrotus pallidus,,
echinoderms,strongylocentrotus purpuratus,,
echinoderms,tripneustes gratilla,,
echinoderms,tripneustes kermadecensis,,
fish,acanthochromis polyacanthus,,
fish,acanthopagrus australis,,
fish,acanthurus dussumieri,,
fish,acromycter perturbator,,
fish,alcichthys elongatus,,
fish,alectis ciliaris,,
fish,alepes vari,,
fish,amphichthys cryptocentrus,,
fish,amphiprion akindynos,,
fish,ancylopsetta cycloidea,,
fish,ancylopsetta kumperae,,
fish,anguilla australis,,
fish,antipodocottus galatheae,,
fish,apogon indicus,,
fish,apogonichthys ocellatus,,
fish,apterichtus kendalli,,
fish,ariosoma selenops,,
fish,arnoglossus brunneus,,
fish,arnoglossus imperialis,,
fish,arnoglossus rueppelii,,
fish,artediellichthys nigripinnis,,
fish,artedielloides auriculatus,,
fish,asarcenchelys longimanus,,
fish,austroglossus microlepis,,
fish,balistoides viridescens,,
fish,bassozetus robustus,,
fish,bathycongrus retrotinctus,,
fish,bathycongrus vicinalis,,
fish,bathypterois grallator,,
fish,bathyuroconger vicinus,,
fish,batrachoides surinamensis,,
fish,benthocometes robustus,,
fish,benthosema pterotum,,
fish,bhanotia nuda,,
fish,bothus mancus,,
fish,brachionichthys hirsutus,,
fish,brachirus harmandi,,
fish,brachirus sorsogonensis,,
fish,brachypleura novaezeelandiae,,
fish,brachysomophis longipinnis,,
fish,bryx veleronis,,
fish,buglossidium luteum,,
fish,calamopteryx jeb,,
fish,callechelys bitaeniata,,
fish,caranx crysos,,
fish,caranx sexfasciatus,,
fish,carapus bermudensis,,
fish,careproctus cactiformis,,
fish,careproctus herwigi,,
fish,careproctus mederi,,
fish,careproctus minimus,,
fish,careproctus pallidus,,
fish,centropogon latifrons,,
fish,cephalopholis cyanostigma,,
fish,cetoscarus bicolor,,
fish,chaetodon auriga,,
fish,chaetodon triangulum,,
fish,chaetodon trifascialis,,
fish,champsocephalus gunnari,,
fish,chanos chanos,,
fish,chascanopsetta crumenalis,,
fish,cheilodipterus singapurensis,,
fish,chelidonichthys kumu,,
fish,chlopsis kazuko,,
fish,chromis atripectoralis,,
fish,chromis dispilus,,
fish,cirripectes alleni,,
fish,cirripectes filamentosus,,
fish,citharichthys gymnorhinus,,
fish,citharichthys mariajorisae,,
fish,clinocottus globiceps,,
fish,clupea harengus,,
fish,cociella punctata,,
fish,cocotropus roseus,,
fish,coloconger japonicus,,
fish,conger verreauxi,,
fish,congiopodus torvus,,
fish,congriscus maldivensis,,
fish,coryphaena hippurus,,
fish,corythoichthys amplexus,,
fish,cosmocampus elucens,,
fish,crossosalarias macrospilus,,
fish,cynoglossus maccullochi,,
fish,dactyloptena gilberti,,
fish,daector dowi,,
fish,decapterus russelli,,
fish,derichthys serpentinus,,
fish,dermatopsoides talboti,,
fish,diancistrus novaeguineae,,
fish,diaphus diadematus,,
fish,diaphus holti,,
fish,diaphus rafinesquii,,
fish,dicologlossa cuneata,,
fish,dicrolene hubrechti,,
fish,dicrolene multifilis,,
fish,dicrolene nigra,,
fish,dissostichus eleginoides,,
fish,doryrhamphus janssi,,
fish,ebinania brephocephala,,
fish,ecsenius trilineatus,,
fish,encheliophis gracilis,,
fish,enchelycore schismatorhynchus,,
fish,enophrys taurina,,
fish,entomacrodus macrospilus,,
fish,entomacrodus stellifer,,
fish,eopsetta jordani,,
fish,epinephelus coioides,,
fish,epinephelus fasciatus,,
fish,epinephelus itajara,,
fish,epinephelus lanceolatus,,
fish,eptatretus cirrhatus,,
fish,eptatretus mendozai,,
fish,erisphex pottii,,
fish,ethadophis akkistikos,,
fish,ethadophis merenda,,
fish,etropus rimosus,,
fish,eumicrotremus barbatus,,
fish,eviota sigillata,,
fish,exocoetus volitans,,
fish,facciolella karreri,,
fish,fibramia amboinensis,,
fish,foa madagascariensis,,
fish,forsterygion varium,,
fish,gadus morhua,,
fish,galaxias brevipinnis,,
fish,gobiodon citrinus,,
fish,gobiodon histrio,,
fish,gorgasia maculata,,
fish,grammonus robustus,,
fish,gymnapogon melanogaster,,
fish,gymnothorax javanicus,,
fish,hemilepidotus papilio,,
fish,hephthocara simum,,
fish,heteroconger klausewitzi,,
fish,heteroconger taylori,,
fish,hippichthys spicifer,,
fish,hippocampus abdominalis,,
fish,hippocampus ingens,,
fish,hippocampus sindonis,,
fish,hippoglossina stomata,,
fish,hippoglossus stenolepis,,
fish,hoplostethus atlanticus,,
