category,trait,sheet,trait_val_orig,abdopus large eggs,abdopus small eggs,abralia,abraliopsis,adelieledone adeliana,adelieledone piatkowski,aestuariolus noctiluca,afrololigo mercatoris,allonautilus,alloteuthis,alluroteuthis antarctica,ameloctopus llitoralis,amphioctopus large eggs,amphioctopus small eggs,amphitretidae,ancistrocheirus lesueurii,ancistroteuthis lichtensteinii,architeuthis dux,argonauta,asperoteuthis,australiteuthis aldrichi,austrorossia,bathothauma lyromma,bathypolypus arcticus,bathypolypus bairdii,bathypolypus ergasticus,bathypolypus pugniger,bathypolypus rubrostiictus,bathypolypus sponsalis,bathypolypus valdiviae,bathypurata profundorum,batoteuthis skolops,bentheledone rotunda,berryteuthis,brachioteuthis,callistoctopus large eggs,callistoctopus small eggs,chiroteuthis,cirroctopus glacialis,cirroteuthis muelleri,cirrothauma magna,cirrothauma murrayi,cistopus large eggs,cistopus small eggs,cranchia scabra,cryptoteuthis brevibracchiata,cycloteuthis,discoteuthis,doryteuthis,dosidicus gigas,egea inermis,eledone,enoploteuthis,enteroctopus dofleini,enteroctopus magnificus,enteroctopus megalocyathus,eogonatus tinro,euaxoctopus,eucleoteuthis luminosa,euprymna,filippovia knipovitchi,galiteuthis,galiteuthis glacialis,gonatopsis,gonatus,graneledone antarctica,graneledone boreopacifica,graneledone challengeri,graneledone gonzalezi,graneledone macrotyla,graneledone taniwha,graneledone verrucosa,graneledone yamana,grimalditeuthis,grimpella thaumastocheir,grimpoteuthis abyssicola,grimpoteuthis bathynectes,grimpoteuthis boylei,grimpoteuthis challengeri,grimpoteuthis discoveryi,grimpoteuthis hippocrepium,grimpoteuthis innominata,grimpoteuthis meangensis,grimpoteuthis megaptera,grimpoteuthis pacfica,grimpoteuthis plena,grimpoteuthis tuftsi,grimpoteuthis umbellata,grimpoteuthis wuelkeri,haliphron,hapalochlaena,hapalochlaena lunulata,helicocranchia,heterololigo bleekeri,heteroteuthinae,histioteuthis,histoctopus,hyaloteuthis pelagica,idiosepius,illex,inioteuthis japonica,joubiniteuthis portieri,lampadioteuthis megaleia,leachia,lepidoteuthis grimaldi,liguriella podophtalma,liocranchia,loligo,loliolus (loliolus),loliolus nipponololigo,lolliguncula,luteuthis dentatus,luteuthis shuishi,lycoteuthis,macrotritopus,magnapinna,martialia hyadesi,mastigoteuthis s.l.,megaleledone setebos,megalocranchia,mesonychoteuthis hamiltoni,metasepia,microeledone mangoldae,moroteuthopsis,muusoctopus abruptus,muusoctopus berryi,muusoctopus bizikovi,muusoctopus canthylus,muusoctopus clyderoperi,muusoctopus eureka,muusoctopus hokkaidensis,muusoctopus januarii,muusoctopus johnsonianus,muusoctopus karubar,muusoctopus leioderma,muusoctopus levis,muusoctopus longibrachus,muusoctopus normani,muusoctopus oregonae,muusoctopus oregonensis,muusoctopus profundorum,muusoctopus pseudonymus,muusoctopus rigbyae,muusoctopus robustus,muusoctopus sibiricus,muusoctopus tangaroa,muusoctopus tegginmathae,muusoctopus thielei,muusoctopus yaquinae,narrowteuthis nesisi,natuilus sp associate with small isolated reefs,nautlus species associated with reefs connected with shelf,nematolampas,neorossia,neoteuthis dimegacotyle,neoteuthis thielei,notonykia,nototodarus,nototodarus hawaiiensis,octopoteuthis,octopus large eggs,octopus small eggs,ocythoe,ommastrephes bartramii,onychoteuthis,onykia,opisthoteuthis agassizii,opisthoteuthis albatrossi,opisthoteuthis borealis,opisthoteuthis bruuni,opisthoteuthis californiana,opisthoteuthis calypso,opisthoteuthis chathamensis,opisthoteuthis depressa,opisthoteuthis dongshaensis,opisthoteuthis extensa,opisthoteuthis grimaldii,opisthoteuthis hardyi,opisthoteuthis japonica,opisthoteuthis massyae,opisthoteuthis medusoides,opisthoteuthis mero,opisthoteuthis persephone,opisthoteuthis philippi,opisthoteuthis pluto,opisthoteuthis robsoni,ornithoteuthis,pareledone aequipapillae,pareledone albimaculata,pareledone aurata,pareledone aurorae,pareledone charcoti,pareledone cornuta,pareledone felix,pareledone framensis,pareledone harrissoni,pareledone panchroma,pareledone prydzensis,pareledone serperastrata,pareledone subtilis,pareledone turqueti,paroctopus,pholidoteuthis,pickfordiateuthis (other species),pickfordiateuthis pulchella,planctoteuthis,praealtus albida,promachoteuthis,psychroteuthis glacialis,pteroctopus,pterygioteuthis,pyroteuthis,robsonella fontanianus,rondeletiola,rossia,sandalops melancholicus,sasakiopus salebrosus,scaergus,selenoteuthis scintillans,semirossia,sepia (others),sepia apama,sepia bandensis,sepia latimanus,sepiadariidae,sepiella,sepietta,sepiola,sepioteuthis,slosarczykovia circumantarctica,spirula spirula,stauroteuthis gilchristi,stauroteuthis syrtensis,sthenoteuthis,stigmatoteuthis,taningia danae,taonius,tetracheledone spinicirrus,teuthowenia,thaumeledone brevis,thaumeledone gunteri,thaumeledone marshalli,thaumeledone peninsulae,thaumeledone zeiss,thaumoctopus mimicus,thysanoteuthis rhombus,todarodes,todaropsis eblanae,tremoctopus,uroteuthis,vampyromorpha infernalis,velodona togata,vosseledone charrua,vulcanoctopus hydrothermalis,walvisteuthis,watasenia scintillans,wunderpus
biophysical traits,adult body mass/body size,cephalopods,>1000 mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>1000mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>1000mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>1000mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>1000mm,>1000mm,NA,NA,>1000mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>1000mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>1000mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>1000mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,>1000mm,>1000mm,NA,>1000mm,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,adult body mass/body size,cephalopods,0.5-49 mm,NA,NA,0.5-49mm,0.5-49mm,NA,NA,NA,0.5-49mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5-49mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5-49mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5-49mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5-49mm,NA,NA,NA,0.5-49mm,NA,0.5-49mm,NA,NA,NA,NA,NA,NA,NA,0.5-49mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5-49mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5-49mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5-49mm,0.5-49mm,0.5-49mm,NA,NA,NA,NA,0.5-49mm,0.5-49mm,NA,0.5-49mm,0.5-49mm,NA,NA,NA,0.5-49mm,0.5-49mm,NA,NA,NA,NA,0.5-49mm,NA,0.5-49mm,0.5-49mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,adult body mass/body size,cephalopods,50 mm-999 mm,50mm-999mm,50mm-999mm,NA,NA,50mm-999mm,50mm-999mm,50mm-999mm,NA,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,NA,50mm-999mm,50mm-999mm,NA,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,NA,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,NA,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,NA,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,NA,50mm-999mm,50mm-999mm,50mm-999mm,NA,50mm-999mm,NA,50mm-999mm,NA,50mm-999mm,NA,50mm-999mm,50mm-999mm,50mm-999mm,NA,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,NA,NA,50mm-999mm,NA,NA,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,NA,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,NA,NA,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,NA,NA,NA,NA,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,NA,NA,50mm-999mm,NA,NA,50mm-999mm,50mm-999mm,50mm-999mm,NA,NA,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,NA,50mm-999mm,NA,NA,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,NA,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,NA,NA,50mm-999mm,NA,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm
biophysical traits,biomineral,cephalopods,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite
biophysical traits,calcium carbonate structure location,cephalopods,external with a cover,external with a cover,external with a cover,NA,NA,external with a cover,external with a cover,NA,NA,external with a cover,NA,NA,external with a cover,external with a cover,external with a cover,external with a cover,NA,NA,NA,external with a cover,NA,NA,NA,NA,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,NA,external with a cover,NA,NA,external with a cover,external with a cover,NA,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,NA,external with a cover,NA,NA,NA,NA,NA,external with a cover,NA,external with a cover,external with a cover,external with a cover,NA,external with a cover,NA,NA,NA,NA,NA,NA,NA,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,NA,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,NA,NA,NA,NA,external with a cover,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,external with a cover,external with a cover,NA,external with a cover,NA,NA,NA,external with a cover,NA,NA,NA,external with a cover,NA,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,NA,external with a cover,external with a cover,NA,NA,NA,NA,NA,NA,NA,NA,external with a cover,external with a cover,external with a cover,NA,NA,NA,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,NA,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,NA,NA,NA,NA,external with a cover,NA,NA,external with a cover,NA,NA,external with a cover,NA,NA,NA,external with a cover,external with a cover,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,external with a cover,external with a cover,NA,NA,NA,NA,external with a cover,NA,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,external with a cover,NA,NA,NA,external with a cover,NA,NA,external with a cover,external with a cover,external with a cover,NA,NA,external with a cover
biophysical traits,calcium carbonate structure location,cephalopods,internal,NA,NA,internal,internal,NA,NA,internal,internal,NA,internal,internal,NA,NA,NA,NA,internal,internal,internal,NA,internal,internal,internal,internal,NA,NA,NA,NA,NA,NA,NA,NA,internal,NA,internal,internal,NA,NA,internal,NA,NA,NA,NA,NA,NA,internal,NA,internal,internal,internal,internal,internal,NA,internal,NA,NA,NA,internal,NA,internal,internal,internal,internal,internal,internal,internal,NA,NA,NA,NA,NA,NA,NA,NA,internal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,internal,internal,internal,internal,NA,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,NA,NA,internal,NA,internal,internal,internal,NA,internal,internal,internal,NA,internal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,internal,NA,NA,internal,internal,internal,internal,internal,internal,internal,internal,NA,NA,NA,internal,internal,internal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,internal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,internal,internal,internal,internal,NA,internal,internal,NA,internal,internal,NA,internal,internal,internal,NA,NA,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,NA,NA,internal,internal,internal,internal,NA,internal,NA,NA,NA,NA,NA,NA,internal,internal,internal,NA,internal,internal,NA,NA,NA,internal,internal,NA
biophysical traits,calcium carbonate structure stages,cephalopods,adult,adult,adult,NA,NA,adult,adult,NA,NA,adult,NA,NA,adult,adult,adult,adult,NA,NA,NA,adult,NA,NA,NA,NA,adult,adult,adult,adult,adult,adult,adult,adult,NA,adult,NA,NA,adult,adult,NA,adult,adult,adult,adult,adult,adult,NA,adult,NA,NA,NA,NA,NA,adult,NA,adult,adult,adult,NA,adult,NA,NA,NA,NA,NA,NA,NA,adult,adult,adult,adult,adult,adult,adult,adult,NA,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,NA,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,adult,adult,NA,adult,NA,NA,NA,adult,NA,NA,NA,adult,NA,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,NA,adult,adult,NA,NA,NA,NA,NA,NA,NA,NA,adult,adult,adult,NA,NA,NA,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,NA,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,NA,NA,NA,NA,adult,NA,NA,adult,NA,NA,adult,NA,NA,NA,adult,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,adult,adult,NA,NA,NA,NA,adult,NA,adult,adult,adult,adult,adult,adult,NA,NA,NA,adult,NA,adult,adult,adult,adult,NA,NA,adult
biophysical traits,calcium carbonate structure stages,cephalopods,both,NA,NA,both,both,NA,NA,both,both,NA,both,both,NA,NA,NA,NA,both,both,both,NA,both,both,both,both,NA,NA,NA,NA,NA,NA,NA,NA,both,NA,both,both,NA,NA,both,NA,NA,NA,NA,NA,NA,both,NA,both,both,both,both,both,NA,both,NA,NA,NA,both,NA,both,both,both,both,both,both,both,NA,NA,NA,NA,NA,NA,NA,NA,both,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,both,both,both,both,NA,both,both,both,both,both,both,both,both,both,both,both,both,both,both,NA,NA,both,NA,both,both,both,NA,both,both,both,NA,both,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,both,NA,NA,both,both,both,both,both,both,both,both,NA,NA,NA,both,both,both,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,both,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,both,both,both,both,NA,both,both,NA,both,both,NA,both,both,both,NA,NA,both,both,both,both,both,both,both,both,both,both,both,both,both,NA,NA,both,both,both,both,NA,both,NA,NA,NA,NA,NA,NA,both,both,both,NA,both,NA,NA,NA,NA,both,both,NA
biophysical traits,communication requirement (sound),cephalopods,No,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
biophysical traits,extreme pressure wave sensitive structures,cephalopods,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high
