category,trait,bythograea thermydron,mictyris platycheles,nymphon australe,palaemon elegans,paralithodes camtschaticus,penaeus,pycnogonida,scylla serrata,trapezia flavopunctata
biomass removal,biomass removal sensitivity trait,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive
biophysical traits,adult body mass/body size,50mm-999mm,0.5mm-49mm,0.5mm-49mm,0.5mm-49mm;50mm-999mm,50mm-999mm,50mm-999mm,0.5mm-49mm,50mm-999mm,50mm-999mm
biophysical traits,biomineral,calcite;chitin/caco3 mix,calcite;chitin/caco3 mix,NA,aragonite;calcite;chitin/caco3 mix,calcite;chitin/caco3 mix,calcite,NA,calcite;chitin/caco3 mix,calcite;chitin/caco3 mix
biophysical traits,calcium carbonate structure location,external,external,none,external;internal,external,external,none,external,external
biophysical traits,calcium carbonate structure stages,both,both,none,both,both,both,none,both,both
biophysical traits,communication requirement (sound),no,no,none,no,no,none,none,no,no
biophysical traits,extreme pressure wave sensitive structures,low,low,none,NA,low,high,none,low,low
biophysical traits,flight,no,no,no,no,no,no,no,no,no
biophysical traits,navigation requirements (light),yes,yes,NA,yes,yes,yes,NA,yes,yes
biophysical traits,respiration structures,gills,gills,skin or cuticle,gills,gills,gills;filter feeders,skin or cuticle,gills,gills
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",NA,NA,NA,small,NA,large,very small,NA,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,many,many,many,few,many,does not aggregate,few,many,many
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,no,no,no,difficult to say-they may be dependent on th intertidal pools in summer and the offshore waters in winter.,no,none,yes,no,no
foraging range,"if one/few, size",NA,NA,NA,unknown,NA,NA,very small,NA,NA
foraging range,"number of sites, incl. terrestrial wetlands",many,many,NA,many,many,many,one,many,many
foraging range,sub-population dependence on particular sites,NA,NA,no,unknown,NA,none,yes,NA,NA
movement,adult mobility,mobile resident,mobile resident,mobile resident;horizontal migrator,mobile resident;horizontal migrator,vertical migrator;horizontal migrator,vertical migrator;horizontal migrator;nomadic,mobile resident,mobile resident;horizontal migrator,mobile resident
movement,planktonic larval duration (pld) exposure,<1week,unknown,unknown,unknown,<4months,unknown,unknown,<1month,unknown
physiological tolerance breadths,dissolved oxygen,high tolerance,air breathers,unknown,high tolerance,low tolerance,character(0),unknown,high tolerance,low tolerance
physiological tolerance breadths,ph,<7.4,7.8-8.2,<7.4,<7.4,7.8-8.2,<7.4,<7.4,7.8-8.2,7.8-8.2
physiological tolerance breadths,salinity,na,na,stenohaline,euryhaline,na,euryhaline,stenohaline,na,na
physiological tolerance breadths,sensitivity to wave energy (physical forcing),not sensitive,not sensitive,NA,na,not sensitive,NA,NA,not sensitive,not sensitive
physiological tolerance breadths,sst rise sensitivity trait,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,25c,30c,NA,NA,10c,25c,10c,30c,25c
r (reproductive traits),age to 1st reproduction/generation time,unknown,1-5yrs,5-10yrs,1-5yrs,5-10yrs,<1yr,1-5yrs,1-5yrs,1-5yrs
r (reproductive traits),are there sub-populations?,yes,yes,NA,NA,yes,NA,NA,yes,yes
r (reproductive traits),can the sex ratio be altered by temperature?,unknown,unknown,no,no,unknown,no,no,unknown,unknown
r (reproductive traits),fecundity,NA,>10000,100-1000,10-20;20-50;50-100,>10000,>10000,10-20;20-50;50-100,>10000,>10000
r (reproductive traits),feeding larva (post-hatching metamorphosis),feeding calcifier,feeding calcifier,feeding non-calcifier,feeding calcifier,feeding calcifier,feeding calcifier,feeding non-calcifier,feeding calcifier,feeding calcifier
r (reproductive traits),global population size,>1m,>1m,<1000;1k-10k,100k-1m;>1m,>1m,100k-1m;>1m,1k-10k,>1m,>1m
r (reproductive traits),lifetime # reproductive opportunities,unknown,2-10,26-50,2-10,11-25,>100,11-25,2-10,unknown
r (reproductive traits),max age,1-5yrs,1-5yrs,NA,NA,20-100yrs,NA,NA,1-5yrs,1-5yrs
r (reproductive traits),parental investment,egg-layer,spawner,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,live birth/egg care,spawner,egg-layer
r (reproductive traits),post-birth/hatching parental dependence,na,na,NA,NA,<week,NA,NA,na,na
r (reproductive traits),reproductive strategy,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious
spatial scale of species,depth (min/max),epipelagic;mesopelagic,epipelagic,epipelagic;mesopelagic;bathypelagic,epipelagic,epipelagic,epipelagic,epipelagic,epipelagic;mesopelagic,epipelagic
spatial scale of species,eoo (range),<99,<99,>20000,100-4999,<99,>20000,<99,<99,<99
spatial scale of species,zone,demersal,intertidal,benthic,intertidal,intertidal,demersal,benthic,intertidal,benthic
specialisation,across-stage dependent habitats + condition,deep hard bottom;hydrothermal vents,estuary;mangrove;intertidal mud;beach,NA,NA,intertidal mud;beach,NA,NA,intertidal mud;mangrove;estuary,coral reef
specialisation,air-sea interface,no,yes,no,no,yes,none,yes,yes,yes
specialisation,dependent interspecific interactions,no,no,yes,no,no,none,yes,no,yes w;coral
specialisation,extreme diet specialization,generalist,generalist,specialist,generalist,generalist,generalist,specialist,generalist,generalist
specialisation,habitat forming,no,no,no,no,no,no,no,no,no
specialisation,photosynthetic,no,no,no,no,no,no,no,no,no
specialisation,terrestrial and marine life stages,no,no,NA,no,no,NA,NA,no,no
specialisation,within-stage dependent habitats + condition,deep hard bottom;hydrothermal vents,estuary;mangrove;intertidal mud;beach,deep soft bottom,subtidal soft bottom;rocky reef;rocky intertidal,kelp forest;hide for first year of life here,NA,rocky intertidal;coral reef,surface water;during planktonic stage,coral reef
