category,trait,acanthochromis polyacanthus,acanthurus dussumieri,acromycter perturbator,amphiprion akindynos,anguilla australis,apterichtus kendalli,ariosoma selenops,asarcenchelys longimanus,balistoides viridescens,bathycongrus retrotinctus,bathycongrus vicinalis,bathypterois grallator,bathyuroconger vicinus,brachionichthys hirsutus,brachysomophis longipinnis,callechelys bitaeniata,carapus bermudensis,cephalopholis cyanostigma,cetoscarus bicolor,chaetodon auriga,chaetodon triangulum,chaetodon trifascialis,champsocephalus gunnari,chanos chanos,chlopsis kazuko,cirripectes alleni,cirripectes filamentosus,clupea harengus,coloconger japonicus,conger verreauxi,congriscus maldivensis,coryphaena hippurus,crossosalarias macrospilus,derichthys serpentinus,dissostichus eleginoides,ecsenius trilineatus,encheliophis gracilis,enchelycore schismatorhynchus,engraulis ringens,entomacrodus macrospilus,entomacrodus stellifer,epinephelus itajara,epinephelus lanceolatus,eptatretus cirrhatus,eptatretus mendozai,ethadophis akkistikos,ethadophis merenda,eviota sigillata,exocoetus volitans,facciolella karreri,forsterygion varium,gadus morhua,galaxias brevipinnis,gobiodon citrinus,gobiodon histrio,gorgasia maculata,gymnothorax javanicus,heteroconger klausewitzi,heteroconger taylori,hippocampus abdominalis,hippoglossus stenolepis,hoplostethus atlanticus,hoplunnis schmidti,hygophum proximum,hypleurochilus bananensis,hypsoblennius striatus,katsuwonus pelamis,kaupichthys brachychirus,lutjanus carponotatus,lutjanus sebae,meuschenia scaber,monopenchelys acuta,moringua edwardsi,naso vlamingii,nessorhamphus danae,notolabrus celidotus,omobranchus anolius,omobranchus fasciolatus,omobranchus rotundiceps,oncorhynchus nerka,ophichthus altipennis,ophichthus melanoporus,ostorhinchus doederleini,parablennius parvicornis,parablennius yatabei,parablennius zvonimiri,parapercis colias,parenchelyurus hepburni,parma microlepis,phycodurus eques,plectropomus leopardus,pomacentrus coelestis,praealticus dayi,rexea solandri,rhinomuraena quaesita,salarias ceramensis,salarias fasciatus,salarias sinuosus,saurenchelys fierasfer,saurenchelys meteori,scarus schlegeli,sebastes diploproa,serrivomer lanceolatoides,simenchelys parasitica,skythrenchelys zabra,spratelloides delicatulus,synaphobranchus affinis,synaphobranchus kaupii,synaphobranchus oregoni,thunnus maccoyii,uropterygius fuscoguttatus,uropterygius wheeleri,venefica tentaculata,xenomystax trucidans,xestochilus nebulosus
biomass removal,biomass removal vulnerability trait,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable,vulnerable
biophysical traits,adult body mass/body size,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,>1000mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,>1000mm,>1000mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,>1000mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,>1000mm,50mm-999mm,>1000mm,50mm-999mm,50mm-999mm,50mm-999mm,0.5mm-49mm,50mm-999mm,>1000mm,50mm-999mm,0.5mm-49mm,50mm-999mm,>1000mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,0.5mm-49mm,50mm-999mm,50mm-999mm,50mm-999mm,>1000mm,50mm-999mm,50mm-999mm,0.5mm-49mm,50mm-999mm,>1000mm,50mm-999mm,50mm-999mm,0.5mm-49mm,>1000mm,50mm-999mm,50mm-999mm,>1000mm,50mm-999mm,50mm-999mm,>1000mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,>1000mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,0.5mm-49mm,50mm-999mm,0.5mm-49mm,>1000mm,50mm-999mm,50mm-999mm,>1000mm,>1000mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,>1000mm,>1000mm,>1000mm,>1000mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm
biophysical traits,biomineral,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,NA,NA,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite;calcite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite
biophysical traits,calcium carbonate structure location,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,none,none,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal,internal
biophysical traits,calcium carbonate structure stages,both,both,adult,both,both,adult,adult,adult,both,adult,adult,both,adult,both,adult,adult,both,both,both,both,both,both,both,both,adult,adult,adult,both,adult,adult,adult,both,adult,adult,both,adult,both,adult,both,adult,adult,both,both,none,none,adult,adult,both,both,adult,both,both,both,both,both,adult,both,adult,adult,both,both,both,adult,both,adult,adult,both,adult,both,both,both,adult,adult,both,adult,both,adult,adult,adult,both,adult,adult,both,adult,adult,adult,both,adult,both,both,both,both,adult,both,adult,adult,both,adult,adult,adult,both,both,adult,adult,adult,both,adult,adult,adult,both,adult,adult,adult,adult,adult
biophysical traits,communication requirement (sound),no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
biophysical traits,extreme pressure wave sensitive structures,low,medium,none,low,low,none,none,none,medium,none,none,low,none,low,none,none,medium,low,medium,low,low,low,low,low,none,none,none,medium,none,none,none,low,none,none,low,none,medium,none,low,none,none,low,low,none,none,none,none,low,low,none,medium,low,low,low,low,none,medium,none,none,medium,low,low,none,low,none,none,low,none,medium,medium,medium,none,none,medium,none,medium,none,none,none,low,none,none,low,none,none,none,medium,none,low,medium,low,low,none,low,none,none,medium,none,none,none,medium,medium,none,none,none,medium,none,none,none,low,none,none,none,none,none
biophysical traits,flight,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NA,NA,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
biophysical traits,navigation requirements (light),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,navigation requirements (magnetic),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
