category,trait,sheet,trait_val_orig,acromycter perturbator,apterichtus kendalli,ariosoma selenops,asarcenchelys longimanus,bathycongrus retrotinctus,bathycongrus vicinalis,bathyuroconger vicinus,brachysomophis longipinnis,callechelys bitaeniata,chlopsis kazuko,cirripectes alleni,cirripectes filamentosus,coloconger japonicus,conger verreauxi,crossosalarias macrospilus,derichthys serpentinus,ecsenius trilineatus,enchelycore schismatorhynchus,entomacrodus macrospilus,entomacrodus stellifer,eptatretus cirrhatus,eptatretus mendozai,ethadophis akkistikos,ethadophis merenda,facciolella karreri,gorgasia maculata,heteroconger klausewitzi,heteroconger taylori,hoplunnis schmidti,hypleurochilus bananensis,hypsoblennius striatus,kaupichthys brachychirus,monopenchelys acuta,moringua edwardsi,nessorhamphus danae,omobranchus anolius,omobranchus fasciolatus,omobranchus rotundiceps,ophichthus altipennis,ophichthus melanoporus,parablennius parvicornis,parablennius yatabei,parablennius zvonimiri,parenchelyurus hepburni,praealticus dayi,rhinomuraena quaesita,salarias ceramensis,salarias sinuosus,saurenchelys fierasfer,saurenchelys meteori,serrivomer lanceolatoides,simenchelys parasitica,skythrenchelys zabra,synaphobranchus affinis,synaphobranchus kaupii,synaphobranchus oregoni,thalassenchelys foliaceus (aka congriscus maldivensis),uropterygius fuscoguttatus,uropterygius wheeleri,venefica tentaculata,xenomystax trucidans,xestochilus nebulosus
biophysical traits,adult body mass/body size,fish_Beth,>1000 mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>1000mm,NA,NA,NA,>1000mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>1000mm,NA,NA,NA,NA,NA,NA,>1000mm,NA,NA,NA,NA,NA,NA,NA,>1000mm,>1000mm,>1000mm,NA,NA,NA,NA,NA,NA
biophysical traits,adult body mass/body size,fish_Beth,>1000mm,NA,NA,NA,NA,NA,NA,>1000mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,adult body mass/body size,fish_Beth,0.5-49 mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5-49mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,adult body mass/body size,fish_Beth,0.5-49mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5-49mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5-49mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,adult body mass/body size,fish_Beth,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,NA,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,NA,50mm-999mm,50mm-999mm,NA,NA,NA,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,NA,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,NA,50mm-999mm,NA,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,NA,NA,NA,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm
biophysical traits,biomineral,fish_Beth,not applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not applicable,not applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,biomineral,fish_Beth,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,NA,NA,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite
biophysical traits,calcium carbonate structure location,fish_Beth,internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),NA,NA,internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths)
biophysical traits,calcium carbonate structure location,fish_Beth,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,calcium carbonate structure stages,fish_Beth,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,NA,NA,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult,adult
biophysical traits,calcium carbonate structure stages,fish_Beth,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,communication requirement (sound),fish_Beth,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
biophysical traits,extreme pressure wave sensitive structures,fish_Beth,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
biophysical traits,flight,fish_Beth,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NA,NA,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
biophysical traits,maximum depth,fish_Beth,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,maximum depth,fish_Beth,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,maximum depth,fish_Beth,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,maximum depth,fish_Beth,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,maximum depth,fish_Beth,1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100,1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,maximum depth,fish_Beth,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,maximum depth,fish_Beth,1318,1318,NA,NA,NA,NA,NA,1318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,maximum depth,fish_Beth,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,maximum depth,fish_Beth,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,maximum depth,fish_Beth,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,NA,NA,NA,NA,NA
biophysical traits,maximum depth,fish_Beth,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,maximum depth,fish_Beth,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA
biophysical traits,maximum depth,fish_Beth,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,maximum depth,fish_Beth,2326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2326,NA
biophysical traits,maximum depth,fish_Beth,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2400,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,maximum depth,fish_Beth,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA
biophysical traits,maximum depth,fish_Beth,2620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,maximum depth,fish_Beth,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,maximum depth,fish_Beth,30,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
