category,trait,sheet,trait_val_orig,acesta excavata,adamussium colbecki,aeolidia papillosa,anadara trapezia,aplysia californica,aplysia vaccaria,arcidae,argopecten irradians,austrocochlea porcata,bankia setacea,cadlina luteomarginata,calliostoma ligatum,cellana tramoserica,cerastoderma edule,crassostrea/magallana gigas,crassotrea virginica,haliotis coccoradiata,haliotis kamschatkana,haliotis rubra,magallana hongkongensis,mercenaria mercenaria,mimachlamys asperrima,mytilus californiensis,mytilus edulis,mytilus galloprovincialis,mytilus trossolus,ostrea angasi,ostrea edulis,ostrea lurida,panopea generosa,pecten fumatus,pecten maximus,pinctada fucata,pinctada maxima,pinna bicolor,plebidonax deltoides,saccostrea glomerata,siliqua patula,subninella undulata,tectura scutum,tegula funebralis,tenguella marginalba,tridacna gigas,tridacna maxima,trochus niloticus,trychomya hirsuta,turbo militaris
biophysical traits,adult body mass/body size,molluscs,0.5-49mm,NA,NA,0.5-49mm,NA,NA,NA,NA,NA,NA,NA,0.5-49mm,0.5-49mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5-49mm,0.5-49mm,NA,NA,NA,NA,NA,NA
biophysical traits,adult body mass/body size,molluscs,50-999mm,50-999mm,50-999mm,NA,50-999mm,50-999mm,50-999mm,50-999mm,50-999mm,50-999mm,50-999mm,NA,NA,50-999mm,50-999mm,50-999mm,50-999mm,50-999mm,50-999mm,50-999mm,50-999mm,50-999mm,50-999mm,50-999mm,50-999mm,50-999mm,50-999mm,50-999mm,50-999mm,50-999mm,50-999mm,50-999mm,50-999mm,50-999mm,50-999mm,50-999mm,50-999mm,50-999mm,50-999mm,50-999mm,NA,NA,50-999mm,50-999mm,50-999mm,50-999mm,50-999mm,50-999mm
biophysical traits,biomineral,molluscs,Aragonite,aragonite,aragonite,NA,aragonite,NA,NA,aragonite,aragonite,NA,aragonite,NA,NA,NA,aragonite,aragonite,aragonite,NA,NA,NA,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,NA,NA,NA,NA,aragonite,aragonite,NA,aragonite,NA
biophysical traits,biomineral,molluscs,Calcite,NA,NA,calcite,NA,calcite,calcite,NA,NA,calcite,NA,calcite,calcite,calcite,NA,NA,NA,calcite,calcite,calcite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calcite,calcite,calcite,calcite,NA,NA,calcite,NA,calcite
biophysical traits,calcium carbonate structure location,molluscs,External with cover,external with cover,external with cover,NA,external with cover,NA,NA,external with cover,external with cover,external with cover,external with cover,NA,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover,external with cover
biophysical traits,calcium carbonate structure location,molluscs,none,NA,NA,none,NA,none,none,NA,NA,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,calcium carbonate structure stages,molluscs,"Adult, larvae",adult;larvae,adult;larvae,NA,adult;larvae,NA,NA,adult;larvae,adult;larvae,adult;larvae,adult;larvae,NA,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae,adult;larvae
biophysical traits,calcium carbonate structure stages,molluscs,none,NA,NA,none,NA,none,none,NA,NA,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,communication requirement (sound),molluscs,No,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
biophysical traits,extreme pressure wave sensitive structures,molluscs,No,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
