category,trait,acanthochromis polyacanthus,acanthurus dusumieri,acromycter perturbator,amphiprion akindynos,anguilla australis,apterichtus kendalli,ariosoma selenops,asarcenchelys longimanus,balistoides viridescens,bathycongrus retrotinctus,bathycongrus vicinalis,bathypterois grallator,bathyuroconger vicinus,brachionichthys hirsutus,brachysomophis longipinnis,callechelys bitaeniata,carapus bermudensi,cephalopholis cyanostogmata,chaetodon auriga,chaetodon triangulum,chaetodon trifascialis,champsocephalus gunnari,chanos chanos,chlopsis kazuko,cirripectes alleni,cirripectes filamentosus,clupea harengus,coloconger japonicus,conger verreauxi,congriscus maldivensis,corphaena hippurus,crossosalarias macrospilus,ctenoscarus bicolor,derichthys serpentinus,dissostichus eleginoides,ecsenius trilineatus,encheliophis gracilis,enchelycore schismatorhynchus,engraulis ringens,entomacrodus macrospilus,entomacrodus stellifer,epinephelus itajara,epinephelus lanceolatus,eptatretus cirrhatus,eptatretus mendozai,ethadophis akkistikos,ethadophis merenda,eviota sigillata,exocoetus volitans,facciolella karreri,forsterygion varium,gadus mohua,galaxias brevipinnis,gobiodon citrinus,gobiodon histro,gorgasia maculata,gymnothoraxjavanicus,heteroconger klausewitzi,heteroconger taylori,hippocampus abdominalis,hippoglossus stenolepis,hoplostethus atlanticus,hoplunnis schmidti,hygophum proximum,hypleurochilus bananensis,hypsoblennius striatus,katsuwonus pelamis,kaupichthys brachychirus,lutjanus carponatatus,lutjanus sebae,meuschenia scaber,monopenchelys acuta,moringua edwardsi,naso vlamingi,nessorhamphus danae,notolabrus celidotus,omobranchus anolius,omobranchus fasciolatus,omobranchus rotundiceps,oncorhynchus nerka,ophichthus altipennis,ophichthus melanoporus,osterhinchus doederleini,parablennius parvicornis,parablennius yatabei,parablennius zvonimiri,parapercis colias,parenchelyurus hepburni,parma microlepis,phycoduras eques,plectropomus leopardus,pomacentrus coelestis,praealticus dayi,rexea solandri,rhinomuraena quaesita,salarias ceramensis,salarias fasciatus,salarias sinuosus,saurenchelys fierasfer,saurenchelys meteori,scarus schlegeri,sebastes diploproa,serrivomer lanceolatoides,simenchelys parasitica,skythrenchelys zabra,spratelloides delicatulus,synaphobranchus affinis,synaphobranchus kaupii,synaphobranchus oregoni,thunnus maccoyii,uropterygius fuscoguttatus,uropterygius wheeleri,venefica tentaculata,xenomystax trucidans,xestochilus nebulosus
biophysical traits,biomineral,aragonite,aragonite,otoliths are aragonite,aragonite,aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,aragonite,otoliths are aragonite,otoliths are aragonite,aragonite,otoliths are aragonite,aragonite,otoliths are aragonite,otoliths are aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,aragonite,otoliths are aragonite,aragonite,otoliths are aragonite,aragonite,otoliths are aragonite,aragonite,otoliths are aragonite,aragonite,otoliths are aragonite,otoliths are aragonite,aragonite,aragonite,not applicable,not applicable,otoliths are aragonite,otoliths are aragonite,aragonite,aragonite,otoliths are aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,otoliths are aragonite,aragonite,otoliths are aragonite,otoliths are aragonite,aragonite,aragonite,aragonite;calcite and vaterite,otoliths are aragonite,aragonite,otoliths are aragonite,otoliths are aragonite,aragonite,otoliths are aragonite,aragonite,aragonite,aragonite,otoliths are aragonite,otoliths are aragonite,aragonite,otoliths are aragonite,aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,aragonite,otoliths are aragonite,otoliths are aragonite,aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,aragonite,otoliths are aragonite,aragonite,aragonite,aragonite,aragonite,otoliths are aragonite,aragonite,otoliths are aragonite,otoliths are aragonite,aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,aragonite,aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite
biophysical traits,calcium carbonate structure location,internalotoliths,internalotoliths,internal (otoliths),internalotoliths,internalotoliths,internal (otoliths),internal (otoliths),internal (otoliths),internalotoliths,internal (otoliths),internal (otoliths),internalotoliths,internal (otoliths),internalotoliths,internal (otoliths),internal (otoliths),internalotoliths,internalotoliths,internalotoliths,internalotoliths,internalotoliths,internalotoliths,internalotoliths,internal (otoliths),internal (otoliths),internal (otoliths),internalotoliths,internal (otoliths),internal (otoliths),internal (otoliths),internalotoliths,internal (otoliths),internalotoliths,internal (otoliths),internalotoliths,internal (otoliths),internalotoliths,internal (otoliths),internalotoliths,internal (otoliths),internal (otoliths),internalotoliths,internalotoliths,none,none,internal (otoliths),internal (otoliths),internalotoliths,internalotoliths,internal (otoliths),internalotoliths,internalotoliths,internalotoliths,internalotoliths,internalotoliths,internal (otoliths),internalotoliths,internal (otoliths),internal (otoliths),internalotoliths,internalotoliths,internalotoliths,internal (otoliths),internalotoliths,internal (otoliths),internal (otoliths),internalotoliths,internal (otoliths),internalotoliths,internalotoliths,internalotoliths,internal (otoliths),internal (otoliths),internalotoliths,internal (otoliths),internalotoliths,internal (otoliths),internal (otoliths),internal (otoliths),internalotoliths,internal (otoliths),internal (otoliths),internalotoliths,internal (otoliths),internal (otoliths),internal (otoliths),internalotoliths,internal (otoliths),internalotoliths,internalotoliths,internalotoliths,internalotoliths,internal (otoliths),internalotoliths,internal (otoliths),internal (otoliths),internalotoliths,internal (otoliths),internal (otoliths),internal (otoliths),internalotoliths,internalotoliths,internal (otoliths),internal (otoliths),internal (otoliths),internalotoliths,internal (otoliths),internal (otoliths),internal (otoliths),internalotoliths,internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths)
biophysical traits,calcium carbonate structure stages,both,both,adult,both,both,adult,adult,adult,both,adult,adult,both,adult,both,adult,adult,both,both,both,both,both,both,both,adult,adult,adult,both,adult,adult,adult,both,adult,both,adult,both,adult,both,adult,both,adult,adult,both,both,none,none,adult,adult,both,both,adult,both,both,both,both,both,adult,both,adult,adult,both,both,both,adult,both,adult,adult,both,adult,both,both,both,adult,adult,both,adult,both,adult,adult,adult,both,adult,adult,both,adult,adult,adult,both,adult,both,both,both,both,adult,both,adult,adult,both,adult,adult,adult,both,both,adult,adult,adult,both,adult,adult,adult,both,adult,adult,adult,adult,adult
biophysical traits,communication requirement (sound),no,yes,no,n0,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
biophysical traits,extreme pressure wave sensitive structures,low sensitivity,medium,no,low sensitivity,low sensitivity,no,no,no,medium,no,no,low sensitivity,no,low sensitivity,no,no,medium,low sensitivity,low sensitivity,low sensitivity,low sensitivity,low sensitivity,low sensitivity,no,no,no,medium,no,no,no,low sensitivity,no,medium,no,low sensitivity,no,medium,no,low sensitivity,no,no,low sensitivity,low sensitivity,no,no,no,no,low sensitivity,low sensitivity,no,medium,low sensitivity,low sensitivity,low sensitivity,low sensitivity,no,medium,no,no,medium,low sensitivity,low sensitivity,no,low sensitivity,no,no,low sensitivity,no,medium,medium,medium,no,no,medium,no,medium,no,no,no,low sensitivity,no,no,low sensitivity,no,no,no,medium,no,low sensitivity,medium,low sensitivity,low sensitivity,no,low sensitivity,no,no,medium,no,no,no,medium,medium,no,no,no,medium,no,no,no,low sensitivity,no,no,no,no,no
biophysical traits,flight,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,NA,NA,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
biophysical traits,maximum depth,NA,NA,1318,NA,NA,400,549,300,NA,450,503,NA,1318,NA,50,30,NA,NA,NA,NA,NA,NA,NA,100,15,20,NA,760,500,820,NA,25,NA,2000,NA,10,NA,20,NA,8,5,NA,NA,1100,1100,60,0,NA,NA,2000,NA,NA,NA,NA,NA,48,NA,30,10,NA,NA,NA,NA,NA,0,5,NA,43,NA,NA,NA,45,35,NA,1000,NA,5,3,0,NA,40,460,NA,2,5,12,NA,4,NA,NA,NA,NA,0,NA,57,30,NA,5,NA,705,NA,NA,2000,2620,180,NA,2400,4800,1900,NA,25,20,500,2326,42
biophysical traits,minimum depth,NA,NA,787,NA,NA,3,22,0,NA,150,101,NA,120,NA,0,0,NA,NA,NA,NA,NA,NA,NA,50,1,0,NA,750,0,354,NA,1,NA,500,NA,1,NA,0,NA,0,0,NA,NA,1,720,30,0,NA,NA,700,NA,NA,NA,NA,NA,25,NA,5,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,13,0,NA,290,NA,0,0,0,NA,1,51,NA,0,0,0,NA,1,NA,NA,NA,NA,0,NA,1,1,NA,0,NA,696,NA,NA,300,136,1,NA,290,120,512,NA,3,0,100,1010,2
biophysical traits,"navigation requirements (sound or light, or magnetic)",no,unknown,no,no,unknown,no,no,no,unknown,no,no,unknown,no,unknown,no,no,unknown,no,unknown,unknown,unknown,unknown,unknown,no,no,no,yes,no,vertical migrator,no,unknown,no,suncompass in family,no,unknown,no,unknown,no,unknown,no,no,unknown,unknown,no,no,no,no,unknown,unknown,no,unknown,unknown,olfaction-yes,unknown,unknown,no,unknown,no,no,unknown,unknown,unknown,no,unknown,no,no,yes,no,unknown,unknown,unknown,no,no,unknown,no,unknown,no,no,no,yes,no,vertical migrator,yes to all,no,no,no,unknown,no,no,unknown,yes-sound,no,no,unknown,no,no,unknown,no,no,no,suncompass in family,unknown,no,no,no,unknown,no,no,no,yes,no,no,no,no,no
biophysical traits,only tl presented,20050to 999,54050-999,50mm-999mm,50to 999,7.5kg;1300>1000,50mm-999mm,50mm-999mm,50mm-999mm,75050-999,50mm-999mm,50mm-999mm,1100>1000,>1000mm,120mm 50-999,50mm-999mm,50mm-999mm,20050-999,50-999,23050to 999,16050to 999,18050to 999,2kg;66050-999,14kg;1800>1000,50mm-999mm,50mm-999mm,50mm-999mm,1.1kg;30050-999,50mm-999mm,>1000mm,50mm-999mm,40kg;2100;>1000,50mm-999mm,50050-999,50mm-999mm,9.6kg;70050-999,0.5-49mm,30050-999,>1000mm,20050-999,0.5-49mm,50mm-999mm,450kg;3000>1000,400kg;40050-999,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,300.5to 49mm,3050-999,50mm-999mm,13050to 999,96kg;1000>1000,27050to 999,6650to 999,0.5to 49mm,50mm-999mm,30kg;3000>1000,50mm-999mm,50mm-999mm,0.5to 49mm,360kg;2580>1000,75050-999,50mm-999mm,1100>1000,50mm-999mm,50mm-999mm,1100>1000,50mm-999mm,40050-999,32.7kg;60050-999,0.6kg;31050-999,50mm-999mm,50mm-999mm,60050-999,50mm-999mm,23950-999,50mm-999mm,50mm-999mm,50mm-999mm,7.7kg;84050to 999,>1000mm,50mm-999mm,14050to 999,50mm-999mm,50mm-999mm,50mm-999mm,2.5kg;45050-999,0.5-49mm,20050to 999,350.5to 49mm,24kg;1200;>1000mm,4050to 999,50mm-999mm,16kg;1100>1000,>1000mm,50mm-999mm,14050to 999,50mm-999mm,50mm-999mm,50mm-999mm,40050-999,0.8kg;46050-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50-999,>1000mm,>1000mm,>1000mm,2450>1000,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm,50mm-999mm
