category,trait,sheet,trait_val_orig,acanthochromis polyacanthus,acanthurus dusumieri,acromycter perturbator,amphiprion akindynos,anguilla australis,apterichtus kendalli,ariosoma selenops,asarcenchelys longimanus,balistoides viridescens,bathycongrus retrotinctus,bathycongrus vicinalis,bathypterois grallator,bathyuroconger vicinus,brachionichthys hirsutus,brachysomophis longipinnis,callechelys bitaeniata,carapus bermudensi,cephalopholis cyanostogmata,chaetodon auriga,chaetodon triangulum,chaetodon trifascialis,champsocephalus gunnari,chanos chanos,chlopsis kazuko,cirripectes alleni,cirripectes filamentosus,clupea harengus,coloconger japonicus,conger verreauxi,corphaena hippurus,crossosalarias macrospilus,ctenoscarus bicolor,derichthys serpentinus,dissostichus eleginoides,ecsenius trilineatus,encheliophis gracilis,enchelycore schismatorhynchus,engraulis ringens,entomacrodus macrospilus,entomacrodus stellifer,epinephelus itajara,epinephelus lanceolatus,eptatretus cirrhatus,eptatretus mendozai,ethadophis akkistikos,ethadophis merenda,eviota sigillata,exocoetus volitans,facciolella karreri,forsterygion varium,gadus mohua,galaxias brevipinnis,gobiodon citrinus,gobiodon histro,gorgasia maculata,gymnothorax javanicus,heteroconger klausewitzi,heteroconger taylori,hippocampus abdominalis,hippoglossus stenolepis,hoplostethus atlanticus,hoplunnis schmidti,hygophum proximum,hypleurochilus bananensis,hypsoblennius striatus,katsuwonus pelamis,kaupichthys brachychirus,lutjanus carponatatus,lutjanus sebae,meuschenia scaber,monopenchelys acuta,moringua edwardsi,naso vlamingi,nessorhamphus danae,notolabrus celidotus,omobranchus anolius,omobranchus fasciolatus,omobranchus rotundiceps,oncorhynchus nerka,ophichthus altipennis,ophichthus melanoporus,osterhinchus doederleini,parablennius parvicornis,parablennius yatabei,parablennius zvonimiri,parapercis colias,parenchelyurus hepburni,parma microlepis,phycoduras eques,plectropomus leopardus,pomacentrus coelestis,praealticus dayi,rexea solandri,rhinomuraena quaesita,salarias ceramensis,salarias fasciatus,salarias sinuosus,saurenchelys fierasfer,saurenchelys meteori,scarus schlegeri,sebastes diploproa,serrivomer lanceolatoides,simenchelys parasitica,skythrenchelys zabra,spratelloides delicatulus,synaphobranchus affinis,synaphobranchus kaupii,synaphobranchus oregoni,thalassenchelys foliaceus (aka congriscus maldivensis),thunnus maccoyii,uropterygius fuscoguttatus,uropterygius wheeleri,venefica tentaculata,xenomystax trucidans,xestochilus nebulosus
biophysical traits,biomineral,reef_other_fish,aragonite,aragonite,aragonite,NA,aragonite,aragonite,NA,NA,NA,aragonite,NA,NA,aragonite,NA,aragonite,NA,NA,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,aragonite,NA,NA,NA,aragonite,NA,NA,aragonite,NA,aragonite,NA,aragonite,NA,aragonite,NA,aragonite,NA,NA,aragonite,aragonite,NA,NA,NA,NA,aragonite,aragonite,NA,aragonite,aragonite,aragonite,aragonite,aragonite,NA,aragonite,NA,NA,aragonite,aragonite,NA,NA,aragonite,NA,NA,aragonite,NA,aragonite,aragonite,aragonite,NA,NA,aragonite,NA,aragonite,NA,NA,NA,aragonite,NA,NA,aragonite,NA,NA,NA,aragonite,NA,aragonite,aragonite,aragonite,aragonite,NA,aragonite,NA,NA,aragonite,NA,NA,NA,aragonite,aragonite,NA,NA,NA,aragonite,NA,NA,NA,NA,aragonite,NA,NA,NA,NA,NA
biophysical traits,biomineral,reef_other_fish,"aragonite, calcite and vaterite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aragonite;calcite and vaterite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,biomineral,reef_other_fish,not applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not applicable,not applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,biomineral,reef_other_fish,otoliths are aragonite,NA,NA,otoliths are aragonite,NA,NA,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,NA,otoliths are aragonite,otoliths are aragonite,NA,otoliths are aragonite,NA,otoliths are aragonite,otoliths are aragonite,NA,NA,NA,NA,NA,NA,NA,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,NA,otoliths are aragonite,otoliths are aragonite,NA,otoliths are aragonite,NA,otoliths are aragonite,NA,otoliths are aragonite,NA,otoliths are aragonite,NA,otoliths are aragonite,otoliths are aragonite,NA,NA,NA,NA,otoliths are aragonite,otoliths are aragonite,NA,NA,otoliths are aragonite,NA,NA,NA,NA,NA,otoliths are aragonite,NA,otoliths are aragonite,otoliths are aragonite,NA,NA,NA,otoliths are aragonite,NA,otoliths are aragonite,otoliths are aragonite,NA,otoliths are aragonite,NA,NA,NA,otoliths are aragonite,otoliths are aragonite,NA,otoliths are aragonite,NA,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,NA,otoliths are aragonite,otoliths are aragonite,NA,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,NA,otoliths are aragonite,NA,NA,NA,NA,otoliths are aragonite,NA,otoliths are aragonite,otoliths are aragonite,NA,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,NA,NA,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,NA,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,NA,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite,otoliths are aragonite
biophysical traits,calcium carbonate structure location,reef_other_fish,internal (otoliths),NA,NA,internal (otoliths),NA,NA,internal (otoliths),internal (otoliths),internal (otoliths),NA,internal (otoliths),internal (otoliths),NA,internal (otoliths),NA,internal (otoliths),internal (otoliths),NA,NA,NA,NA,NA,NA,NA,internal (otoliths),internal (otoliths),internal (otoliths),NA,internal (otoliths),internal (otoliths),NA,internal (otoliths),NA,internal (otoliths),NA,internal (otoliths),NA,internal (otoliths),NA,internal (otoliths),internal (otoliths),NA,NA,NA,NA,internal (otoliths),internal (otoliths),NA,NA,internal (otoliths),NA,NA,NA,NA,NA,internal (otoliths),NA,internal (otoliths),internal (otoliths),NA,NA,NA,internal (otoliths),NA,internal (otoliths),internal (otoliths),NA,internal (otoliths),NA,NA,NA,internal (otoliths),internal (otoliths),NA,internal (otoliths),NA,internal (otoliths),internal (otoliths),internal (otoliths),NA,internal (otoliths),internal (otoliths),NA,internal (otoliths),internal (otoliths),internal (otoliths),NA,internal (otoliths),NA,NA,NA,NA,internal (otoliths),NA,internal (otoliths),internal (otoliths),NA,internal (otoliths),internal (otoliths),internal (otoliths),NA,NA,internal (otoliths),internal (otoliths),internal (otoliths),NA,internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),NA,internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths),internal (otoliths)
biophysical traits,calcium carbonate structure location,reef_other_fish,Internal:otoliths,internalotoliths,internalotoliths,NA,internalotoliths,internalotoliths,NA,NA,NA,internalotoliths,NA,NA,internalotoliths,NA,internalotoliths,NA,NA,internalotoliths,internalotoliths,internalotoliths,internalotoliths,internalotoliths,internalotoliths,internalotoliths,NA,NA,NA,internalotoliths,NA,NA,internalotoliths,NA,internalotoliths,NA,internalotoliths,NA,internalotoliths,NA,internalotoliths,NA,NA,internalotoliths,internalotoliths,NA,NA,NA,NA,internalotoliths,internalotoliths,NA,internalotoliths,internalotoliths,internalotoliths,internalotoliths,internalotoliths,NA,internalotoliths,NA,NA,internalotoliths,internalotoliths,internalotoliths,NA,internalotoliths,NA,NA,internalotoliths,NA,internalotoliths,internalotoliths,internalotoliths,NA,NA,internalotoliths,NA,internalotoliths,NA,NA,NA,internalotoliths,NA,NA,internalotoliths,NA,NA,NA,internalotoliths,NA,internalotoliths,internalotoliths,internalotoliths,internalotoliths,NA,internalotoliths,NA,NA,internalotoliths,NA,NA,NA,internalotoliths,internalotoliths,NA,NA,NA,internalotoliths,NA,NA,NA,NA,internalotoliths,NA,NA,NA,NA,NA
biophysical traits,calcium carbonate structure location,reef_other_fish,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biophysical traits,calcium carbonate structure stages,reef_other_fish,adult,NA,NA,adult,NA,NA,adult,adult,adult,NA,adult,adult,NA,adult,NA,adult,adult,NA,NA,NA,NA,NA,NA,NA,adult,adult,adult,NA,adult,adult,NA,adult,NA,adult,NA,adult,NA,adult,NA,adult,adult,NA,NA,NA,NA,adult,adult,NA,NA,adult,NA,NA,NA,NA,NA,adult,NA,adult,adult,NA,NA,NA,adult,NA,adult,adult,NA,adult,NA,NA,NA,adult,adult,NA,adult,NA,adult,adult,adult,NA,adult,adult,NA,adult,adult,adult,NA,adult,NA,NA,NA,NA,adult,NA,adult,adult,NA,adult,adult,adult,NA,NA,adult,adult,adult,NA,adult,adult,adult,adult,NA,adult,adult,adult,adult,adult
biophysical traits,calcium carbonate structure stages,reef_other_fish,both,both,both,NA,both,both,NA,NA,NA,both,NA,NA,both,NA,both,NA,NA,both,both,both,both,both,both,both,NA,NA,NA,both,NA,NA,both,NA,both,NA,both,NA,both,NA,both,NA,NA,both,both,NA,NA,NA,NA,both,both,NA,both,both,both,both,both,NA,both,NA,NA,both,both,both,NA,both,NA,NA,both,NA,both,both,both,NA,NA,both,NA,both,NA,NA,NA,both,NA,NA,both,NA,NA,NA,both,NA,both,both,both,both,NA,both,NA,NA,both,NA,NA,NA,both,both,NA,NA,NA,both,NA,NA,NA,NA,both,NA,NA,NA,NA,NA
biophysical traits,calcium carbonate structure stages,reef_other_fish,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
