This is the list from Dias et al. on which Brad's data were based.,,,,,,,,,,,,
 Order ,Family fixed,Family (original),Scientific name fixed,Scientific name (original),fixed?,Common name ,2018 IUCN Red List Category ,Pelagic / coastal ,Group ,notes,genus/family,n_spp
Charadriiformes ,Alcidae ,Alcidae ,Aethia cristatella ,Aethia cristatella ,FALSE,Crested Auklet ,LC ,Pelagic ,auks ,,auks (Alcidae),24
Charadriiformes ,Alcidae ,Alcidae ,Aethia psittacula ,Aethia psittacula ,FALSE,Parakeet Auklet ,LC ,Pelagic ,auks ,,penguins (Spheniscidae),18
Charadriiformes ,Alcidae ,Alcidae ,Aethia pusilla ,Aethia pusilla ,FALSE,Least Auklet ,LC ,Pelagic ,auks ,,albatrosses (Diomedeidae),22
Charadriiformes ,Alcidae ,Alcidae ,Aethia pygmaea ,Aethia pygmaea ,FALSE,Whiskered Auklet ,LC ,Pelagic ,auks ,,"frigatebirds and tropicbirds (Fregatidae, Phaethontidae)",8
Charadriiformes ,Alcidae ,Alcidae ,Alca torda ,Alca torda ,FALSE,Razorbill ,NT ,Pelagic ,auks ,,"gadfly petrels (Procellariidae: 38 species in Pseudobulweria, Pterodroma)",38
Charadriiformes ,Alcidae ,Alcidae ,Alle alle ,Alle alle ,FALSE,Little Auk ,LC ,Pelagic ,auks ,,"large petrels and shearwaters (Procellariidae, 38 species)",38
Charadriiformes ,Laridae ,Laridae ,Anous albivitta ,Anous albivitta ,FALSE,Grey Noddy ,LC ,Coastal ,terns ,,"small petrels (Procellaridae, 18 species)",18
Charadriiformes ,Laridae ,Laridae ,Anous cerulea ,Anous cerulea ,FALSE,Blue Noddy ,LC ,Coastal ,terns ,,"storm-petrels (Oceanitidae, Hydrobatidae)",24
Charadriiformes ,Laridae ,Laridae ,Anous minutus ,Anous minutus ,FALSE,Black Noddy ,LC ,Coastal ,terns ,genus Anous not included in spp traits so no direct match,"cormorants and pelicans (Pelecanidae, Phalacrocoracidae) ",33
Charadriiformes ,Laridae ,Laridae ,Anous stolidus ,Anous stolidus ,FALSE,Brown Noddy ,LC ,Coastal ,terns ,genus Anous not included in spp traits so no direct match,gannets and boobies (Sulidae),10
Charadriiformes ,Laridae ,Laridae ,Anous tenuirostris ,Anous tenuirostris ,FALSE,Lesser Noddy ,LC ,Coastal ,terns ,genus Anous not included in spp traits so no direct match,skuas (Stercorariidae),7
Procellariiformes ,Procellariidae ,Procellariidae ,Aphrodroma brevirostris ,Aphrodroma brevirostris ,FALSE,Kerguelen Petrel ,LC ,Pelagic ,small petrels ,,"gulls (Laridae, 47 species)",47
Sphenisciformes ,Spheniscidae ,Spheniscidae ,Aptenodytes forsteri ,Aptenodytes forsteri ,FALSE,Emperor Penguin ,NT ,Pelagic ,penguins ,,"terns (Laridae, 40 species)",40
