kingdom,id,name,rank
chromista,17639,Cryptophyceae,class
chromista,115057,Prymnesiophyceae,class
chromista,1285,Kinetofragminophora,class
chromista,1289,Polyhymenophora,class
chromista,148950,Fragilariophyceae,class
chromista,1359028,Chrysoparadoxophyceae,class
chromista,172230,Oomycetes,class
chromista,1048156,Fusulinata,class
chromista,1381420,Nodosariata,class
chromista,586732,Acantharia,class
chromista,235740,Polycystina,class
chromista,450770,Radiozoa incertae sedis,class
chromista,235736,Sticholonchea,class
chromista,425519,Heterotrichea,class
chromista,146215,Apicomplexa incertae sedis,class
chromista,562854,Ascetosporea,class
chromista,591228,Gromiidea,class
chromista,591229,Phytomyxea,class
chromista,590917,Chlorarachnea,class
plantae,368674,Chlorarachniophyceae,class
plantae,21263,Rhodophyceae,class
plantae,368675,Bryopsidophyceae,class
plantae,368676,Nephroselmidophyceae,class
plantae,368678,Pleurastrophyceae,class
plantae,17329,Prasinophyceae,class
plantae,886274,Pyramimonadophyceae,class
plantae,368669,Compsopogonophyceae,class
plantae,493832,Porphyridiophyceae,class
plantae,368671,Rhodellophyceae,class
plantae,368672,Stylonematophyceae,class
plantae,886257,Chlorodendrophyceae,class
plantae,802,Chlorophyceae,class
plantae,368677,Pedinophyceae,class
plantae,160573,Trebouxiophyceae,class
plantae,146216,Ulvophyceae,class
animalia,20300,Eoacanthocephala,class
animalia,20285,Palaeacanthocephala,class
animalia,14165,Clitellata,class
animalia,1019642,Gephyrea,class
animalia,883,Polychaeta,class
animalia,1795,Gymnolaemata,class
animalia,1794,Stenolaemata,class
animalia,5949,Sagittoidea,class
animalia,1292,Anthozoa,class
animalia,135218,Cnidaria incertae sedis,class
animalia,135219,Cubozoa,class
animalia,1337,Hydrozoa,class
animalia,146271,Myxozoa,class
animalia,152199,Polypodiozoa,class
animalia,152206,Scyphomedusae,class
animalia,135220,Scyphozoa,class
animalia,265044,Staurozoa,class
animalia,559325,Ctenophora incertae sedis,class
animalia,1250,Nuda,class
animalia,867234,Scleroctenophora,class
animalia,1249,Tentaculata,class
animalia,106404,Eucycliophora,class
animalia,14219,Rhombozoa,class
animalia,1820,Enteropneusta,class
animalia,380352,Graptolithina,class
animalia,579849,Graptolithoidea,class
animalia,1819,Pterobranchia,class
animalia,1433251,Allomalorhagida,class
animalia,101064,Cyclorhagida,class
animalia,1433677,Homalorhagae,class
animalia,871021,Amphineura,class
animalia,105,Bivalvia,class
animalia,151365,Caudofoveata,class
animalia,11707,Cephalopoda,class
animalia,385738,Conchifera,class
animalia,101,Gastropoda,class
animalia,234066,Lamellibranchiata,class
animalia,153958,Loricata,class
animalia,415,Monoplacophora,class
animalia,151265,Pelecypoda,class
animalia,55,Polyplacophora,class
animalia,849233,Rostroconchia,class
animalia,104,Scaphopoda,class
animalia,2094,Solenogastres,class
animalia,2132,Adenophorea,class
animalia,731848,Chromadorea,class
animalia,834422,Enoplea,class
animalia,22945,Nematoda incertae sedis,class
animalia,2133,Secernentea,class
animalia,178814,Gordiaces,class
animalia,162760,Nectonematoida,class
animalia,1293,Anopla,class
animalia,1294,Enopla,class
animalia,122309,Hoplonemertea,class
animalia,146899,Nemertea incertae sedis,class
animalia,122307,Palaeonemertea,class
animalia,1320351,Pilidiophora,class
animalia,794,Turbellaria,class
animalia,559,Calcarea,class
animalia,886287,Calcispongia,class
animalia,606625,Calcispongiae,class
animalia,164811,Demospongiae,class
animalia,22612,Hexactinellida,class
animalia,131587,Homoscleromorpha,class
animalia,606624,Hyalospongiae,class
animalia,146191,Porifera incertae sedis,class
animalia,196313,Sclerospongiae,class
animalia,368537,Eurotatoria,class
animalia,368538,Pararotatoria,class
animalia,22622,Seisonidea,class
animalia,1295,Phascolosomatidea,class
animalia,255176,Sipuncula incertae sedis,class
animalia,1296,Sipunculidea,class
animalia,136619,Eutardigrada,class
animalia,136620,Heterotardigrada,class
animalia,819076,Machaeridia,class
animalia,1300,Arachnida,class
animalia,1302,Pycnogonida,class
animalia,1069,Branchiopoda,class
animalia,1070,Maxillopoda,class
animalia,1067,Remipedia,class
animalia,118086,Collembola,class
animalia,1307,Insecta,class
animalia,1304,Chilopoda,class
animalia,384687,Pauropoda,class
animalia,877220,Trilobita,class
animalia,104019,Craniata,class
animalia,235154,Lingulata,class
animalia,104020,Rhynchonellata,class
animalia,104897,Leptocardii,class
animalia,146421,Appendicularia,class
animalia,1839,Ascidiacea,class
animalia,17446,Larvacea,class
animalia,22558,Sorberacea,class
animalia,22626,Thaliacea,class
animalia,123080,Asteroidea,class
animalia,123084,Ophiuroidea,class
animalia,148745,Stelleroidea,class
animalia,123081,Crinoidea,class
animalia,123082,Echinoidea,class
animalia,149846,Holothurioidea,class
animalia,123083,Holothuroidea,class
animalia,411,Aplacophora,class
animalia,853042,Afrenulata,class
animalia,1298,Frenulata,class
animalia,889925,Hexanauplia,class
animalia,1071,Malacostraca,class
animalia,845958,Ichthyostraca,class
animalia,1078,Ostracoda,class
animalia,10190,Cephalaspidomorphi,class
animalia,10189,Myxini,class
animalia,1051,Cestoda,class
animalia,798,Monogenea,class
animalia,717338,Monogenoidea,class
animalia,19948,Trematoda,class
animalia,843664,Actinopteri,class
animalia,10194,Actinopterygii,class
animalia,843665,Coelacanthi,class
animalia,10193,Elasmobranchii,class
animalia,10196,Holocephali,class
animalia,1836,Aves,class
animalia,1837,Mammalia,class
animalia,1838,Reptilia,class
