class,order,family,stressor,taxon,mean_vuln,sd_vuln,n_spp_known,n_spp,n_prob
actinopterygii,clupeiformes,clupeidae,biomass_removal,fish,0.6019187888964492,0.02817921491950728,2,2,1
actinopterygii,clupeiformes,clupeidae,bycatch,fish,0.25636827142293467,0.002979080879207643,2,2,1
actinopterygii,clupeiformes,clupeidae,entanglement_macroplastic,fish,0.12127746037518437,6.203161109728933e-4,2,2,1
actinopterygii,clupeiformes,clupeidae,eutrophication_nutrient_pollution,fish,0.3040921131401556,0.03723981058127972,2,2,1
actinopterygii,clupeiformes,clupeidae,inorganic_pollution,fish,0.37338072715781245,0.00919869049896795,2,2,1
actinopterygii,clupeiformes,clupeidae,noise_pollution,fish,0.31522008872754675,0.1879227128851807,2,2,1
actinopterygii,clupeiformes,clupeidae,oa,fish,0.31644133697863924,0.01822409159366021,2,2,1
actinopterygii,clupeiformes,clupeidae,oceanographic,fish,0.16585935415726982,0.008365564189853797,2,2,1
actinopterygii,clupeiformes,clupeidae,organic_pollution,fish,0.36195134809248564,0.008744005842747041,2,2,1
actinopterygii,clupeiformes,clupeidae,plastic_pollution_microplastic,fish,0.26034657350332646,0.006806307795791021,2,2,1
actinopterygii,clupeiformes,clupeidae,poisons_toxins,fish,0.24945105226929945,0.019858890412793227,2,2,1
actinopterygii,clupeiformes,clupeidae,salinity,fish,0.37313951457859623,0.0032639458749256904,2,2,1
actinopterygii,clupeiformes,clupeidae,sedimentation,fish,0.20373050245543264,0.019789048413632458,2,2,1
actinopterygii,clupeiformes,clupeidae,slr,fish,0.14910701923435835,0.002551496392906681,2,2,1
actinopterygii,clupeiformes,clupeidae,storm_disturbance,fish,0.10987659093594282,0.0523928196950333,2,2,1
actinopterygii,clupeiformes,clupeidae,water_temp,fish,0.2558362926610296,0.009483841320870703,2,2,1
actinopterygii,perciformes,pomacentridae,biomass_removal,fish,0.5825215026744341,0.02966570988421315,4,4,1
actinopterygii,perciformes,pomacentridae,bycatch,fish,0.31825511219999,0.13227375179686968,4,4,1
actinopterygii,perciformes,pomacentridae,entanglement_macroplastic,fish,0.14971932476494076,0.06115205624776984,4,4,1
actinopterygii,perciformes,pomacentridae,eutrophication_nutrient_pollution,fish,0.3012575591228165,0.11244368763773882,4,4,1
actinopterygii,perciformes,pomacentridae,habitat_loss_degradation,fish,0.22772657397335613,0.10033453808442368,4,4,1
actinopterygii,perciformes,pomacentridae,inorganic_pollution,fish,0.3599533328819232,0.056299094049852276,4,4,1
actinopterygii,perciformes,pomacentridae,oa,fish,0.32094046010601807,0.04889056940025015,4,4,1
actinopterygii,perciformes,pomacentridae,oceanographic,fish,0.16561940099870875,0.12286498209239889,4,4,1
actinopterygii,perciformes,pomacentridae,organic_pollution,fish,0.32890766887329304,0.08074436750682329,4,4,1
actinopterygii,perciformes,pomacentridae,plastic_pollution_microplastic,fish,0.2515610955703603,0.013237232008209811,4,4,1
actinopterygii,perciformes,pomacentridae,poisons_toxins,fish,0.21919726969163691,0.0765635159241026,4,4,1
actinopterygii,perciformes,pomacentridae,salinity,fish,0.3409162701683291,0.06777473619139687,4,4,1
actinopterygii,perciformes,pomacentridae,sedimentation,fish,0.20675796865764384,0.05502639101874383,4,4,1
actinopterygii,perciformes,pomacentridae,storm_disturbance,fish,0.0600448043411462,0.04565320351357918,4,4,1
actinopterygii,perciformes,pomacentridae,water_temp,fish,0.29648286126275664,0.10205820064163837,4,4,1
actinopterygii,perciformes,pomacentridae,wildlife_strike,fish,0.05287625544056993,0.09162662814812524,4,4,1
actinopterygii,perciformes,serranidae,biomass_removal,fish,0.6670773260329522,0.02007283151899859,4,4,3
actinopterygii,perciformes,serranidae,bycatch,fish,0.34720092985142464,0.14532987345824677,4,4,3
actinopterygii,perciformes,serranidae,entanglement_macroplastic,fish,0.2944564192475277,0.11105937809778925,4,4,3
actinopterygii,perciformes,serranidae,eutrophication_nutrient_pollution,fish,0.36718129991170784,0.10955321976488545,4,4,3
actinopterygii,perciformes,serranidae,habitat_loss_degradation,fish,0.08585497065488762,0.11700690549788388,4,4,1
actinopterygii,perciformes,serranidae,inorganic_pollution,fish,0.41633545306980735,0.06032609195086814,4,4,3
actinopterygii,perciformes,serranidae,noise_pollution,fish,0.05111752231515329,0.0885573676436202,4,4,1
actinopterygii,perciformes,serranidae,oa,fish,0.35350302127033295,0.05653424318970231,4,4,3
actinopterygii,perciformes,serranidae,oceanographic,fish,0.2753975695549253,0.09480829102030582,4,4,3
actinopterygii,perciformes,serranidae,organic_pollution,fish,0.42823726010899715,0.07461832456508667,4,4,3
actinopterygii,perciformes,serranidae,plastic_pollution_microplastic,fish,0.2808973643350402,0.01593426239132943,4,4,3
actinopterygii,perciformes,serranidae,poisons_toxins,fish,0.2998271517061753,0.06630153196611874,4,4,3
actinopterygii,perciformes,serranidae,salinity,fish,0.4124706416584827,0.028792998931833534,4,4,3
actinopterygii,perciformes,serranidae,sedimentation,fish,0.22687698840258647,0.07168395411833585,4,4,3
actinopterygii,perciformes,serranidae,storm_disturbance,fish,0.09434235661301034,0.03650992957927912,4,4,3
actinopterygii,perciformes,serranidae,water_temp,fish,0.3275045867315952,0.11070641630574728,4,4,3
actinopterygii,perciformes,serranidae,wildlife_strike,fish,0.1624145885657276,0.09430248442665881,4,4,3
asteroidea,valvatida,asterinidae,biomass_removal,echinoderms,0.7085325865705849,0.043770418225407226,20,20,1
asteroidea,valvatida,asterinidae,bycatch,echinoderms,0.16750286498106406,0.08862559428780935,20,20,1
asteroidea,valvatida,asterinidae,entanglement_macroplastic,echinoderms,0.0479079503831314,0.06530951962732183,20,20,1
asteroidea,valvatida,asterinidae,eutrophication_nutrient_pollution,echinoderms,0.4721623711468377,0.04142639237088303,20,20,1
asteroidea,valvatida,asterinidae,inorganic_pollution,echinoderms,0.4067643944846481,0.02980996395299973,20,20,1
asteroidea,valvatida,asterinidae,oa,echinoderms,0.43910864606008015,0.02986384072063622,20,20,1
asteroidea,valvatida,asterinidae,oceanographic,echinoderms,0.42192329405386786,0.023439501668160032,20,20,1
asteroidea,valvatida,asterinidae,organic_pollution,echinoderms,0.3047197429029931,0.02233276315333371,20,20,1
asteroidea,valvatida,asterinidae,plastic_pollution_microplastic,echinoderms,0.17107187827648251,0.056696477506846636,20,20,1
asteroidea,valvatida,asterinidae,poisons_toxins,echinoderms,0.35546188127672057,0.04560340903756376,20,20,1
asteroidea,valvatida,asterinidae,salinity,echinoderms,0.38641989802638116,0.02770270142559789,20,20,1
asteroidea,valvatida,asterinidae,sedimentation,echinoderms,0.35546166021677145,0.04560367630892456,20,20,1
asteroidea,valvatida,asterinidae,storm_disturbance,echinoderms,0.27548483590638234,0.01997278213338163,20,20,1
asteroidea,valvatida,asterinidae,water_temp,echinoderms,0.41939668621896103,0.05718841348283246,20,20,1
aves,charadriiformes,laridae,air_temp,seabirds,0.0939837139095262,0.0019950695979361714,94,94,94
aves,charadriiformes,laridae,biomass_removal,seabirds,0.6724373107254683,0.020418936937308414,94,94,94
aves,charadriiformes,laridae,bycatch,seabirds,0.5142318858723527,0.01195014710142732,94,94,94
aves,charadriiformes,laridae,entanglement_macroplastic,seabirds,0.36438993732975167,0.1226133931795995,94,94,94
aves,charadriiformes,laridae,eutrophication_nutrient_pollution,seabirds,0.07327057654441509,0.0015334220102265965,94,94,94
aves,charadriiformes,laridae,habitat_loss_degradation,seabirds,0.14585138265060832,0.003196993345079399,94,94,94
aves,charadriiformes,laridae,inorganic_pollution,seabirds,0.14181933953853415,0.01160606243464222,94,94,94
aves,charadriiformes,laridae,invasive_species,seabirds,0.5463706187764281,0.013475056798157971,94,94,94
aves,charadriiformes,laridae,light_pollution,seabirds,0.44028511775843077,0.008740945351300475,94,94,94
aves,charadriiformes,laridae,noise_pollution,seabirds,0.3795940001772085,0.00868998298586692,94,94,94
aves,charadriiformes,laridae,oa,seabirds,0.0678792254285034,0.0015752692894241236,94,94,94
aves,charadriiformes,laridae,organic_pollution,seabirds,0.28008341228625494,0.01738512381008764,94,94,94
aves,charadriiformes,laridae,plastic_pollution_microplastic,seabirds,0.09015827009582625,0.002226343294024146,94,94,94
aves,charadriiformes,laridae,poisons_toxins,seabirds,0.04571940426385844,9.534165417371339e-4,94,94,94
aves,charadriiformes,laridae,sedimentation,seabirds,0.16116801501306205,0.023122241953590018,94,94,94
aves,charadriiformes,laridae,slr,seabirds,0.4163143167469214,0.007826576316621951,94,94,94
aves,charadriiformes,laridae,storm_disturbance,seabirds,0.3975717480861969,0.00818421113036151,94,94,94
aves,charadriiformes,laridae,water_temp,seabirds,0.08886929686173471,0.0019000516683868693,94,94,94
aves,charadriiformes,laridae,wildlife_strike,seabirds,0.356140646836802,0.08216594797273692,94,94,94
aves,procellariiformes,procellariidae,biomass_removal,seabirds,0.6968390345649834,0.02260430189797016,84,84,84
aves,procellariiformes,procellariidae,bycatch,seabirds,0.5623459337533051,0.014734831619329642,84,84,84
aves,procellariiformes,procellariidae,entanglement_macroplastic,seabirds,0.3793401405464033,0.1351396921406224,84,84,84
aves,procellariiformes,procellariidae,eutrophication_nutrient_pollution,seabirds,0.08119605366537663,0.0024775224669960454,84,84,84
aves,procellariiformes,procellariidae,habitat_loss_degradation,seabirds,0.15315982419459775,0.005463751110645513,84,84,84
aves,procellariiformes,procellariidae,inorganic_pollution,seabirds,0.1613757864165981,0.013018735122132348,84,84,84
aves,procellariiformes,procellariidae,invasive_species,seabirds,0.601004061337382,0.016826393241439672,84,84,84
aves,procellariiformes,procellariidae,light_pollution,seabirds,0.4912823549513649,0.018364672536275786,84,84,84
aves,procellariiformes,procellariidae,noise_pollution,seabirds,0.4132370818070897,0.011900811256095704,84,84,84
