id,name,rank,parent,parent_level
887125,aqabarellidae,family,[unassigned] caenogastropoda,order
833889,coelostylinidae,family,[unassigned] caenogastropoda,order
590777,lyocyclidae,family,[unassigned] caenogastropoda,order
833848,plicatusidae,family,[unassigned] caenogastropoda,order
833868,pseudomelaniidae,family,[unassigned] caenogastropoda,order
833849,spanionematidae,family,[unassigned] caenogastropoda,order
833850,spirostylidae,family,[unassigned] caenogastropoda,order
833869,trajanellidae,family,[unassigned] caenogastropoda,order
536745,[unassigned] abyssochrysoidea,family,[unassigned] caenogastropoda,order
345309,abyssochrysidae,family,[unassigned] caenogastropoda,order
1039180,hokkaidoconchidae,family,[unassigned] caenogastropoda,order
382206,provannidae,family,[unassigned] caenogastropoda,order
411664,ampullinidae,family,[unassigned] caenogastropoda,order
225253,ampullospiridae,family,[unassigned] caenogastropoda,order
411663,campanilidae,family,[unassigned] caenogastropoda,order
565677,diozoptyxidae,family,[unassigned] caenogastropoda,order
565676,gymnocerithiidae,family,[unassigned] caenogastropoda,order
565678,gyrodidae,family,[unassigned] caenogastropoda,order
833884,metacerithiidae,family,[unassigned] caenogastropoda,order
411666,plesiotrochidae,family,[unassigned] caenogastropoda,order
833892,settsassiidae,family,[unassigned] caenogastropoda,order
833906,tylostomatidae,family,[unassigned] caenogastropoda,order
1059038,vernediidae,family,[unassigned] caenogastropoda,order
738617,archimediellidae,family,[unassigned] caenogastropoda,order
370444,batillariidae,family,[unassigned] caenogastropoda,order
833155,brachytrematidae,family,[unassigned] caenogastropoda,order
738611,cerithideidae,family,[unassigned] caenogastropoda,order
128,cerithiidae,family,[unassigned] caenogastropoda,order
23028,dialidae,family,[unassigned] caenogastropoda,order
411646,diastomatidae,family,[unassigned] caenogastropoda,order
510485,faxiidae,family,[unassigned] caenogastropoda,order
23041,fossaridae,family,[unassigned] caenogastropoda,order
844397,glauconiidae,family,[unassigned] caenogastropoda,order
23065,litiopidae,family,[unassigned] caenogastropoda,order
833883,maoraxidae,family,[unassigned] caenogastropoda,order
738539,melanatriidae,family,[unassigned] caenogastropoda,order
196285,modulidae,family,[unassigned] caenogastropoda,order
23081,obtortionidae,family,[unassigned] caenogastropoda,order
491694,omalaxidae,family,[unassigned] caenogastropoda,order
411651,pachychilidae,family,[unassigned] caenogastropoda,order
571592,pachymelaniidae,family,[unassigned] caenogastropoda,order
411693,pelycidiidae,family,[unassigned] caenogastropoda,order
224785,pickworthiidae,family,[unassigned] caenogastropoda,order
23097,planaxidae,family,[unassigned] caenogastropoda,order
833885,popenellidae,family,[unassigned] caenogastropoda,order
23100,potamididae,family,[unassigned] caenogastropoda,order
833878,prisciphoridae,family,[unassigned] caenogastropoda,order
411655,procerithiidae,family,[unassigned] caenogastropoda,order
738476,pyrazidae,family,[unassigned] caenogastropoda,order
510484,reynellonidae,family,[unassigned] caenogastropoda,order
23114,scaliolidae,family,[unassigned] caenogastropoda,order
715954,semisulcospiridae,family,[unassigned] caenogastropoda,order
23117,siliquariidae,family,[unassigned] caenogastropoda,order
454032,styliferinidae,family,[unassigned] caenogastropoda,order
738610,telescopiidae,family,[unassigned] caenogastropoda,order
738612,tenagodidae,family,[unassigned] caenogastropoda,order
833888,terebrellidae,family,[unassigned] caenogastropoda,order
196287,thiaridae,family,[unassigned] caenogastropoda,order
127,turritellidae,family,[unassigned] caenogastropoda,order
1314208,zemelanopsidae,family,[unassigned] caenogastropoda,order
132,epitoniidae,family,[unassigned] caenogastropoda,order
1214751,iodeidae,family,[unassigned] caenogastropoda,order
1748,janthinidae,family,[unassigned] caenogastropoda,order
411726,nystiellidae,family,[unassigned] caenogastropoda,order
1214750,recluziidae,family,[unassigned] caenogastropoda,order
1214748,scalariidae,family,[unassigned] caenogastropoda,order
1214749,stenacmidae,family,[unassigned] caenogastropoda,order
833860,goniasmatidae,family,[unassigned] caenogastropoda,order
933010,orthonematidae,family,[unassigned] caenogastropoda,order
833864,chuchlinidae,family,[unassigned] caenogastropoda,order
833863,perunelidae,family,[unassigned] caenogastropoda,order
833866,sphaerodomidae,family,[unassigned] caenogastropoda,order
833854,anozygidae,family,[unassigned] caenogastropoda,order
833916,heterosubulitidae,family,[unassigned] caenogastropoda,order
933018,meekospiridae,family,[unassigned] caenogastropoda,order
833853,soleniscidae,family,[unassigned] caenogastropoda,order
834092,bulimorphidae,family,[unassigned] caenogastropoda,order
834093,fusispiridae,family,[unassigned] caenogastropoda,order
738170,subulitidae,family,[unassigned] caenogastropoda,order
834091,berendinellidae,family,[unassigned] caenogastropoda,order
130,cerithiopsidae,family,[unassigned] caenogastropoda,order
411733,newtoniellidae,family,[unassigned] caenogastropoda,order
180930,triforidae,family,[unassigned] caenogastropoda,order
131,triphoridae,family,[unassigned] caenogastropoda,order
NA,NA,NA,[unassigned] decapodiformes,order
22753,enteropneusta incertae sedis,family,[unassigned] enteropneusta,order
2018,harrimaniidae,family,[unassigned] enteropneusta,order
2019,ptychoderidae,family,[unassigned] enteropneusta,order
255186,saxipendiidae,family,[unassigned] enteropneusta,order
23150,spengelidae,family,[unassigned] enteropneusta,order
258461,torquaratoridae,family,[unassigned] enteropneusta,order
255180,torquatoridae,family,[unassigned] enteropneusta,order
NA,NA,NA,[unassigned] euheterodonta,order
1054467,cyclonematidae,family,[unassigned] neritimorpha,order
1054470,palaeocapulidae,family,[unassigned] neritimorpha,order
1054468,platyostomatidae,family,[unassigned] neritimorpha,order
1054469,strophostylidae,family,[unassigned] neritimorpha,order
NA,NA,NA,acantharia incertae sedis,order
