class,stressor,taxon,mean_vuln,sd_vuln,n_spp_known,n_spp,n_prob
actinopterygii,biomass_removal,fish,0.6653162578894156,0.07691884310675169,113,113,13
actinopterygii,bycatch,fish,0.4075524117431078,0.09572306929098173,113,113,13
actinopterygii,entanglement_macroplastic,fish,0.17928667596050354,0.12233057134367287,113,113,13
actinopterygii,eutrophication_nutrient_pollution,fish,0.34620071908521094,0.08138721433450566,113,113,13
actinopterygii,habitat_loss_degradation,fish,0.31700622802500944,0.0342224694373109,113,113,13
actinopterygii,inorganic_pollution,fish,0.3899604184416147,0.057072217499756196,113,113,13
actinopterygii,noise_pollution,fish,0.05310864142634305,0.11074287104932458,113,113,3
actinopterygii,oa,fish,0.3373470353289233,0.03800708125711218,113,113,13
actinopterygii,oceanographic,fish,0.18429233301713116,0.08243307395506876,113,113,11
actinopterygii,organic_pollution,fish,0.3473832406545823,0.07095904240542071,113,113,13
actinopterygii,plastic_pollution_microplastic,fish,0.28178683132892113,0.035021111519126825,113,113,13
actinopterygii,poisons_toxins,fish,0.2876995248237206,0.0748043859325468,113,113,13
actinopterygii,salinity,fish,0.36764554401062577,0.059714121832885714,113,113,13
actinopterygii,sedimentation,fish,0.25274037078434236,0.07686387156931893,113,113,13
actinopterygii,slr,fish,0.08048391651313122,0.08884907488152095,113,113,7
actinopterygii,storm_disturbance,fish,0.08248130617503882,0.05984514614463517,113,113,12
actinopterygii,water_temp,fish,0.2721667212456447,0.05710714382900562,113,113,13
actinopterygii,wildlife_strike,fish,0.1202380858545766,0.07637589940645989,113,113,13
anthozoa,biomass_removal,corals,0.628576614486262,0.0186283639948405,283,283,88
anthozoa,bycatch,corals,0.102160511584636,0.0024702002166222675,283,283,88
anthozoa,eutrophication_nutrient_pollution,corals,0.5079907271543418,0.013147088479838481,283,283,283
anthozoa,habitat_loss_degradation,corals,0.31052114833871214,0.0075101386940977545,283,283,88
anthozoa,inorganic_pollution,corals,0.3723407478047152,0.031898594404709164,283,283,283
anthozoa,oa,corals,0.43588819680856344,0.011613431308953643,283,283,283
anthozoa,oceanographic,corals,0.3785677470495985,0.010210916146695996,283,283,88
anthozoa,organic_pollution,corals,0.3273089700205823,0.04048610626182263,283,283,283
anthozoa,poisons_toxins,corals,0.18951732389774562,0.053232782479745694,283,283,283
anthozoa,salinity,corals,0.5079621542172362,0.012962543231916725,283,283,283
anthozoa,sedimentation,corals,0.24652918229096643,0.006264524517226848,283,283,283
anthozoa,slr,corals,0.36639179486869594,0.009496799164196358,283,283,88
anthozoa,storm_disturbance,corals,0.1260463410188462,0.003246155002435354,283,283,283
anthozoa,uv,corals,0.33696409184969855,0.009374439751973647,283,283,283
anthozoa,water_temp,corals,0.35034584858275464,0.008380816070097687,283,283,88
asteroidea,biomass_removal,echinoderms,0.6928249604100942,0.04813712084898264,26,26,1
asteroidea,bycatch,echinoderms,0.34906876127704267,0.10401899955785299,26,26,1
asteroidea,entanglement_macroplastic,echinoderms,0.06752796472189572,0.06756314888763827,26,26,1
asteroidea,eutrophication_nutrient_pollution,echinoderms,0.46802378930808625,0.03719765368664665,26,26,1
asteroidea,habitat_loss_degradation,echinoderms,0.35721499740542634,0.032872957219948415,26,26,1
asteroidea,inorganic_pollution,echinoderms,0.41364160854373494,0.05705881939592065,26,26,1
asteroidea,oa,echinoderms,0.43124328376004495,0.030036067986242043,26,26,1
asteroidea,oceanographic,echinoderms,0.4134178508147913,0.025878332157821343,26,26,1
asteroidea,organic_pollution,echinoderms,0.28292982614729173,0.03196093976447961,26,26,1
asteroidea,plastic_pollution_microplastic,echinoderms,0.1492891380734688,0.05784043963057605,26,26,1
asteroidea,poisons_toxins,echinoderms,0.3421800561471051,0.046846930435178125,26,26,1
asteroidea,salinity,echinoderms,0.38020377212779755,0.026986648707237954,26,26,1
asteroidea,sedimentation,echinoderms,0.3606405037744901,0.08322265933547661,26,26,1
asteroidea,storm_disturbance,echinoderms,0.27047526656252935,0.019902979679486843,26,26,1
asteroidea,water_temp,echinoderms,0.4148029835042778,0.050986491164239964,26,26,1
asteroidea,wildlife_strike,echinoderms,0.06934283455614904,0.06937448691021483,26,26,1
aves,air_temp,seabirds,0.09564532849122266,0.07828291783156088,466,466,279
aves,biomass_removal,seabirds,0.6818282237210567,0.03065903615711157,466,466,410
aves,bycatch,seabirds,0.33227917161436904,0.15558200169211822,466,466,410
aves,entanglement_macroplastic,seabirds,0.19622817211803456,0.11295375906903954,466,466,410
aves,eutrophication_nutrient_pollution,seabirds,0.0772553553769431,0.003399070533154299,466,466,410
aves,habitat_loss_degradation,seabirds,0.4507490813147365,0.016063587143214285,466,466,410
aves,inorganic_pollution,seabirds,0.19895002501801531,0.025868548515230357,466,466,410
aves,invasive_species,seabirds,0.5283971858054082,0.024919315160672577,466,466,410
aves,light_pollution,seabirds,0.46626341834006907,0.0221113868402708,466,466,410
aves,noise_pollution,seabirds,0.3955002421538925,0.015947087775952048,466,466,410
aves,oa,seabirds,0.07064012368146118,0.0028043352471713687,466,466,410
aves,organic_pollution,seabirds,0.25225551539577507,0.04262729503486776,466,466,410
aves,plastic_pollution_microplastic,seabirds,0.0365667535361126,0.03910821130391018,466,466,410
aves,poisons_toxins,seabirds,0.01986005934389824,0.02144451768613632,466,466,410
aves,sedimentation,seabirds,0.2568855302576708,0.028388090033032328,466,466,410
aves,slr,seabirds,0.44986318101679107,0.03738437962532038,466,466,410
aves,storm_disturbance,seabirds,0.4113990866648161,0.040420881821561325,466,466,410
aves,water_temp,seabirds,0.09313398396191933,0.004184825245051235,466,466,410
aves,wildlife_strike,seabirds,0.32835554519754095,0.06309192500985783,466,466,410
bivalvia,air_temp,molluscs,0.0639467554099373,0.08258384955121721,29,29,11
bivalvia,eutrophication_nutrient_pollution,molluscs,0.41384796262121537,0.02218852524518,29,29,29
bivalvia,inorganic_pollution,molluscs,0.43422628069448765,0.022624276481432986,29,29,29
bivalvia,oa,molluscs,0.3032377117939698,0.02561324274045278,29,29,29
bivalvia,salinity,molluscs,0.2668459678630593,0.029859215131353624,29,29,29
bivalvia,water_temp,molluscs,0.17830418802056847,0.025698934516483744,29,29,29
cephalopoda,biomass_removal,cephalopods,0.6550455048079089,0.02289706903354543,758,758,76
cephalopoda,bycatch,cephalopods,0.3712758983626037,0.08662710385171368,758,758,76
cephalopoda,entanglement_macroplastic,cephalopods,0.12067658044244635,0.08302347580688156,758,758,76
cephalopoda,eutrophication_nutrient_pollution,cephalopods,0.416992328336922,0.045553510020117476,758,758,76
cephalopoda,habitat_loss_degradation,cephalopods,0.2888488304261426,0.01693315024984002,758,758,76
cephalopoda,inorganic_pollution,cephalopods,0.4183427128809421,0.06083408266107847,758,758,76
cephalopoda,noise_pollution,cephalopods,0.1925433856840614,0.010322384356711114,758,758,76
cephalopoda,oa,cephalopods,0.37985547063705993,0.02102966056320432,758,758,76
cephalopoda,oceanographic,cephalopods,0.28489432474940046,0.10320802490373551,758,758,76
cephalopoda,organic_pollution,cephalopods,0.3674862060859433,0.05286119326281925,758,758,76
cephalopoda,plastic_pollution_microplastic,cephalopods,0.2720845033993161,0.0365897358708431,758,758,76
cephalopoda,poisons_toxins,cephalopods,0.32461511657906744,0.054254325118218705,758,758,76
cephalopoda,salinity,cephalopods,0.3741610657735439,0.023612358156558298,758,758,76
cephalopoda,sedimentation,cephalopods,0.3198538928604649,0.09908738670439382,758,758,76
cephalopoda,slr,cephalopods,0.1697142018235741,0.0609419269997791,758,758,76
cephalopoda,storm_disturbance,cephalopods,0.06639152180996091,0.020082553256832475,758,758,76
cephalopoda,water_temp,cephalopods,0.32232260739511526,0.05581871209020359,758,758,76
cephalopoda,wildlife_strike,cephalopods,0.11806824469772186,0.06798752267307616,758,758,76
echinoidea,eutrophication_nutrient_pollution,echinoderms,0.40201000180717505,0.021972231258877786,22,22,3
echinoidea,inorganic_pollution,echinoderms,0.4112595239321152,0.03380149285412012,22,22,3
echinoidea,oa,echinoderms,0.43015099429482895,0.011542744228567072,22,22,3
echinoidea,organic_pollution,echinoderms,0.35680698019444845,0.033205529328903395,22,22,3
echinoidea,plastic_pollution_microplastic,echinoderms,0.11488004768630211,0.038951139314036716,22,22,3
echinoidea,poisons_toxins,echinoderms,0.3237346416059958,0.024080647844180198,22,22,3
echinoidea,salinity,echinoderms,0.42613765326462366,0.025426896994254208,22,22,3
echinoidea,sedimentation,echinoderms,0.166742911327682,0.021740357167819288,22,22,3
echinoidea,storm_disturbance,echinoderms,0.0663366285776534,0.002194401713395249,22,22,3
elasmobranchii,air_temp,elasmobranchs,5.729160182420504e-4,0.009040929020142054,1229,1229,4
elasmobranchii,biomass_removal,elasmobranchs,0.8823778008386711,0.059960802166568704,1229,1229,378
elasmobranchii,bycatch,elasmobranchs,0.2869189991344107,0.19288335674067605,1229,1229,847
elasmobranchii,entanglement_macroplastic,elasmobranchs,0.10593953485222349,0.11787621948038517,1229,1229,847
elasmobranchii,eutrophication_nutrient_pollution,elasmobranchs,0.20721353844693693,0.021977954842802305,1229,1229,378
elasmobranchii,habitat_loss_degradation,elasmobranchs,0.35722101259727307,0.032173156020897105,1229,1229,378
elasmobranchii,inorganic_pollution,elasmobranchs,0.17550500944655112,0.033673378881321214,1229,1229,847
elasmobranchii,invasive_species,elasmobranchs,0.0021830225619212437,0.03444967662962156,1229,1229,4
elasmobranchii,light_pollution,elasmobranchs,0.0014011869696863282,0.022112074703359987,1229,1229,4
elasmobranchii,noise_pollution,elasmobranchs,0.033269121891919565,0.062488268943769625,1229,1229,152
elasmobranchii,oa,elasmobranchs,0.04350472954544244,0.0037090760043742995,1229,1229,378
elasmobranchii,oceanographic,elasmobranchs,0.19634242820939565,0.03938643996747927,1229,1229,367
elasmobranchii,organic_pollution,elasmobranchs,0.24830776196769302,0.052029172022418815,1229,1229,847
elasmobranchii,plastic_pollution_microplastic,elasmobranchs,0.2656963223324153,0.06054761142946133,1229,1229,847
elasmobranchii,poisons_toxins,elasmobranchs,0.2816766613346588,0.03888972870639208,1229,1229,847
elasmobranchii,salinity,elasmobranchs,0.18106302989720538,0.031783191051898266,1229,1229,367
elasmobranchii,sedimentation,elasmobranchs,0.21404701815368862,0.03648796018934681,1229,1229,847
elasmobranchii,slr,elasmobranchs,0.021805599913752166,0.0625025618320576,1229,1229,25
elasmobranchii,storm_disturbance,elasmobranchs,0.08032095006006422,0.014214539091934257,1229,1229,371
elasmobranchii,water_temp,elasmobranchs,0.008993748504206018,0.03219516926594411,1229,1229,77
elasmobranchii,wildlife_strike,elasmobranchs,0.08416794658600968,0.0842005097733656,1229,1229,834
gastropoda,air_temp,molluscs,0.20406457847732962,0.06548803611964965,14,14,9
gastropoda,eutrophication_nutrient_pollution,molluscs,0.3932082749470431,0.04191559906395778,14,14,10
gastropoda,inorganic_pollution,molluscs,0.3756218563724885,0.02526221802329958,14,14,10
gastropoda,oa,molluscs,0.2496467821000375,0.04408507780941601,14,14,10
gastropoda,salinity,molluscs,0.21839366533659085,0.027325120842055323,14,14,10
gastropoda,water_temp,molluscs,0.20541902254746572,0.037962977100824226,14,14,10
holothuroidea,biomass_removal,echinoderms,0.6908623611613772,0.02304511464044541,19,19,1
holothuroidea,bycatch,echinoderms,0.4081686548533516,0.10209095000338399,19,19,1
holothuroidea,entanglement_macroplastic,echinoderms,0.10249234556627741,0.06133294641496825,19,19,1
holothuroidea,eutrophication_nutrient_pollution,echinoderms,0.5168474702139231,0.021420390318123237,19,19,1
holothuroidea,habitat_loss_degradation,echinoderms,0.39507778110071246,0.015743088043380347,19,19,1
holothuroidea,inorganic_pollution,echinoderms,0.4880678964107455,0.02322563334852235,19,19,1
holothuroidea,oa,echinoderms,0.430781144029874,0.01775971310114117,19,19,1
holothuroidea,oceanographic,echinoderms,0.41069855720471615,0.01573752564101671,19,19,1
holothuroidea,organic_pollution,echinoderms,0.36343725024513907,0.022440580460117647,19,19,1
holothuroidea,plastic_pollution_microplastic,echinoderms,0.12381637112213568,0.04648966469527596,19,19,1
holothuroidea,poisons_toxins,echinoderms,0.3311655378036404,0.03279554761563618,19,19,1
holothuroidea,salinity,echinoderms,0.4351630457914156,0.01956433981569471,19,19,1
holothuroidea,sedimentation,echinoderms,0.3311710671339915,0.03279026664534215,19,19,1
holothuroidea,storm_disturbance,echinoderms,0.27140389725491154,0.011137643401582062,19,19,1
holothuroidea,water_temp,echinoderms,0.5344294536957894,0.0353012758029244,19,19,1
holothuroidea,wildlife_strike,echinoderms,0.10781913408955474,0.06458091606247815,19,19,1
malacostraca,air_temp,crustacea_arthropods,0.2542705937816574,0.1841783673832681,6,6,1
malacostraca,biomass_removal,crustacea_arthropods,0.6235812887251363,0.06938148034629175,6,6,1
malacostraca,bycatch,crustacea_arthropods,0.4158044769422877,0.14743943442555227,6,6,1
malacostraca,entanglement_macroplastic,crustacea_arthropods,0.18357824794549943,0.08951332515095738,6,6,1
