class,order,stressor,taxon,mean_vuln,sd_vuln,n_spp_known,n_spp,n_prob
actinopterygii,anguilliformes,biomass_removal,fish,0.7418866832803667,0.03625992041591159,44,44,1
actinopterygii,anguilliformes,bycatch,fish,0.3063173879682079,0.032728923710103996,44,44,1
actinopterygii,anguilliformes,entanglement_macroplastic,fish,0.21466498291843147,0.1286901209467652,44,44,1
actinopterygii,anguilliformes,eutrophication_nutrient_pollution,fish,0.4110311369446649,0.04737610264414104,44,44,1
actinopterygii,anguilliformes,inorganic_pollution,fish,0.43609151056445034,0.03515967135134263,44,44,1
actinopterygii,anguilliformes,light_pollution,fish,0.18912939130721407,0.01648141628220758,44,44,1
actinopterygii,anguilliformes,oa,fish,0.34194989462940245,0.019383888006858356,44,44,1
actinopterygii,anguilliformes,oceanographic,fish,0.4723486907855369,0.08556766889848008,44,44,1
actinopterygii,anguilliformes,organic_pollution,fish,0.45954234119467374,0.03520433015461757,44,44,1
actinopterygii,anguilliformes,plastic_pollution_microplastic,fish,0.4201980669037228,0.02699300772072045,44,44,1
actinopterygii,anguilliformes,poisons_toxins,fish,0.3945969982453475,0.043072280154825525,44,44,1
actinopterygii,anguilliformes,salinity,fish,0.4173524891548674,0.03668425151533604,44,44,1
actinopterygii,anguilliformes,sedimentation,fish,0.34067546653709807,0.042159228149211254,44,44,1
actinopterygii,anguilliformes,slr,fish,0.09730019423618333,0.09314615340989442,44,44,1
actinopterygii,anguilliformes,storm_disturbance,fish,0.13137191380595778,0.010217177788095938,44,44,1
actinopterygii,anguilliformes,uv,fish,0.1849304218552137,0.1408154371641298,44,44,1
actinopterygii,anguilliformes,water_temp,fish,0.33197357080264606,0.042945036411771845,44,44,1
actinopterygii,anguilliformes,wildlife_strike,fish,0.036389013979102124,0.08574641205810483,44,44,1
actinopterygii,clupeiformes,biomass_removal,fish,0.6078724622302452,0.025851200827686542,3,3,2
actinopterygii,clupeiformes,bycatch,fish,0.2560942260229639,0.003719834745108019,3,3,2
actinopterygii,clupeiformes,entanglement_macroplastic,fish,0.12151291021749967,0.0013617531406422529,3,3,2
actinopterygii,clupeiformes,eutrophication_nutrient_pollution,fish,0.30302280453629576,0.03198068413070051,3,3,2
actinopterygii,clupeiformes,inorganic_pollution,fish,0.3783968885526059,0.012200686161921916,3,3,2
actinopterygii,clupeiformes,light_pollution,fish,0.15306644813558193,0.002549487162241816,3,3,2
actinopterygii,clupeiformes,noise_pollution,fish,0.2102558199362525,0.21374854357656262,3,3,1
actinopterygii,clupeiformes,oa,fish,0.2896327759568191,0.013195243287315228,3,3,2
actinopterygii,clupeiformes,oceanographic,fish,0.4076318731040279,0.01839301827095408,3,3,2
actinopterygii,clupeiformes,organic_pollution,fish,0.36787044960499216,0.018574590210805462,3,3,2
actinopterygii,clupeiformes,plastic_pollution_microplastic,fish,0.3483780115318039,0.008578686788058933,3,3,2
actinopterygii,clupeiformes,poisons_toxins,fish,0.2977806591418204,0.011707950144860403,3,3,2
actinopterygii,clupeiformes,salinity,fish,0.3913891849837489,0.014677470381766027,3,3,2
actinopterygii,clupeiformes,sedimentation,fish,0.26194338561775365,0.011549653159600526,3,3,2
actinopterygii,clupeiformes,slr,fish,0.1530338169727254,0.006066820857712121,3,3,2
actinopterygii,clupeiformes,storm_disturbance,fish,0.13240412317051808,0.04257765374382596,3,3,2
actinopterygii,clupeiformes,uv,fish,0.21163232179066258,0.008914879315779032,3,3,2
actinopterygii,clupeiformes,water_temp,fish,0.29829886271219397,0.011413306450711912,3,3,2
actinopterygii,perciformes,biomass_removal,fish,0.6038357712122668,0.03709106993464908,49,49,6
actinopterygii,perciformes,bycatch,fish,0.2450883396441703,0.08508140955992766,49,49,6
actinopterygii,perciformes,entanglement_macroplastic,fish,0.1439248204369385,0.09918212689456962,49,49,6
actinopterygii,perciformes,eutrophication_nutrient_pollution,fish,0.31028546127699463,0.0715748613468094,49,49,6
actinopterygii,perciformes,habitat_loss_degradation,fish,0.25290605807063216,0.10827252395423637,49,49,2
actinopterygii,perciformes,inorganic_pollution,fish,0.3703541955431282,0.04618136774672031,49,49,6
actinopterygii,perciformes,light_pollution,fish,0.15750487131372432,0.04877337727044341,49,49,6
actinopterygii,perciformes,noise_pollution,fish,0.06711427879415652,0.11270486090209253,49,49,1
actinopterygii,perciformes,oa,fish,0.2860178175344981,0.024601439561505352,49,49,6
actinopterygii,perciformes,oceanographic,fish,0.4165760884342766,0.08858479684200529,49,49,6
actinopterygii,perciformes,organic_pollution,fish,0.3457521404184909,0.06101183640245714,49,49,6
actinopterygii,perciformes,plastic_pollution_microplastic,fish,0.3411494682922999,0.042334564118649776,49,49,6
actinopterygii,perciformes,poisons_toxins,fish,0.28706600271756993,0.056630759235358805,49,49,6
actinopterygii,perciformes,salinity,fish,0.353352121322052,0.052294556492714334,49,49,6
actinopterygii,perciformes,sedimentation,fish,0.27383094681152903,0.05674043064446354,49,49,6
actinopterygii,perciformes,slr,fish,0.07166958123975513,0.07947799552540774,49,49,2
actinopterygii,perciformes,storm_disturbance,fish,0.1182422827314162,0.05641434304718335,49,49,6
actinopterygii,perciformes,uv,fish,0.22920825912179654,0.050121759859393114,49,49,6
actinopterygii,perciformes,water_temp,fish,0.2873261885349089,0.05291190185109481,49,49,6
actinopterygii,perciformes,wildlife_strike,fish,0.03145037919703845,0.07188293701122916,49,49,6
actinopterygii,tetraodontiformes,biomass_removal,fish,0.567924819586933,0.025548956097704648,2,2,1
actinopterygii,tetraodontiformes,bycatch,fish,0.23761396130238957,0.008953777905293054,2,2,1
actinopterygii,tetraodontiformes,entanglement_macroplastic,fish,0.11376213305465649,0.00413840223275381,2,2,1
actinopterygii,tetraodontiformes,eutrophication_nutrient_pollution,fish,0.2313910694838494,0.025146961570801065,2,2,1
actinopterygii,tetraodontiformes,inorganic_pollution,fish,0.356082674732079,0.012075641986474397,2,2,1
actinopterygii,tetraodontiformes,light_pollution,fish,0.14448377434032675,0.005013809640201202,2,2,1
actinopterygii,tetraodontiformes,noise_pollution,fish,0.30133865005670135,0.01147738403497211,2,2,1
actinopterygii,tetraodontiformes,oa,fish,0.2927206862854829,0.011140141084517285,2,2,1
actinopterygii,tetraodontiformes,oceanographic,fish,0.3520694955344593,0.04944436450652492,2,2,1
actinopterygii,tetraodontiformes,organic_pollution,fish,0.3265695108393247,0.01106482900763824,2,2,1
actinopterygii,tetraodontiformes,plastic_pollution_microplastic,fish,0.32573986023799684,0.01261532172579894,2,2,1
actinopterygii,tetraodontiformes,poisons_toxins,fish,0.22957273513000934,0.007786326143610406,2,2,1
actinopterygii,tetraodontiformes,salinity,fish,0.29935285126037675,0.04982799645782945,2,2,1
actinopterygii,tetraodontiformes,sedimentation,fish,0.22958161155244425,0.007775659521789066,2,2,1
actinopterygii,tetraodontiformes,slr,fish,0.07245755445293213,0.0724622980109341,2,2,1
actinopterygii,tetraodontiformes,storm_disturbance,fish,0.11902892028285969,0.019878440267376802,2,2,1
actinopterygii,tetraodontiformes,uv,fish,0.22990385398118146,0.018570094070778805,2,2,1
actinopterygii,tetraodontiformes,water_temp,fish,0.2663378407948611,0.00970361446373454,2,2,1
anthozoa,scleractinia,biomass_removal,corals,0.6284457432133274,0.018293867350839918,283,283,88
anthozoa,scleractinia,eutrophication_nutrient_pollution,corals,0.5296330171143655,0.01959876119228017,283,283,283
anthozoa,scleractinia,inorganic_pollution,corals,0.42974717140714785,0.03648761032860241,283,283,283
anthozoa,scleractinia,light_pollution,corals,0.19164096396547003,0.0051515627059564575,283,283,88
anthozoa,scleractinia,oa,corals,0.41839013560429406,0.013757338860786348,283,283,283
anthozoa,scleractinia,organic_pollution,corals,0.413349035034302,0.04490337904659358,283,283,283
anthozoa,scleractinia,plastic_pollution_microplastic,corals,0.129879135360818,0.0038057615266046596,283,283,283
anthozoa,scleractinia,poisons_toxins,corals,0.28816525244410407,0.05046508287434166,283,283,283
anthozoa,scleractinia,salinity,corals,0.5563768287903382,0.020581378166460926,283,283,283
anthozoa,scleractinia,sedimentation,corals,0.2946819059025118,0.011505118515730607,283,283,283
anthozoa,scleractinia,storm_disturbance,corals,0.18421349414339408,0.00681600984615549,283,283,283
anthozoa,scleractinia,water_temp,corals,0.42991491758619355,0.011589459505186354,283,283,88
asteroidea,valvatida,biomass_removal,echinoderms,0.7001767604907134,0.046356712600501344,23,23,1
asteroidea,valvatida,bycatch,echinoderms,0.1822845647769999,0.0910446387213942,23,23,1
asteroidea,valvatida,entanglement_macroplastic,echinoderms,0.059087773230458274,0.06740005334175438,23,23,1
asteroidea,valvatida,eutrophication_nutrient_pollution,echinoderms,0.45102007113460274,0.03639134618649025,23,23,1
