id,name,rank,parent,parent_level
536746,rubyspira,genus,[unassigned] abyssochrysoidea,family
138053,cylichnium,genus,[unassigned] cephalaspidea,family
456464,micratys,genus,[unassigned] cephalaspidea,family
510361,noalda,genus,[unassigned] cephalaspidea,family
578922,volvulopsis,genus,[unassigned] cephalaspidea,family
527217,boissevainia,genus,[unassigned] gadilida,family
343665,compressidens,genus,[unassigned] gadilida,family
343666,megaentalina,genus,[unassigned] gadilida,family
NA,NA,NA,[unassigned] rissooidea,family
391914,aberrapex,genus,aberrapecidae,family
512718,abertella,genus,abertellidae,family
512719,karlaster,genus,abertellidae,family
411405,reteograptus,genus,abrograptidae,family
890561,abronica,genus,abronicidae,family
438894,abrsia,genus,abrsiidae,family
135351,abyla,genus,abylidae,family
709079,amphiroa,genus,abylidae,family
135354,ceratocymba,genus,abylidae,family
709082,cymba,genus,abylidae,family
709085,diphyabyla,genus,abylidae,family
843688,nacella,genus,abylidae,family
709084,nacelle,genus,abylidae,family
746195,pseudabyla,genus,abylidae,family
709086,pseudocymba,genus,abylidae,family
135352,abylopsis,genus,abylidae,family
746198,abylopsoides,genus,abylidae,family
709089,aglaisma,genus,abylidae,family
709090,aglaismoides,genus,abylidae,family
867588,aglaja,genus,abylidae,family
135353,bassia,genus,abylidae,family
709088,calpe,genus,abylidae,family
867583,chunia,genus,abylidae,family
709093,cuboides,genus,abylidae,family
135355,enneagonum,genus,abylidae,family
709094,halopyramis,genus,abylidae,family
867590,plethosoma,genus,abylidae,family
709091,pseudabylopsis,genus,abylidae,family
709092,pyramis,genus,abylidae,family
867523,sphenoides,genus,abylidae,family
446134,abyssoanthus,genus,abyssoanthidae,family
833455,abyssochiton,genus,abyssochitonidae,family
385540,ferreiraella,genus,abyssochitonidae,family
385585,xylochiton,genus,abyssochitonidae,family
345310,abyssochrysos,genus,abyssochrysidae,family
NA,NA,NA,abyssocottidae,family
118308,acanthaspidia,genus,acanthaspidiidae,family
293808,exacanthaspidia,genus,acanthaspidiidae,family
118309,ianthopsis,genus,acanthaspidiidae,family
174440,iolanthe,genus,acanthaspidiidae,family
293830,janthe,genus,acanthaspidiidae,family
248964,mexicope,genus,acanthaspidiidae,family
293871,paracanthaspidia,genus,acanthaspidiidae,family
205212,acanthaster,genus,acanthasteridae,family
370911,echinities,genus,acanthasteridae,family
107018,acanthephyra,genus,acanthephyridae,family
107019,ephyrina,genus,acanthephyridae,family
107020,heterogenys,genus,acanthephyridae,family
107021,hymenodora,genus,acanthephyridae,family
107023,kemphyra,genus,acanthephyridae,family
107024,meningodora,genus,acanthephyridae,family
107025,notostomus,genus,acanthephyridae,family
585980,tropirinus,genus,acanthephyridae,family
517543,acanthoaxis,genus,acanthoaxiidae,family
1373095,acanthoceramoporella,genus,acanthoceramoporellidae,family
1373123,anolotichiina,genus,acanthoceramoporellidae,family
1373124,minutolunaria,genus,acanthoceramoporellidae,family
170382,acanthochaetetes,genus,acanthochaetetidae,family
178301,tabulospongia,genus,acanthochaetetidae,family
170386,willardia,genus,acanthochaetetidae,family
