id,name,rank,parent,parent_level
711964,acantharia incertae sedis,order,acantharia,class
866438,acanthonida,order,acantharia,class
367301,arthracanthida,order,acantharia,class
367300,chaunacanthida,order,acantharia,class
367298,holacanthida,order,acantharia,class
367299,symphyacanthida,order,acantharia,class
NA,NA,NA,actinopteri,class
10288,acipenseriformes,order,actinopterygii,class
1321884,argentiniformes,order,actinopterygii,class
10307,ateleopodiformes,order,actinopterygii,class
10318,atheriniformes,order,actinopterygii,class
10308,aulopiformes,order,actinopterygii,class
10315,batrachoidiformes,order,actinopterygii,class
10320,beloniformes,order,actinopterygii,class
10322,beryciformes,order,actinopterygii,class
10323,cetomimiformes,order,actinopterygii,class
10297,clupeiformes,order,actinopterygii,class
154156,cypriniformes,order,actinopterygii,class
10319,cyprinodontiformes,order,actinopterygii,class
10313,gadiformes,order,actinopterygii,class
10326,gasterosteiformes,order,actinopterygii,class
10317,gobiesociformes,order,actinopterygii,class
10310,lampriformes,order,actinopterygii,class
10316,lophiiformes,order,actinopterygii,class
397228,mugiliformes,order,actinopterygii,class
10309,myctophiformes,order,actinopterygii,class
10294,notacanthiformes,order,actinopterygii,class
10314,ophidiiformes,order,actinopterygii,class
10304,osmeriformes,order,actinopterygii,class
11014,perciformes,order,actinopterygii,class
10331,pleuronectiformes,order,actinopterygii,class
10311,polymixiiformes,order,actinopterygii,class
10305,salmoniformes,order,actinopterygii,class
10329,scorpaeniformes,order,actinopterygii,class
10321,stephanoberyciformes,order,actinopterygii,class
10306,stomiiformes,order,actinopterygii,class
10327,syngnathiformes,order,actinopterygii,class
10332,tetraodontiformes,order,actinopterygii,class
10919,zeiformes,order,actinopterygii,class
151804,albuliformes,order,actinopterygii,class
10295,anguilliformes,order,actinopterygii,class
10292,elopiformes,order,actinopterygii,class
10296,saccopharyngiformes,order,actinopterygii,class
NA,NA,NA,adenophorea,class
129094,vestimentifera,order,afrenulata,class
NA,NA,NA,allomalorhagida,class
NA,NA,NA,amphineura,class
NA,NA,NA,anopla,class
380371,auloporida,order,anthozoa,class
366466,penicillaria,order,anthozoa,class
151646,spirularia,order,anthozoa,class
1360,actiniaria,order,anthozoa,class
22549,antipatharia,order,anthozoa,class
1362,corallimorpharia,order,anthozoa,class
196195,coralliomorpharia,order,anthozoa,class
1455184,hexanthiniaria,order,anthozoa,class
1460175,kilbuchophyllida,order,anthozoa,class
22712,ptychodactiaria,order,anthozoa,class
1363,scleractinia,order,anthozoa,class
607338,zoantharia,order,anthozoa,class
16327,zoanthidea,order,anthozoa,class
955022,zoanthiniaria,order,anthozoa,class
1365,alcyonacea,order,anthozoa,class
1366,gorgonacea,order,anthozoa,class
266987,helioporacea,order,anthozoa,class
151642,octocorallia incertae sedis,order,anthozoa,class
1367,pennatulacea,order,anthozoa,class
1457921,stauriida,order,anthozoa,class
1457932,stereolasmatina,order,anthozoa,class
1457917,auloporida,order,anthozoa,class
1457911,favositida,order,anthozoa,class
1458061,halysitida,order,anthozoa,class
1458034,sarcinulida,order,anthozoa,class
1458062,syringoporida,order,anthozoa,class
509663,madreporaria,order,anthozoa,class
NA,NA,NA,apicomplexa incertae sedis,class
NA,NA,NA,aplacophora,class
103353,copelata,order,appendicularia,class
150467,araneae,order,arachnida,class
510080,palpigradi,order,arachnida,class
118083,pseudoscorpiones,order,arachnida,class
467668,pseudoscorpionida,order,arachnida,class
562861,haplosporida,order,ascetosporea,class
562855,paramyxida,order,ascetosporea,class
103434,aplousobranchia,order,ascidiacea,class
154133,enterogona,order,ascidiacea,class
103435,phlebobranchia,order,ascidiacea,class
147105,pleurogona,order,ascidiacea,class
103436,stolidobranchia,order,ascidiacea,class
368151,euclasteroidea,order,asteroidea,class
152494,platyasterida,order,asteroidea,class
123091,velatida,order,asteroidea,class
369151,peripodida,order,asteroidea,class
123085,brisingida,order,asteroidea,class
123086,forcipulatida,order,asteroidea,class
1316475,trichasteropsida,order,asteroidea,class
123089,spinulosida,order,asteroidea,class
123087,notomyotida,order,asteroidea,class
123088,paxillosida,order,asteroidea,class
123090,valvatida,order,asteroidea,class
2681,anseriformes,order,aves,class
2682,charadriiformes,order,aves,class
148746,ciconiiformes,order,aves,class
148793,gaviiformes,order,aves,class
2684,pelecaniformes,order,aves,class
196035,phoenicopteriformes,order,aves,class
2685,podicipediformes,order,aves,class
2686,procellariiformes,order,aves,class
196033,sphenisciformes,order,aves,class
203,nuculanida,order,bivalvia,class
382247,nuculida,order,bivalvia,class
22629,solemyida,order,bivalvia,class
207,arcida,order,bivalvia,class
1777,limida,order,bivalvia,class
210,mytilida,order,bivalvia,class
1774,ostreida,order,bivalvia,class
387324,pectinida,order,bivalvia,class
212,pteriida,order,bivalvia,class
833261,actinodontida,order,bivalvia,class
382256,carditida,order,bivalvia,class
382297,[unassigned] euheterodonta,order,bivalvia,class
394137,anomalodesmacea,order,bivalvia,class
394138,pholadomyida,order,bivalvia,class
382254,trigoniida,order,bivalvia,class
160326,unionida,order,bivalvia,class
869601,adapedonta,order,bivalvia,class
869602,cardiida,order,bivalvia,class
1326015,galeommatida,order,bivalvia,class
1326014,gastrochaenida,order,bivalvia,class
833394,hiatellida,order,bivalvia,class
833312,hippuritida,order,bivalvia,class
