id,name,rank,parent,parent_level
18814,acanthocephala,phylum,animalia,kingdom
882,annelida,phylum,animalia,kingdom
1065,arthropoda,phylum,animalia,kingdom
391884,aschelminthes,phylum,animalia,kingdom
1803,brachiopoda,phylum,animalia,kingdom
146142,bryozoa,phylum,animalia,kingdom
22699,cephalorhyncha,phylum,animalia,kingdom
2081,chaetognatha,phylum,animalia,kingdom
1821,chordata,phylum,animalia,kingdom
1267,cnidaria,phylum,animalia,kingdom
1248,ctenophora,phylum,animalia,kingdom
22586,cycliophora,phylum,animalia,kingdom
14221,dicyemida,phylum,animalia,kingdom
1806,echinodermata,phylum,animalia,kingdom
2601,ectoprocta,phylum,animalia,kingdom
1271,entoprocta,phylum,animalia,kingdom
2078,gastrotricha,phylum,animalia,kingdom
14262,gnathostomulida,phylum,animalia,kingdom
1818,hemichordata,phylum,animalia,kingdom
101060,kinorhyncha,phylum,animalia,kingdom
101061,loricifera,phylum,animalia,kingdom
14218,mesozoa,phylum,animalia,kingdom
51,mollusca,phylum,animalia,kingdom
799,nematoda,phylum,animalia,kingdom
162564,nematomorpha,phylum,animalia,kingdom
152391,nemertea,phylum,animalia,kingdom
1053,nemertina,phylum,animalia,kingdom
246812,nemertini,phylum,animalia,kingdom
14220,orthonectida,phylum,animalia,kingdom
196279,pentastomida,phylum,animalia,kingdom
1789,phoronida,phylum,animalia,kingdom
22737,placozoa,phylum,animalia,kingdom
793,platyhelminthes,phylum,animalia,kingdom
1270,pogonophora,phylum,animalia,kingdom
558,porifera,phylum,animalia,kingdom
101063,priapulida,phylum,animalia,kingdom
14260,rotifera,phylum,animalia,kingdom
1268,sipuncula,phylum,animalia,kingdom
152283,sipunculida,phylum,animalia,kingdom
1276,tardigrada,phylum,animalia,kingdom
592916,xenacoelomorpha,phylum,animalia,kingdom
17166,chrysophyta,phylum,chromista,kingdom
21539,xanthophyta,phylum,chromista,kingdom
17638,cryptophyta,phylum,chromista,kingdom
369190,haptophyta,phylum,chromista,kingdom
11,ciliophora,phylum,chromista,kingdom
450030,myzozoa,phylum,chromista,kingdom
148898,bacillariophyta,phylum,chromista,kingdom
370437,heterokontophyta,phylum,chromista,kingdom
345465,ochrophyta,phylum,chromista,kingdom
22154,oomycota,phylum,chromista,kingdom
562852,cercozoa,phylum,chromista,kingdom
1410,foraminifera,phylum,chromista,kingdom
582421,radiozoa,phylum,chromista,kingdom
368665,chlorarachniophyta,phylum,plantae,kingdom
1447612,craspediophyta,phylum,plantae,kingdom
153494,craspedophyta,phylum,plantae,kingdom
19538,euglenophyta,phylum,plantae,kingdom
503066,plantae incertae sedis,phylum,plantae,kingdom
17328,prasinophyta,phylum,plantae,kingdom
21002,prymnesiophyta,phylum,plantae,kingdom
852,rhodophyta,phylum,plantae,kingdom
801,chlorophyta,phylum,plantae,kingdom
