category,trait,trait_value
Spatial Scale of species,EOO (range),<99
Spatial Scale of species,EOO (range),100-4999
Spatial Scale of species,EOO (range),"5000-19,999"
Spatial Scale of species,EOO (range),">20,000"
Spatial Scale of species,depth (min/max),epipelagic
Spatial Scale of species,depth (min/max),mesopelagic
Spatial Scale of species,depth (min/max),bathypelagic
Spatial Scale of species,depth (min/max),abyssopelagic
Spatial Scale of species,depth (min/max),hadopelagic
Spatial Scale of species,zone,intertidal
Spatial Scale of species,zone,neritic
Spatial Scale of species,zone,oceanic
Spatial Scale of species,zone,pelagic
Spatial Scale of species,zone,demersal
Spatial Scale of species,zone,benthic
R (Reproductive Traits),reproductive strategy,sexual dioecious
R (Reproductive Traits),reproductive strategy,sexual hermaphrodite
R (Reproductive Traits),reproductive strategy,asexual
R (Reproductive Traits),reproductive strategy,colonial
R (Reproductive Traits),feeding larva (post-hatching metamorphosis),feeding
R (Reproductive Traits),feeding larva (post-hatching metamorphosis),non-feeding
R (Reproductive Traits),feeding larva (post-hatching metamorphosis),no larva
R (Reproductive Traits),feeding larva (post-hatching metamorphosis),"NA"
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,5°C
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,10°C
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,15°C
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,20°C
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,25°C
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,30°C
physiological tolerance breadths,thermal - sensitivity to heat spikes/heat waves,yes
physiological tolerance breadths,thermal - sensitivity to heat spikes/heat waves,no
physiological tolerance breadths,salinity,stenohaline
physiological tolerance breadths,salinity,euryhaline
physiological tolerance breadths,salinity,"NA"
physiological tolerance breadths,pH,<7.4
physiological tolerance breadths,pH,7.5-7.7
physiological tolerance breadths,pH,7.8-8.2
physiological tolerance breadths,dissolved oxygen,low tolerance
physiological tolerance breadths,dissolved oxygen,medium tolerance
physiological tolerance breadths,dissolved oxygen,high tolerance
physiological tolerance breadths,dissolved oxygen,air breathers
physiological tolerance breadths,sensitivity to wave energy (physical forcing),sensitive
physiological tolerance breadths,sensitivity to wave energy (physical forcing),not sensitive
physiological tolerance breadths,sensitivity to wave energy (physical forcing),"NA"
Specialisation,light dependence,yes
Specialisation,light dependence,no
Specialisation,air-sea interface,floating
Specialisation,air-sea interface,yes
Specialisation,air-sea interface,no
Specialisation,within-stage dependent habitats + condition,habitat list
Specialisation,across-stage dependent habitats + condition,habitat list
Specialisation,terrestrial and marine life stages,yes
Specialisation,terrestrial and marine life stages,no
Specialisation,extreme diet specialization,specialist
Specialisation,extreme diet specialization,generalist
Specialisation,extreme diet specialization,"NA"
Specialisation,dependent interspecific interactions,yes
Specialisation,dependent interspecific interactions,no
breeding/nesting range/number of spawning aggregations (fish),number of sites,one
breeding/nesting range/number of spawning aggregations (fish),number of sites,few
breeding/nesting range/number of spawning aggregations (fish),number of sites,many
breeding/nesting range/number of spawning aggregations (fish),number of sites,does not aggregate
breeding/nesting range/number of spawning aggregations (fish),number of sites,"NA"
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",very small
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",small
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",medium
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",large
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size","NA"
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,yes
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,no
foraging range,"number of sites, incl. terrestrial wetlands",one
foraging range,"number of sites, incl. terrestrial wetlands",few
foraging range,"number of sites, incl. terrestrial wetlands",many
foraging range,"number of sites, incl. terrestrial wetlands",does not aggregate
foraging range,"number of sites, incl. terrestrial wetlands","NA"
foraging range,"if one/few, size",very small
foraging range,"if one/few, size",small
foraging range,"if one/few, size",medium
foraging range,"if one/few, size",large
foraging range,"if one/few, size","NA"
foraging range,sub-population dependence on particular sites,yes
foraging range,sub-population dependence on particular sites,no
Biophysical Traits,adult body mass/body size,>1000 mm
Biophysical Traits,adult body mass/body size,50 mm-999 mm
Biophysical Traits,adult body mass/body size,0.5-49 mm
Biophysical Traits,adult body mass/body size,<0.4 mm
Biophysical Traits,adult body mass/body size,unknown
Biophysical Traits,calcium carbonate structure location,none
Biophysical Traits,calcium carbonate structure location,internal
Biophysical Traits,calcium carbonate structure location,external with a cover
Biophysical Traits,calcium carbonate structure location,external
Biophysical Traits,calcium carbonate structure location,in external protein matrix
Biophysical Traits,calcium carbonate structure location,in cellulose cell wall
Biophysical Traits,calcium carbonate structure stages,none
Biophysical Traits,calcium carbonate structure stages,larvae
Biophysical Traits,calcium carbonate structure stages,adult
Biophysical Traits,calcium carbonate structure stages,both
Biophysical Traits,biomineral,aragonite
Biophysical Traits,biomineral,High Mg calcite
Biophysical Traits,biomineral,calcite
Biophysical Traits,biomineral,chitin/CaCO3 mix
Biophysical Traits,biomineral,silicate
Biophysical Traits,biomineral,other
Biophysical Traits,flight,yes
Biophysical Traits,flight,no
Biophysical Traits,communication requirement (sound),yes
Biophysical Traits,communication requirement (sound),no
Biophysical Traits,"navigation requirements (sound or light, or magnetic)",yes
Biophysical Traits,"navigation requirements (sound or light, or magnetic)",no
Biophysical Traits,extreme pressure wave sensitive structures,high
Biophysical Traits,extreme pressure wave sensitive structures,medium
Biophysical Traits,extreme pressure wave sensitive structures,low sensitivity
Biophysical Traits,respiration structures,lungs
Biophysical Traits,respiration structures,gills
Biophysical Traits,respiration structures,skin
Biophysical Traits,respiration structures,diffusion
Biophysical Traits,respiration structures,pneumatophores
Biophysical Traits,respiration structures,filter feeders
