phylum,class,order,family,genus,species,taxon,match_rank,downfill_spp_id
mollusca,cephalopoda,octopoda,octopodidae,abdopus,abdopus abaculus,cephalopods,species,1
mollusca,cephalopoda,octopoda,octopodidae,abdopus,abdopus aculeatus,cephalopods,species,2
mollusca,cephalopoda,octopoda,octopodidae,abdopus,abdopus capricornicus,cephalopods,genus,3
mollusca,cephalopoda,octopoda,octopodidae,abdopus,abdopus horridus,cephalopods,species,4
mollusca,cephalopoda,octopoda,octopodidae,abdopus,abdopus tenebricus,cephalopods,species,5
mollusca,cephalopoda,octopoda,octopodidae,abdopus,abdopus tonganus,cephalopods,species,6
mollusca,cephalopoda,octopoda,octopodidae,abdopus,abdopus undulatus,cephalopods,species,7
mollusca,cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (abralia) armata,cephalopods,genus,8
mollusca,cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (abralia) multihamata,cephalopods,genus,9
mollusca,cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (abralia) renschi,cephalopods,genus,10
mollusca,cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (abralia) spaercki,cephalopods,genus,11
mollusca,cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (abralia) steindachneri,cephalopods,genus,12
mollusca,cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (asteroteuthis) veranyi,cephalopods,genus,13
mollusca,cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (astrabralia) astrosticta,cephalopods,genus,14
mollusca,cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (enigmoteuthis) dubia,cephalopods,genus,15
mollusca,cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (enigmoteuthis) fasciolata,cephalopods,genus,16
mollusca,cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (enigmoteuthis) marisarabica,cephalopods,genus,17
mollusca,cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (heterabralia) andamanica,cephalopods,genus,18
mollusca,cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (heterabralia) heminuchalis,cephalopods,genus,19
mollusca,cephalopoda,oegopsida,enoploteuthidae,abralia,abralia (heterabralia) robsoni,cephalopods,genus,20
