spp_gp,stressor,taxon,sens_score,adcap_gen_score,adcap_spec_score
abdopus,air_temp,cephalopods,3.3400000000000003,7.165,1.0050000000000001
abdopus,biomass_removal,cephalopods,1,7.165,0
abdopus,bycatch,cephalopods,1,7.165,0
abdopus,entanglement_macroplastic,cephalopods,0.33,7.165,0.67
abdopus,eutrophication_nutrient_pollution,cephalopods,5.505,7.165,0.8350000000000001
abdopus,habitat_loss_degradation,cephalopods,2,7.165,1
abdopus,inorganic_pollution,cephalopods,6.68,7.165,0.8350000000000001
abdopus,invasive_species,cephalopods,0,7.165,0.33
abdopus,light_pollution,cephalopods,0.165,7.165,1
abdopus,noise_pollution,cephalopods,1,7.165,0.67
abdopus,oa,cephalopods,3.835,7.165,0.8350000000000001
abdopus,oceanographic,cephalopods,0.66,7.165,0
abdopus,organic_pollution,cephalopods,4.665,7.165,1.165
abdopus,plastic_pollution_microplastic,cephalopods,1.5,7.165,0.8350000000000001
abdopus,poisons_toxins,cephalopods,2.83,7.165,0.8350000000000001
abdopus,salinity,cephalopods,2.505,7.165,0.8350000000000001
abdopus,sedimentation,cephalopods,2.835,7.165,0.8350000000000001
abdopus,slr,cephalopods,0.33,7.165,1
abdopus,storm_disturbance,cephalopods,0.495,7.165,1.0050000000000001
abdopus,uv,cephalopods,0.165,7.165,0.335
abdopus,water_temp,cephalopods,4.17,7.165,0.33
abdopus,wildlife_strike,cephalopods,0.67,7.165,0.67
abdopus abaculus,air_temp,cephalopods,3.3400000000000003,7.165,1.0050000000000001
abdopus abaculus,biomass_removal,cephalopods,1,7.165,0
abdopus abaculus,bycatch,cephalopods,1,7.165,0
abdopus abaculus,entanglement_macroplastic,cephalopods,0.33,7.165,0.67
abdopus abaculus,eutrophication_nutrient_pollution,cephalopods,5.505,7.165,0.8350000000000001
abdopus abaculus,habitat_loss_degradation,cephalopods,2,7.165,1
abdopus abaculus,inorganic_pollution,cephalopods,6.68,7.165,0.8350000000000001
abdopus abaculus,invasive_species,cephalopods,0,7.165,0.33
abdopus abaculus,light_pollution,cephalopods,0.165,7.165,1
abdopus abaculus,noise_pollution,cephalopods,1,7.165,0.67
abdopus abaculus,oa,cephalopods,3.835,7.165,0.8350000000000001
abdopus abaculus,oceanographic,cephalopods,0.66,7.165,0
abdopus abaculus,organic_pollution,cephalopods,4.665,7.165,1.165
abdopus abaculus,plastic_pollution_microplastic,cephalopods,1.5,7.165,0.8350000000000001
abdopus abaculus,poisons_toxins,cephalopods,2.83,7.165,0.8350000000000001
abdopus abaculus,salinity,cephalopods,2.505,7.165,0.8350000000000001
abdopus abaculus,sedimentation,cephalopods,2.835,7.165,0.8350000000000001
abdopus abaculus,slr,cephalopods,0.33,7.165,1
abdopus abaculus,storm_disturbance,cephalopods,0.495,7.165,1.0050000000000001
abdopus abaculus,uv,cephalopods,0.165,7.165,0.335
abdopus abaculus,water_temp,cephalopods,4.17,7.165,0.33
abdopus abaculus,wildlife_strike,cephalopods,0.67,7.165,0.67
abdopus aculeatus,air_temp,cephalopods,3.3400000000000003,7.33,1.34
abdopus aculeatus,biomass_removal,cephalopods,1,7.33,0
abdopus aculeatus,bycatch,cephalopods,1,7.33,0
abdopus aculeatus,entanglement_macroplastic,cephalopods,0.33,7.33,0.67
abdopus aculeatus,eutrophication_nutrient_pollution,cephalopods,5.67,7.33,1
abdopus aculeatus,habitat_loss_degradation,cephalopods,2,7.33,1
abdopus aculeatus,inorganic_pollution,cephalopods,6.68,7.33,1
abdopus aculeatus,invasive_species,cephalopods,0,7.33,0.33
abdopus aculeatus,light_pollution,cephalopods,0.33,7.33,1
abdopus aculeatus,noise_pollution,cephalopods,1,7.33,0.67
abdopus aculeatus,oa,cephalopods,4,7.33,1
abdopus aculeatus,oceanographic,cephalopods,0.66,7.33,0
abdopus aculeatus,organic_pollution,cephalopods,5,7.33,1.33
abdopus aculeatus,plastic_pollution_microplastic,cephalopods,2,7.33,1
abdopus aculeatus,poisons_toxins,cephalopods,3.33,7.33,1
abdopus aculeatus,salinity,cephalopods,2.67,7.33,1
abdopus aculeatus,sedimentation,cephalopods,3,7.33,1
abdopus aculeatus,slr,cephalopods,0.33,7.33,1
abdopus aculeatus,storm_disturbance,cephalopods,0.66,7.33,1.34
abdopus aculeatus,uv,cephalopods,0.33,7.33,0.67
abdopus aculeatus,water_temp,cephalopods,4.67,7.33,0.33
abdopus aculeatus,wildlife_strike,cephalopods,0.67,7.33,0.67
abdopus horridus,air_temp,cephalopods,3.3400000000000003,7,0.67
abdopus horridus,biomass_removal,cephalopods,1,7,0
abdopus horridus,bycatch,cephalopods,1,7,0
abdopus horridus,entanglement_macroplastic,cephalopods,0.33,7,0.67
abdopus horridus,eutrophication_nutrient_pollution,cephalopods,5.34,7,0.67
abdopus horridus,habitat_loss_degradation,cephalopods,2,7,1
abdopus horridus,inorganic_pollution,cephalopods,6.68,7,0.67
abdopus horridus,invasive_species,cephalopods,0,7,0.33
abdopus horridus,light_pollution,cephalopods,0,7,1
abdopus horridus,noise_pollution,cephalopods,1,7,0.67
abdopus horridus,oa,cephalopods,3.67,7,0.67
abdopus horridus,oceanographic,cephalopods,0.66,7,0
abdopus horridus,organic_pollution,cephalopods,4.33,7,1
abdopus horridus,plastic_pollution_microplastic,cephalopods,1,7,0.67
abdopus horridus,poisons_toxins,cephalopods,2.33,7,0.67
abdopus horridus,salinity,cephalopods,2.34,7,0.67
abdopus horridus,sedimentation,cephalopods,2.67,7,0.67
abdopus horridus,slr,cephalopods,0.33,7,1
abdopus horridus,storm_disturbance,cephalopods,0.33,7,0.67
abdopus horridus,uv,cephalopods,0,7,0
abdopus horridus,water_temp,cephalopods,3.67,7,0.33
abdopus horridus,wildlife_strike,cephalopods,0.67,7,0.67
abdopus tenebricus,air_temp,cephalopods,3.3400000000000003,7.165,1.0050000000000001
abdopus tenebricus,biomass_removal,cephalopods,1,7.165,0
abdopus tenebricus,bycatch,cephalopods,1,7.165,0
abdopus tenebricus,entanglement_macroplastic,cephalopods,0.33,7.165,0.67
abdopus tenebricus,eutrophication_nutrient_pollution,cephalopods,5.505,7.165,0.8350000000000001
abdopus tenebricus,habitat_loss_degradation,cephalopods,2,7.165,1
abdopus tenebricus,inorganic_pollution,cephalopods,6.68,7.165,0.8350000000000001
abdopus tenebricus,invasive_species,cephalopods,0,7.165,0.33
abdopus tenebricus,light_pollution,cephalopods,0.165,7.165,1
abdopus tenebricus,noise_pollution,cephalopods,1,7.165,0.67
abdopus tenebricus,oa,cephalopods,3.835,7.165,0.8350000000000001
abdopus tenebricus,oceanographic,cephalopods,0.66,7.165,0
abdopus tenebricus,organic_pollution,cephalopods,4.665,7.165,1.165
abdopus tenebricus,plastic_pollution_microplastic,cephalopods,1.5,7.165,0.8350000000000001
abdopus tenebricus,poisons_toxins,cephalopods,2.83,7.165,0.8350000000000001
abdopus tenebricus,salinity,cephalopods,2.505,7.165,0.8350000000000001
abdopus tenebricus,sedimentation,cephalopods,2.835,7.165,0.8350000000000001
abdopus tenebricus,slr,cephalopods,0.33,7.165,1
abdopus tenebricus,storm_disturbance,cephalopods,0.495,7.165,1.0050000000000001
abdopus tenebricus,uv,cephalopods,0.165,7.165,0.335
abdopus tenebricus,water_temp,cephalopods,4.17,7.165,0.33
abdopus tenebricus,wildlife_strike,cephalopods,0.67,7.165,0.67
abdopus tonganus,air_temp,cephalopods,3.3400000000000003,7.165,1.0050000000000001
abdopus tonganus,biomass_removal,cephalopods,1,7.165,0
abdopus tonganus,bycatch,cephalopods,1,7.165,0
abdopus tonganus,entanglement_macroplastic,cephalopods,0.33,7.165,0.67
abdopus tonganus,eutrophication_nutrient_pollution,cephalopods,5.505,7.165,0.8350000000000001
abdopus tonganus,habitat_loss_degradation,cephalopods,2,7.165,1
abdopus tonganus,inorganic_pollution,cephalopods,6.68,7.165,0.8350000000000001
abdopus tonganus,invasive_species,cephalopods,0,7.165,0.33
abdopus tonganus,light_pollution,cephalopods,0.165,7.165,1
abdopus tonganus,noise_pollution,cephalopods,1,7.165,0.67
