rank,name,id,species,db
kingdom,metazoa,33208,neoharriotta pinnata,ncbi
phylum,chordata,7711,neoharriotta pinnata,ncbi
class,chondrichthyes,7777,neoharriotta pinnata,ncbi
subclass,holocephali,7863,neoharriotta pinnata,ncbi
order,chimaeriformes,7864,neoharriotta pinnata,ncbi
family,rhinochimaeridae,134992,neoharriotta pinnata,ncbi
genus,neoharriotta,876123,neoharriotta pinnata,ncbi
species,neoharriotta pinnata,876124,neoharriotta pinnata,ncbi
kingdom,metazoa,33208,harriotta raleighana,ncbi
phylum,chordata,7711,harriotta raleighana,ncbi
class,chondrichthyes,7777,harriotta raleighana,ncbi
subclass,holocephali,7863,harriotta raleighana,ncbi
order,chimaeriformes,7864,harriotta raleighana,ncbi
family,rhinochimaeridae,134992,harriotta raleighana,ncbi
genus,harriotta,765185,harriotta raleighana,ncbi
species,harriotta raleighana,765186,harriotta raleighana,ncbi
kingdom,metazoa,33208,rhinochimaera atlantica,ncbi
phylum,chordata,7711,rhinochimaera atlantica,ncbi
class,chondrichthyes,7777,rhinochimaera atlantica,ncbi
subclass,holocephali,7863,rhinochimaera atlantica,ncbi
order,chimaeriformes,7864,rhinochimaera atlantica,ncbi
family,rhinochimaeridae,134992,rhinochimaera atlantica,ncbi
genus,rhinochimaera,134993,rhinochimaera atlantica,ncbi
species,rhinochimaera atlantica,1927884,rhinochimaera atlantica,ncbi
kingdom,metazoa,33208,rhinochimaera africana,ncbi
phylum,chordata,7711,rhinochimaera africana,ncbi
class,chondrichthyes,7777,rhinochimaera africana,ncbi
subclass,holocephali,7863,rhinochimaera africana,ncbi
order,chimaeriformes,7864,rhinochimaera africana,ncbi
family,rhinochimaeridae,134992,rhinochimaera africana,ncbi
genus,rhinochimaera,134993,rhinochimaera africana,ncbi
species,rhinochimaera africana,195331,rhinochimaera africana,ncbi
kingdom,metazoa,33208,rhinochimaera pacifica,ncbi
phylum,chordata,7711,rhinochimaera pacifica,ncbi
class,chondrichthyes,7777,rhinochimaera pacifica,ncbi
subclass,holocephali,7863,rhinochimaera pacifica,ncbi
order,chimaeriformes,7864,rhinochimaera pacifica,ncbi
family,rhinochimaeridae,134992,rhinochimaera pacifica,ncbi
genus,rhinochimaera,134993,rhinochimaera pacifica,ncbi
species,rhinochimaera pacifica,134994,rhinochimaera pacifica,ncbi
kingdom,metazoa,33208,hydrolagus macrophthalmus,ncbi
phylum,chordata,7711,hydrolagus macrophthalmus,ncbi
class,chondrichthyes,7777,hydrolagus macrophthalmus,ncbi
subclass,holocephali,7863,hydrolagus macrophthalmus,ncbi
order,chimaeriformes,7864,hydrolagus macrophthalmus,ncbi
family,chimaeridae,7869,hydrolagus macrophthalmus,ncbi
genus,hydrolagus,7872,hydrolagus macrophthalmus,ncbi
species,hydrolagus macrophthalmus,2507190,hydrolagus macrophthalmus,ncbi
kingdom,metazoa,33208,hydrolagus cf. lemures wtw-2017,ncbi
phylum,chordata,7711,hydrolagus cf. lemures wtw-2017,ncbi
class,chondrichthyes,7777,hydrolagus cf. lemures wtw-2017,ncbi
subclass,holocephali,7863,hydrolagus cf. lemures wtw-2017,ncbi
order,chimaeriformes,7864,hydrolagus cf. lemures wtw-2017,ncbi
family,chimaeridae,7869,hydrolagus cf. lemures wtw-2017,ncbi
genus,hydrolagus,7872,hydrolagus cf. lemures wtw-2017,ncbi
species,hydrolagus cf. lemures wtw-2017,2041180,hydrolagus cf. lemures wtw-2017,ncbi
kingdom,metazoa,33208,hydrolagus erithacus,ncbi
phylum,chordata,7711,hydrolagus erithacus,ncbi
class,chondrichthyes,7777,hydrolagus erithacus,ncbi
subclass,holocephali,7863,hydrolagus erithacus,ncbi
order,chimaeriformes,7864,hydrolagus erithacus,ncbi
family,chimaeridae,7869,hydrolagus erithacus,ncbi
genus,hydrolagus,7872,hydrolagus erithacus,ncbi
species,hydrolagus erithacus,1927892,hydrolagus erithacus,ncbi
kingdom,metazoa,33208,hydrolagus pallidus,ncbi
phylum,chordata,7711,hydrolagus pallidus,ncbi
class,chondrichthyes,7777,hydrolagus pallidus,ncbi
subclass,holocephali,7863,hydrolagus pallidus,ncbi
order,chimaeriformes,7864,hydrolagus pallidus,ncbi
family,chimaeridae,7869,hydrolagus pallidus,ncbi
genus,hydrolagus,7872,hydrolagus pallidus,ncbi
species,hydrolagus pallidus,1850443,hydrolagus pallidus,ncbi
kingdom,metazoa,33208,hydrolagus lusitanicus,ncbi
phylum,chordata,7711,hydrolagus lusitanicus,ncbi
class,chondrichthyes,7777,hydrolagus lusitanicus,ncbi
subclass,holocephali,7863,hydrolagus lusitanicus,ncbi
order,chimaeriformes,7864,hydrolagus lusitanicus,ncbi
family,chimaeridae,7869,hydrolagus lusitanicus,ncbi
genus,hydrolagus,7872,hydrolagus lusitanicus,ncbi
species,hydrolagus lusitanicus,1471637,hydrolagus lusitanicus,ncbi
kingdom,metazoa,33208,hydrolagus mirabilis,ncbi
phylum,chordata,7711,hydrolagus mirabilis,ncbi
class,chondrichthyes,7777,hydrolagus mirabilis,ncbi
subclass,holocephali,7863,hydrolagus mirabilis,ncbi
order,chimaeriformes,7864,hydrolagus mirabilis,ncbi
