spp_gp,name,rank,id,error,db
abdopus,Animalia,kingdom,2,FALSE,worms
abdopus,Mollusca,phylum,51,FALSE,worms
abdopus,Cephalopoda,class,11707,FALSE,worms
abdopus,Coleoidea,subclass,11709,FALSE,worms
abdopus,Octopodiformes,superorder,325343,FALSE,worms
abdopus,Octopoda,order,11718,FALSE,worms
abdopus,Incirrata,suborder,11733,FALSE,worms
abdopus,Octopodoidea,superfamily,14672,FALSE,worms
abdopus,Octopodidae,family,11782,FALSE,worms
abdopus,Abdopus,genus,409947,FALSE,worms
abdopus abaculus,Animalia,kingdom,2,FALSE,worms
abdopus abaculus,Mollusca,phylum,51,FALSE,worms
abdopus abaculus,Cephalopoda,class,11707,FALSE,worms
abdopus abaculus,Coleoidea,subclass,11709,FALSE,worms
abdopus abaculus,Octopodiformes,superorder,325343,FALSE,worms
abdopus abaculus,Octopoda,order,11718,FALSE,worms
abdopus abaculus,Incirrata,suborder,11733,FALSE,worms
abdopus abaculus,Octopodoidea,superfamily,14672,FALSE,worms
abdopus abaculus,Octopodidae,family,11782,FALSE,worms
abdopus abaculus,Abdopus,genus,409947,FALSE,worms
abdopus abaculus,Abdopus abaculus,species,534100,FALSE,worms
abdopus aculeatus,Animalia,kingdom,2,FALSE,worms
abdopus aculeatus,Mollusca,phylum,51,FALSE,worms
abdopus aculeatus,Cephalopoda,class,11707,FALSE,worms
abdopus aculeatus,Coleoidea,subclass,11709,FALSE,worms
abdopus aculeatus,Octopodiformes,superorder,325343,FALSE,worms
abdopus aculeatus,Octopoda,order,11718,FALSE,worms
abdopus aculeatus,Incirrata,suborder,11733,FALSE,worms
abdopus aculeatus,Octopodoidea,superfamily,14672,FALSE,worms
abdopus aculeatus,Octopodidae,family,11782,FALSE,worms
abdopus aculeatus,Abdopus,genus,409947,FALSE,worms
abdopus aculeatus,Abdopus aculeatus,species,409949,FALSE,worms
abdopus horridus,Animalia,kingdom,2,FALSE,worms
abdopus horridus,Mollusca,phylum,51,FALSE,worms
abdopus horridus,Cephalopoda,class,11707,FALSE,worms
abdopus horridus,Coleoidea,subclass,11709,FALSE,worms
abdopus horridus,Octopodiformes,superorder,325343,FALSE,worms
abdopus horridus,Octopoda,order,11718,FALSE,worms
abdopus horridus,Incirrata,suborder,11733,FALSE,worms
abdopus horridus,Octopodoidea,superfamily,14672,FALSE,worms
abdopus horridus,Octopodidae,family,11782,FALSE,worms
abdopus horridus,Abdopus,genus,409947,FALSE,worms
abdopus horridus,Abdopus horridus,species,535625,FALSE,worms
abdopus tenebricus,Animalia,kingdom,2,FALSE,worms
abdopus tenebricus,Mollusca,phylum,51,FALSE,worms
abdopus tenebricus,Cephalopoda,class,11707,FALSE,worms
abdopus tenebricus,Coleoidea,subclass,11709,FALSE,worms
abdopus tenebricus,Octopodiformes,superorder,325343,FALSE,worms
