am_sid,name,rank
Fis-156671,Metazoa,kingdom
Fis-156671,Chordata,phylum
Fis-156671,Actinopteri,class
Fis-156671,Tetraodontiformes,order
Fis-156671,Balistidae,family
Fis-156671,Abalistes,genus
Fis-156671,Abalistes filamentosus,species
Fis-53544,Metazoa,kingdom
Fis-53544,Chordata,phylum
Fis-53544,Actinopteri,class
Fis-53544,Tetraodontiformes,order
Fis-53544,Balistidae,family
Fis-53544,Abalistes,genus
Fis-53544,Abalistes stellaris,species
Fis-142700,Metazoa,kingdom
Fis-142700,Chordata,phylum
Fis-142700,Actinopteri,class
Fis-142700,Tetraodontiformes,order
Fis-142700,Balistidae,family
Fis-142700,Abalistes,genus
Fis-142700,Abalistes stellatus,species
W-Hyd-117870,Metazoa,kingdom
W-Hyd-117870,Cnidaria,phylum
W-Hyd-117870,Hydrozoa,class
W-Hyd-117870,Leptothecata,order
W-Hyd-117870,Sertulariidae,family
W-Hyd-117870,Abietinaria,genus
W-Hyd-117870,Abietinaria abietina,species
W-Hyd-231588,Metazoa,kingdom
W-Hyd-231588,Cnidaria,phylum
W-Hyd-231588,Hydrozoa,class
W-Hyd-231588,Leptothecata,order
W-Hyd-231588,Lafoeidae,family
W-Hyd-231588,Abietinella,genus
W-Hyd-231588,Abietinella operculata,species
Fis-58566,Metazoa,kingdom
Fis-58566,Chordata,phylum
Fis-58566,Actinopteri,class
Fis-58566,Perciformes,order
Fis-58566,Tetrarogidae,family
Fis-58566,Ablabys,genus
Fis-58566,Ablabys macracanthus,species
Fis-27725,Metazoa,kingdom
Fis-27725,Chordata,phylum
Fis-27725,Actinopteri,class
Fis-27725,Perciformes,order
Fis-27725,Tetrarogidae,family
Fis-27725,Ablabys,genus
Fis-27725,Ablabys taenianotus,species
Fis-22975,Metazoa,kingdom
Fis-22975,Chordata,phylum
Fis-22975,Actinopteri,class
Fis-22975,Beloniformes,order
Fis-22975,Belonidae,family
Fis-22975,Ablennes,genus
Fis-22975,Ablennes hians,species
W-Msc-293683,Metazoa,kingdom
W-Msc-293683,Mollusca,phylum
W-Msc-293683,Bivalvia,class
W-Msc-293683,Veneroida,order
W-Msc-293683,Semelidae,family
W-Msc-293683,Abra,genus
W-Msc-293683,Abra aequalis,species
W-Msc-141433,Metazoa,kingdom
W-Msc-141433,Mollusca,phylum
W-Msc-141433,Bivalvia,class
W-Msc-141433,Veneroida,order
W-Msc-141433,Semelidae,family
W-Msc-141433,Abra,genus
W-Msc-141433,Abra alba,species
W-Msc-341825,Metazoa,kingdom
W-Msc-341825,Mollusca,phylum
W-Msc-341825,Cephalopoda,class
W-Msc-341825,Teuthida,order
W-Msc-341825,Enoploteuthidae,family
W-Msc-341825,Abralia,genus
W-Msc-341825,Abralia andamanica,species
W-Msc-139688,Metazoa,kingdom
W-Msc-139688,Mollusca,phylum
W-Msc-139688,Cephalopoda,class
W-Msc-139688,Teuthida,order
W-Msc-139688,Enoploteuthidae,family
W-Msc-139688,Abralia,genus
W-Msc-139688,Abralia veranyi,species
SLB-71496,Metazoa,kingdom
SLB-71496,Mollusca,phylum
SLB-71496,Cephalopoda,class
SLB-71496,Teuthida,order
SLB-71496,Enoploteuthidae,family
SLB-71496,Abraliopsis,genus
SLB-71496,Abraliopsis pfefferi,species
Fis-26241,Metazoa,kingdom
