iucn_sid,name,rank
222,Metazoa,kingdom
222,Chordata,phylum
222,Actinopteri,class
222,Acipenseriformes,order
222,Acipenseridae,family
222,Acipenser,genus
222,Acipenser brevirostrum,species
224,Metazoa,kingdom
224,Chordata,phylum
224,Actinopteri,class
224,Acipenseriformes,order
224,Acipenseridae,family
224,Acipenser,genus
224,Acipenser naccarii,species
225,Metazoa,kingdom
225,Chordata,phylum
225,Actinopteri,class
225,Acipenseriformes,order
225,Acipenseridae,family
225,Acipenser,genus
225,Acipenser nudiventris,species
229,Metazoa,kingdom
229,Chordata,phylum
229,Actinopteri,class
229,Acipenseriformes,order
229,Acipenseridae,family
229,Acipenser,genus
229,Acipenser stellatus,species
230,Metazoa,kingdom
230,Chordata,phylum
230,Actinopteri,class
230,Acipenseriformes,order
230,Acipenseridae,family
230,Acipenser,genus
230,Acipenser sturio,species
232,Metazoa,kingdom
232,Chordata,phylum
232,Actinopteri,class
232,Acipenseriformes,order
232,Acipenseridae,family
232,Acipenser,genus
232,Acipenser gueldenstaedtii,species
233,Metazoa,kingdom
233,Chordata,phylum
233,Actinopteri,class
233,Acipenseriformes,order
233,Acipenseridae,family
233,Acipenser,genus
233,Acipenser medirostris,species
234,Metazoa,kingdom
234,Chordata,phylum
234,Actinopteri,class
234,Acipenseriformes,order
234,Acipenseridae,family
234,Acipenser,genus
234,Acipenser transmontanus,species
235,Metazoa,kingdom
235,Chordata,phylum
235,Actinopteri,class
235,Acipenseriformes,order
235,Acipenseridae,family
235,Acipenser,genus
235,Acipenser persicus,species
236,Metazoa,kingdom
236,Chordata,phylum
236,Actinopteri,class
236,Acipenseriformes,order
236,Acipenseridae,family
236,Acipenser,genus
236,Acipenser sinensis,species
241,Metazoa,kingdom
241,Chordata,phylum
241,Actinopteri,class
241,Acipenseriformes,order
241,Acipenseridae,family
241,Acipenser,genus
241,Acipenser mikadoi,species
245,Metazoa,kingdom
245,Chordata,phylum
245,Actinopteri,class
245,Acipenseriformes,order
245,Acipenseridae,family
245,Acipenser,genus
245,Acipenser oxyrinchus,species
907,Metazoa,kingdom
907,Chordata,phylum
907,Actinopteri,class
907,Clupeiformes,order
907,Clupeidae,family
907,Alosa,genus
907,Alosa immaculata,species
908,Metazoa,kingdom
908,Chordata,phylum
908,Actinopteri,class
908,Clupeiformes,order
908,Clupeidae,family
908,Alosa,genus
908,Alosa alabamae,species
1793,Metazoa,kingdom
1793,Chordata,phylum
1793,Mammalia,class
1793,Carnivora,order
1793,Mustelidae,family
1793,Aonyx,genus
1793,Aonyx capensis,species
2055,Metazoa,kingdom
2055,Chordata,phylum
2055,Mammalia,class
2055,Carnivora,order
2055,Otariidae,family
2055,Arctocephalus,genus
2055,Arctocephalus australis,species
2057,Metazoa,kingdom
2057,Chordata,phylum
2057,Mammalia,class
2057,Carnivora,order
2057,Otariidae,family
2057,Arctocephalus,genus
2057,Arctocephalus galapagoensis,species
2058,Metazoa,kingdom
2058,Chordata,phylum
2058,Mammalia,class
2058,Carnivora,order
2058,Otariidae,family
2058,Arctocephalus,genus
2058,Arctocephalus gazella,species
2059,Metazoa,kingdom
2059,Chordata,phylum
2059,Mammalia,class
2059,Carnivora,order
2059,Otariidae,family
2059,Arctocephalus,genus
2059,Arctocephalus philippii,species
2060,Metazoa,kingdom
2060,Chordata,phylum
2060,Mammalia,class
2060,Carnivora,order
2060,Otariidae,family
2060,Arctocephalus,genus
2060,Arctocephalus pusillus,species
2061,Metazoa,kingdom
2061,Chordata,phylum
2061,Mammalia,class
2061,Carnivora,order
2061,Otariidae,family
2061,Arctocephalus,genus
2061,Arctocephalus townsendi,species
2062,Metazoa,kingdom
2062,Chordata,phylum
2062,Mammalia,class
2062,Carnivora,order
2062,Otariidae,family
2062,Arctocephalus,genus
2062,Arctocephalus tropicalis,species
2467,Metazoa,kingdom
2467,Chordata,phylum
2467,Mammalia,class
2467,Artiodactyla,order
2467,Balaenidae,family
2467,Balaena,genus
2467,Balaena mysticetus,species
2468,Metazoa,kingdom
2468,Chordata,phylum
2468,Mammalia,class
2468,Artiodactyla,order
2468,Balaenidae,family
2468,Balaena,genus
2468,Balaena mysticetus,species
2469,Metazoa,kingdom
2469,Chordata,phylum
2469,Mammalia,class
2469,Artiodactyla,order
