category,sub_category,spp_gp,trait_val,sheet
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Architeuthis dux,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Architeuthis dux,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Architeuthis dux,na,cephalopods
foraging range,"if one/few, size",Architeuthis dux,na,cephalopods
foraging range,sub-population dependence on particular sites,Architeuthis dux,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Alluroteuthis antarctica,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Alluroteuthis antarctica,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Alluroteuthis antarctica,na,cephalopods
foraging range,"if one/few, size",Alluroteuthis antarctica,na,cephalopods
foraging range,sub-population dependence on particular sites,Alluroteuthis antarctica,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Neoteuthis thielei,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Neoteuthis thielei,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Neoteuthis thielei,na,cephalopods
foraging range,"if one/few, size",Neoteuthis thielei,na,cephalopods
foraging range,sub-population dependence on particular sites,Neoteuthis thielei,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Neoteuthis dimegacotyle,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Neoteuthis dimegacotyle,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Neoteuthis dimegacotyle,na,cephalopods
foraging range,"if one/few, size",Neoteuthis dimegacotyle,na,cephalopods
foraging range,sub-population dependence on particular sites,Neoteuthis dimegacotyle,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Narrowteuthis nesisi,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Narrowteuthis nesisi,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Narrowteuthis nesisi,na,cephalopods
foraging range,"if one/few, size",Narrowteuthis nesisi,na,cephalopods
foraging range,sub-population dependence on particular sites,Narrowteuthis nesisi,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Brachioteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Brachioteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Brachioteuthis,na,cephalopods
foraging range,"if one/few, size",Brachioteuthis,na,cephalopods
foraging range,sub-population dependence on particular sites,Brachioteuthis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Slosarczykovia circumantarctica,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Slosarczykovia circumantarctica,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Slosarczykovia circumantarctica,na,cephalopods
foraging range,"if one/few, size",Slosarczykovia circumantarctica,na,cephalopods
foraging range,sub-population dependence on particular sites,Slosarczykovia circumantarctica,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Batoteuthis skolops,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Batoteuthis skolops,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Batoteuthis skolops,na,cephalopods
foraging range,"if one/few, size",Batoteuthis skolops,na,cephalopods
foraging range,sub-population dependence on particular sites,Batoteuthis skolops,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Asperoteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Asperoteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Asperoteuthis,na,cephalopods
foraging range,"if one/few, size",Asperoteuthis,na,cephalopods
foraging range,sub-population dependence on particular sites,Asperoteuthis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Chiroteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Chiroteuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Chiroteuthis,na,cephalopods
foraging range,"if one/few, size",Chiroteuthis,na,cephalopods
foraging range,sub-population dependence on particular sites,Chiroteuthis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Grimalditeuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Grimalditeuthis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Grimalditeuthis,na,cephalopods
foraging range,"if one/few, size",Grimalditeuthis,na,cephalopods
foraging range,sub-population dependence on particular sites,Grimalditeuthis,na,cephalopods
