category,trait,trait_value,stressor,sens_score,sens_score_orig
physiological_tolerance_breadths,thermal_sensitivity_to_ocean_warming_max_temps_tolerated,5c,air_temp,1,high
physiological_tolerance_breadths,thermal_sensitivity_to_ocean_warming_max_temps_tolerated,10c,air_temp,1,high
physiological_tolerance_breadths,thermal_sensitivity_to_ocean_warming_max_temps_tolerated,15c,air_temp,0.67,medium
physiological_tolerance_breadths,thermal_sensitivity_to_ocean_warming_max_temps_tolerated,20c,air_temp,0.67,medium
physiological_tolerance_breadths,thermal_sensitivity_to_ocean_warming_max_temps_tolerated,25c,air_temp,0.33,low
physiological_tolerance_breadths,thermal_sensitivity_to_ocean_warming_max_temps_tolerated,30c,air_temp,0.33,low
physiological_tolerance_breadths,thermal_sensitivity_to_heat_spikes_heat_waves,yes,air_temp,1,high
specialisation,air_sea_interface,floating,air_temp,0.67,medium
specialisation,air_sea_interface,yes,air_temp,0.33,low
specialisation,terrestrial_and_marine_life_stages,yes,air_temp,0.67,medium
biophysical_traits,adult_body_mass_body_size,0.5mm-49mm,air_temp,0.33,low
biophysical_traits,adult_body_mass_body_size,<0.4mm,air_temp,0.67,medium
biophysical_traits,calcium_carbonate_structure_location,internal,air_temp,0.67,medium
biophysical_traits,calcium_carbonate_structure_location,external with a cover,air_temp,0.67,medium
biophysical_traits,calcium_carbonate_structure_location,external,air_temp,0.67,medium
biophysical_traits,calcium_carbonate_structure_location,in external protein matrix,air_temp,0.67,medium
biophysical_traits,calcium_carbonate_structure_location,in cellulose cell wall,air_temp,0.33,low
biophysical_traits,calcium_carbonate_structure_stages,larvae,air_temp,1,high
biophysical_traits,calcium_carbonate_structure_stages,adult,air_temp,0.67,medium
biophysical_traits,calcium_carbonate_structure_stages,both,air_temp,1,high
biophysical_traits,biomineral,aragonite,air_temp,0.67,medium
biophysical_traits,biomineral,high mg calcite,air_temp,1,high
biophysical_traits,biomineral,calcite,air_temp,0.67,medium
biophysical_traits,biomineral,chitin/caco3 mix,air_temp,0.67,medium
biophysical_traits,biomineral,silicate,air_temp,0.67,medium
biophysical_traits,biomineral,other,air_temp,0.67,medium
specialisation,air_sea_interface,floating,bycatch,1,high
specialisation,air_sea_interface,yes,bycatch,1,high
biophysical_traits,adult_body_mass_body_size,>1000mm,bycatch,1,high
biophysical_traits,adult_body_mass_body_size,50mm-999mm,bycatch,1,high
biophysical_traits,adult_body_mass_body_size,0.5mm-49mm,bycatch,0.33,low
specialisation,air_sea_interface,floating,entanglement_macroplastic,0.33,low
specialisation,air_sea_interface,yes,entanglement_macroplastic,0.33,low
biophysical_traits,adult_body_mass_body_size,>1000mm,entanglement_macroplastic,1,high
biophysical_traits,adult_body_mass_body_size,50mm-999mm,entanglement_macroplastic,0.33,low
r_reproductive_traits,feeding_larva_post_hatching_metamorphosis,feeding calcifier,eutrophication_nutrient_pollution,0.33,low
r_reproductive_traits,feeding_larva_post_hatching_metamorphosis,feeding non-calcifier,eutrophication_nutrient_pollution,0.33,low
physiological_tolerance_breadths,salinity,stenohaline,eutrophication_nutrient_pollution,1,high
