taxon,category,trait,spp_gp,trait_value
crustacea_arthropods,r (reproductive traits),can the sex ratio be altered by a stressor?,bythograea thermydron,unknown
crustacea_arthropods,r (reproductive traits),can the sex ratio be altered by a stressor?,mictyris platycheles,unknown
crustacea_arthropods,r (reproductive traits),can the sex ratio be altered by a stressor?,palaemon elegans,yes
crustacea_arthropods,r (reproductive traits),can the sex ratio be altered by a stressor?,paralithodes camtschaticus,unknown
crustacea_arthropods,r (reproductive traits),can the sex ratio be altered by a stressor?,penaeus,yes
crustacea_arthropods,r (reproductive traits),can the sex ratio be altered by a stressor?,scylla serrata,unknown
crustacea_arthropods,r (reproductive traits),can the sex ratio be altered by a stressor?,trapezia flavopunctata,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,actinopyga echinites,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,amphiodia occidentalis,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,amphipholis squamata,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,anneissia japonica,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,antedon mediterranea,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,aporometra wilsoni,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,apostichopus californicus,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,apostichopus japonicus,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,arachnoides placenta,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,asterina gibbosa,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,australostichopus mollis,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,breviturma brevipes,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,breviturma dentata,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,breviturma doederleini,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,breviturma longispina,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,breviturma pica,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,breviturma pusilla,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,brisaster latifrons,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,centrostephanus rodgersii,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,cucumaria frondosa,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,cucumaria miniata,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,cucumaria piperata,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,cucumaria pseudocurata,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,dendraster excentricus,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,diadema antillarum,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,diadema savignyi,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,diadema setosum,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,echinocardium cordatum,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,eupentacta quinquesemita,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,evechinus chloroticus,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,florometra serratissima,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,gorgonocephalus eucnemis,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,heliocidaris crassispina,unknown
echinoderms,r (reproductive traits),can the sex ratio be altered by a stressor?,heliocidaris erythrogramma,unknown
