taxon,spp_gp
cephalopods,abdopus large eggs
cephalopods,abdopus small eggs
cephalopods,adelieledone adeliana
cephalopods,aestuariolus noctiluca
cephalopods,afrololigo mercatoris
cephalopods,allonautilus
cephalopods,alluroteuthis antarctica
cephalopods,ameloctopus llitoralis
cephalopods,amphioctopus large eggs
cephalopods,amphioctopus small eggs
cephalopods,ancistroteuthis lichtensteinii
cephalopods,asperoteuthis
cephalopods,australiteuthis aldrichi
cephalopods,austrorossia
cephalopods,bathypolypus bairdii
cephalopods,bathypolypus ergasticus
cephalopods,bathypolypus pugniger
cephalopods,bathypolypus rubrostiictus
cephalopods,bathypolypus valdiviae
cephalopods,bathypurata profundorum
cephalopods,batoteuthis skolops
cephalopods,bentheledone rotunda
cephalopods,brachioteuthis
cephalopods,callistoctopus large eggs
cephalopods,callistoctopus small eggs
cephalopods,cirroctopus glacialis
cephalopods,cirrothauma magna
cephalopods,cistopus large eggs
cephalopods,cistopus small eggs
cephalopods,cryptoteuthis brevibracchiata
cephalopods,cycloteuthis
cephalopods,egea inermis
cephalopods,enteroctopus magnificus
cephalopods,eogonatus tinro
cephalopods,euaxoctopus
cephalopods,galiteuthis glacialis
cephalopods,gonatopsis
cephalopods,graneledone antarctica
cephalopods,graneledone boreopacifica
cephalopods,graneledone challengeri
cephalopods,graneledone gonzalezi
cephalopods,graneledone macrotyla
cephalopods,graneledone taniwha
cephalopods,graneledone yamana
cephalopods,grimalditeuthis
cephalopods,grimpella thaumastocheir
cephalopods,grimpoteuthis abyssicola
cephalopods,grimpoteuthis bathynectes
cephalopods,grimpoteuthis boylei
cephalopods,grimpoteuthis challengeri
cephalopods,grimpoteuthis discoveryi
cephalopods,grimpoteuthis hippocrepium
cephalopods,grimpoteuthis innominata
cephalopods,grimpoteuthis meangensis
cephalopods,grimpoteuthis megaptera
cephalopods,grimpoteuthis pacfica
cephalopods,grimpoteuthis plena
cephalopods,grimpoteuthis tuftsi
cephalopods,grimpoteuthis umbellata
cephalopods,grimpoteuthis wuelkeri
cephalopods,heteroteuthinae
cephalopods,histoctopus
cephalopods,inioteuthis japonica
cephalopods,lampadioteuthis megaleia
cephalopods,leachia
cephalopods,lepidoteuthis grimaldi
cephalopods,liguriella podophtalma
cephalopods,liocranchia
cephalopods,loliolus loliolus
cephalopods,loliolus nipponololigo
cephalopods,luteuthis dentatus
cephalopods,luteuthis shuishi
cephalopods,lycoteuthis
cephalopods,magnapinna
cephalopods,mastigoteuthis s.l.
cephalopods,megalocranchia
cephalopods,mesonychoteuthis hamiltoni
cephalopods,microeledone mangoldae
cephalopods,moroteuthopsis
cephalopods,muusoctopus abruptus
cephalopods,muusoctopus berryi
cephalopods,muusoctopus bizikovi
cephalopods,muusoctopus canthylus
cephalopods,muusoctopus clyderoperi
cephalopods,muusoctopus eureka
cephalopods,muusoctopus hokkaidensis
cephalopods,muusoctopus januarii
cephalopods,muusoctopus johnsonianus
cephalopods,muusoctopus karubar
cephalopods,muusoctopus leioderma
cephalopods,muusoctopus levis
cephalopods,muusoctopus longibrachus
cephalopods,muusoctopus normani
cephalopods,muusoctopus oregonae
cephalopods,muusoctopus oregonensis
cephalopods,muusoctopus profundorum
cephalopods,muusoctopus pseudonymus
cephalopods,muusoctopus rigbyae
cephalopods,muusoctopus robustus
cephalopods,muusoctopus sibiricus
