common name,Kingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Infraorder,Clade,Family/Superfamily,Genus,Species
worms,Animalia,Annelida,,Polychaeta,,,,,,,,
shrimps/prawns/crayfish/crabs/ lobsters,Animalia,Arthropoda,Crustacea,Malacostraca,,Decapoda,,,,,,
sea spiders,Animalia,Arthropoda,Chelicerata,Pycnogonida,,,,,,,,
sea moss,Animalia,Bryozoa,,,,,,,,,,
goby,Animalia,Chordata,,Actinopterygii,,Gobiformes,,,,,,
wrasse,Animalia,Chordata,,Actinopterygii,,Labriformes,,,,Labridae,,
sea bream/porgies,Animalia,Chordata,,Actinopterygii,,Perciformes,,,,Sparidae,,
grunt fishes,Animalia,Chordata,,Actinopterygii,,Perciformes,,,,Haemulidae,,
groupers,Animalia,Chordata,,Actinopterygii,,Perciformes,,,,Serranidae,,
snappers,Animalia,Chordata,,Actinopterygii,,Perciformes,,,,Lutjanidae,,
drum or croaker fishes,Animalia,Chordata,,Actinopterygii,,Perciformes,,,,Sciaenidae,,
flatfish,Animalia,Chordata,,Actinopterygii,,Pleuronectiformes,,,,,,
mackerel/tuna/bonito,Animalia,Chordata,,Actinopterygii,,Scombriformes,,,,Scombridae,,
puffer fish,Animalia,Chordata,,Actinopterygii,,Tetraodontids,Tetraodontoidei,,,Tetraodontidae,,
ray-finned fishes incl. damselfish/clownfish/anemonefish,Animalia,Chordata,,Actinopterygii,,,,,,Pomacentridae,,
sea birds,Animalia,Chordata,,Aves,,,,,,,,
sharks/rays/skates/sawfish,Animalia,Chordata,,Chondrichthyes,Elasmobranchii,,,,,,,
dolphins/whales,Animalia,Chordata,,Mammalia,,Artiodactyla,Whippomorpha,Cetacea,,,,
sea otter,Animalia,Chordata,,Mammalia,,Carnivora,,,,Mustelidae,Enhydra,lutris
polar bear,Animalia,Chordata,,Mammalia,,Carnivora,,,,Ursidae,Ursus,maritimus
seals/walrus/sea lion,Animalia,Chordata,,Mammalia,,Carnivora,,Arctoidea,Pinnipedia,,,
dugong/manatee,Animalia,Chordata,,Mammalia,,Sirenia,,,,,,
salt water croc,Animalia,Chordata,,Reptilia,,Crocodilia,,,,Crocodylidae,Crocodylus,porosus
true sea snakes,Animalia,Chordata,,Reptilia,,Squamata,Serpentes,,,Elapidae/Hydrophiidae,,
sea kraits,Animalia,Chordata,,Reptilia,,Squamata,Serpentes,,,Elapidae,Laticauda,
estuarine snakes,Animalia,Chordata,,Reptilia,,Squamata,Serpentes,,,Elapidae,,
sea turtles,Animalia,Chordata,,Reptilia,,Testudines,Cryptodira,,,Chelonioidea,,
coral,Animalia,Cnideria,,,,,,,,,,
starfish/sea urchins/sea cucumbers,Animalia,Echinodermata,,,,,,,,,,
squid/octopus,Animalia,Mollusca,,Cephalopoda,,,,,,,,
limpets/periwinkles/abalone/conch/whelks,Animalia,Mollusca,,Gastropoda,,,,,,,,
demosponges,Animalia,Porifera,,Demospongia,,,,,,,,
plankton,Animalia,Zooplankton,,,,,,,,,,
giant kelp,Chromista,Ochrophyta,,Phaeophyceae,,Laminariales,,,,Laminariaceae,Macrocystis,
mangrove,Plantae,,,,,Lamiales,,,,Acanthaceae,Avicennia,
sea grass,Plantae,,,,,Alismatales,,,,,,
plankton,Plantae,Phytoplankton,,,,,,,,,,
