spp_gp,name,rank,id,error
gurgesiellidae,Biota,superdomain,32259945,NA
gurgesiellidae,Eukaryota,domain,32253603,NA
gurgesiellidae,Unikonta,subdomain,32284252,NA
gurgesiellidae,Opisthokonta,NA,32233195,NA
gurgesiellidae,Metazoa,subkingdom,32243374,NA
gurgesiellidae,Epitheliozoa,NA,32266482,NA
gurgesiellidae,Eumetazoa,subkingdom,32273397,NA
gurgesiellidae,Bilateria,subkingdom,32273393,NA
gurgesiellidae,Deuterostomia,infrakingdom,32243054,NA
gurgesiellidae,Chordata,phylum,32229337,NA
gurgesiellidae,Olfactores,NA,32268381,NA
gurgesiellidae,Craniata,NA,32281384,NA
gurgesiellidae,Vertebrata,subphylum,32261161,NA
gurgesiellidae,Gnathostomata,infraphylum,32262008,NA
gurgesiellidae,Chondrichthyes,class,32261283,NA
gurgesiellidae,Elasmobranchii,subclass,32254166,NA
gurgesiellidae,Batoidea,superorder,32276871,NA
gurgesiellidae,Rajiformes,order,32276877,NA
gurgesiellidae,Gurgesiellidae,family,32264534,NA
mobulidae,Life,clade,5642060,NA
mobulidae,Cellular Organisms,clade,8366724,NA
mobulidae,Eukaryota,domain,8366680,NA
mobulidae,Opisthokonta,clade,7049775,NA
mobulidae,Metazoa,kingdom,8366695,NA
mobulidae,Bilateria,clade,7961769,NA
mobulidae,Deuterostomia,clade,6822769,NA
mobulidae,Chordata,phylum,8366677,NA
mobulidae,Vertebrata,subphylum,7839181,NA
mobulidae,Gnathostomata,clade,7839137,NA
mobulidae,Chondrichthyes,class,7839126,NA
mobulidae,Elasmobranchii,subclass,8162997,NA
mobulidae,Batoidea,clade,5702239,NA
mobulidae,Rajiformes,order,6386142,NA
mobulidae,Mobulidae,family,7634947,NA
rhinopteridae,Life,clade,5642060,NA
rhinopteridae,Cellular Organisms,clade,8366724,NA
rhinopteridae,Eukaryota,domain,8366680,NA
rhinopteridae,Opisthokonta,clade,7049775,NA
rhinopteridae,Metazoa,kingdom,8366695,NA
rhinopteridae,Bilateria,clade,7961769,NA
rhinopteridae,Deuterostomia,clade,6822769,NA
rhinopteridae,Chordata,phylum,8366677,NA
rhinopteridae,Vertebrata,subphylum,7839181,NA
rhinopteridae,Gnathostomata,clade,7839137,NA
rhinopteridae,Chondrichthyes,class,7839126,NA
rhinopteridae,Elasmobranchii,subclass,8162997,NA
rhinopteridae,Batoidea,clade,5702239,NA
rhinopteridae,Rajiformes,order,6386142,NA
rhinopteridae,Rhinopteridae,family,7634954,NA
trygonorrhinidae,Biota,superdomain,38987563,NA
trygonorrhinidae,Eukaryota,domain,38975737,NA
trygonorrhinidae,Unikonta,subdomain,39059298,NA
trygonorrhinidae,Opisthokonta,NA,38942013,NA
trygonorrhinidae,Metazoa,subkingdom,38959370,NA
trygonorrhinidae,Epitheliozoa,NA,39002744,NA
trygonorrhinidae,Eumetazoa,subkingdom,39026597,NA
trygonorrhinidae,Bilateria,subkingdom,39026550,NA
trygonorrhinidae,Deuterostomia,infrakingdom,38959132,NA
trygonorrhinidae,Chordata,phylum,38937183,NA
trygonorrhinidae,Olfactores,NA,39007279,NA
trygonorrhinidae,Craniata,NA,39055214,NA
trygonorrhinidae,Vertebrata,subphylum,38989868,NA
trygonorrhinidae,Gnathostomata,infraphylum,38991499,NA
trygonorrhinidae,Chondrichthyes,class,38990092,NA
trygonorrhinidae,Elasmobranchii,subclass,38976876,NA
trygonorrhinidae,Batoidea,superorder,39039276,NA
trygonorrhinidae,Rhinopristiformes,order,38990078,NA
trygonorrhinidae,Trygonorrhinidae,family,38990077,NA
aetobatidae,Biota,superdomain,38987563,NA
aetobatidae,Eukaryota,domain,38975737,NA
aetobatidae,Unikonta,subdomain,39059298,NA
aetobatidae,Opisthokonta,NA,38942013,NA
aetobatidae,Metazoa,subkingdom,38959370,NA
aetobatidae,Epitheliozoa,NA,39002744,NA
aetobatidae,Eumetazoa,subkingdom,39026597,NA
aetobatidae,Bilateria,subkingdom,39026550,NA
aetobatidae,Deuterostomia,infrakingdom,38959132,NA
aetobatidae,Chordata,phylum,38937183,NA
aetobatidae,Olfactores,NA,39007279,NA
aetobatidae,Craniata,NA,39055214,NA
aetobatidae,Vertebrata,subphylum,38989868,NA
aetobatidae,Gnathostomata,infraphylum,38991499,NA
aetobatidae,Chondrichthyes,class,38990092,NA
aetobatidae,Elasmobranchii,subclass,38976876,NA
aetobatidae,Euselachii,superorder,39021662,NA
aetobatidae,Myliobatiformes,order,39053774,NA
aetobatidae,Dasyatoidea,superfamily,38968571,NA
aetobatidae,Aetobatidae,family,38991188,NA
nautilus sp associate with small isolated reefs,NA,NA,NA,TRUE
