am_sid,name,rank,id
W-Msc-505492,cellular organisms,no rank,131567
W-Msc-505492,Eukaryota,superkingdom,2759
W-Msc-505492,Opisthokonta,clade,33154
W-Msc-505492,Metazoa,kingdom,33208
W-Msc-505492,Eumetazoa,clade,6072
W-Msc-505492,Bilateria,clade,33213
W-Msc-505492,Protostomia,clade,33317
W-Msc-505492,Spiralia,clade,2697495
W-Msc-505492,Lophotrochozoa,clade,1206795
W-Msc-505492,Mollusca,phylum,6447
W-Msc-505492,Bivalvia,class,6544
W-Msc-505492,Pteriomorphia,subclass,6545
W-Msc-505492,Limoida,order,102300
W-Msc-505492,Limidae,family,102301
W-Msc-505492,Limaria,genus,106321
W-Msc-505492,Limaria fragilis,species,182761
W-Msc-420751,cellular organisms,no rank,131567
W-Msc-420751,Eukaryota,superkingdom,2759
W-Msc-420751,Opisthokonta,clade,33154
W-Msc-420751,Metazoa,kingdom,33208
W-Msc-420751,Eumetazoa,clade,6072
W-Msc-420751,Bilateria,clade,33213
W-Msc-420751,Protostomia,clade,33317
W-Msc-420751,Spiralia,clade,2697495
W-Msc-420751,Lophotrochozoa,clade,1206795
W-Msc-420751,Mollusca,phylum,6447
W-Msc-420751,Bivalvia,class,6544
W-Msc-420751,Pteriomorphia,subclass,6545
W-Msc-420751,Limoida,order,102300
W-Msc-420751,Limidae,family,102301
W-Msc-420751,Limaria,genus,106321
W-Msc-420751,Limaria pellucida,species,509972
W-Msc-197227,cellular organisms,no rank,131567
W-Msc-197227,Eukaryota,superkingdom,2759
W-Msc-197227,Opisthokonta,clade,33154
W-Msc-197227,Metazoa,kingdom,33208
W-Msc-197227,Eumetazoa,clade,6072
W-Msc-197227,Bilateria,clade,33213
W-Msc-197227,Protostomia,clade,33317
W-Msc-197227,Spiralia,clade,2697495
W-Msc-197227,Lophotrochozoa,clade,1206795
W-Msc-197227,Mollusca,phylum,6447
W-Msc-197227,Bivalvia,class,6544
W-Msc-197227,Pteriomorphia,subclass,6545
W-Msc-197227,Limoida,order,102300
W-Msc-197227,Limidae,family,102301
W-Msc-197227,Limatula,genus,182171
W-Msc-197227,Limatula hodgsoni,species,182174
SLB-103199,cellular organisms,no rank,131567
SLB-103199,Eukaryota,superkingdom,2759
SLB-103199,Opisthokonta,clade,33154
SLB-103199,Metazoa,kingdom,33208
SLB-103199,Eumetazoa,clade,6072
SLB-103199,Bilateria,clade,33213
SLB-103199,Protostomia,clade,33317
SLB-103199,Spiralia,clade,2697495
SLB-103199,Lophotrochozoa,clade,1206795
SLB-103199,Mollusca,phylum,6447
SLB-103199,Bivalvia,class,6544
SLB-103199,Pteriomorphia,subclass,6545
SLB-103199,Limoida,order,102300
SLB-103199,Limidae,family,102301
SLB-103199,Limatula,genus,182171
SLB-103199,Limatula pygmaea,species,182173
W-Msc-557157,cellular organisms,no rank,131567
W-Msc-557157,Eukaryota,superkingdom,2759
W-Msc-557157,Opisthokonta,clade,33154
W-Msc-557157,Metazoa,kingdom,33208
W-Msc-557157,Eumetazoa,clade,6072
W-Msc-557157,Bilateria,clade,33213
W-Msc-557157,Protostomia,clade,33317
W-Msc-557157,Spiralia,clade,2697495
W-Msc-557157,Lophotrochozoa,clade,1206795
W-Msc-557157,Mollusca,phylum,6447
W-Msc-557157,Gastropoda,class,6448
W-Msc-557157,Caenogastropoda,subclass,69555
W-Msc-557157,Littorinimorpha,order,216294
W-Msc-557157,Cypraeoidea,superfamily,69556
W-Msc-557157,Velutinidae,family,217735
W-Msc-557157,Limneria,genus,2172741
W-Msc-557157,Limneria prolongata,species,2172742
W-Msc-159903,cellular organisms,no rank,131567
W-Msc-159903,Eukaryota,superkingdom,2759
W-Msc-159903,Opisthokonta,clade,33154
W-Msc-159903,Metazoa,kingdom,33208
W-Msc-159903,Eumetazoa,clade,6072
W-Msc-159903,Bilateria,clade,33213
W-Msc-159903,Protostomia,clade,33317
W-Msc-159903,Spiralia,clade,2697495
W-Msc-159903,Lophotrochozoa,clade,1206795
W-Msc-159903,Mollusca,phylum,6447
W-Msc-159903,Gastropoda,class,6448
W-Msc-159903,Caenogastropoda,subclass,69555
W-Msc-159903,Littorinimorpha,order,216294
W-Msc-159903,Cypraeoidea,superfamily,69556
W-Msc-159903,Velutinidae,family,217735
W-Msc-159903,Limneria,genus,2172741
W-Msc-159903,Limneria undata,species,2461468
Fis-35565,cellular organisms,no rank,131567
Fis-35565,Eukaryota,superkingdom,2759
Fis-35565,Opisthokonta,clade,33154
Fis-35565,Metazoa,kingdom,33208
Fis-35565,Eumetazoa,clade,6072
Fis-35565,Bilateria,clade,33213
Fis-35565,Deuterostomia,clade,33511
Fis-35565,Chordata,phylum,7711
Fis-35565,Craniata,subphylum,89593
Fis-35565,Vertebrata,clade,7742
Fis-35565,Gnathostomata,clade,7776
Fis-35565,Teleostomi,clade,117570
Fis-35565,Euteleostomi,clade,117571
Fis-35565,Actinopterygii,superclass,7898
Fis-35565,Actinopteri,class,186623
Fis-35565,Neopterygii,subclass,41665
Fis-35565,Teleostei,infraclass,32443
Fis-35565,Osteoglossocephalai,clade,1489341
Fis-35565,Clupeocephala,no rank,186625
Fis-35565,Euteleosteomorpha,cohort,1489388
Fis-35565,Neoteleostei,clade,123365
Fis-35565,Eurypterygia,clade,123366
Fis-35565,Ctenosquamata,clade,123367
Fis-35565,Acanthomorphata,clade,123368
Fis-35565,Euacanthomorphacea,clade,123369
Fis-35565,Percomorphaceae,clade,1489872
Fis-35565,Eupercaria,clade,1489922
Fis-35565,Pempheriformes,order,1489939
Fis-35565,Creediidae,family,270598
Fis-35565,Limnichthys,genus,270599
Fis-35565,Limnichthys fasciatus,species,270600
Fis-50482,cellular organisms,no rank,131567
Fis-50482,Eukaryota,superkingdom,2759
Fis-50482,Opisthokonta,clade,33154
Fis-50482,Metazoa,kingdom,33208
Fis-50482,Eumetazoa,clade,6072
Fis-50482,Bilateria,clade,33213
Fis-50482,Deuterostomia,clade,33511
Fis-50482,Chordata,phylum,7711
Fis-50482,Craniata,subphylum,89593
Fis-50482,Vertebrata,clade,7742
Fis-50482,Gnathostomata,clade,7776
Fis-50482,Teleostomi,clade,117570
Fis-50482,Euteleostomi,clade,117571
Fis-50482,Actinopterygii,superclass,7898
Fis-50482,Actinopteri,class,186623
Fis-50482,Neopterygii,subclass,41665
Fis-50482,Teleostei,infraclass,32443
Fis-50482,Osteoglossocephalai,clade,1489341
Fis-50482,Clupeocephala,no rank,186625
Fis-50482,Euteleosteomorpha,cohort,1489388
Fis-50482,Neoteleostei,clade,123365
Fis-50482,Eurypterygia,clade,123366
Fis-50482,Ctenosquamata,clade,123367
Fis-50482,Acanthomorphata,clade,123368
Fis-50482,Euacanthomorphacea,clade,123369
Fis-50482,Percomorphaceae,clade,1489872
Fis-50482,Eupercaria,clade,1489922
Fis-50482,Pempheriformes,order,1489939
Fis-50482,Creediidae,family,270598
Fis-50482,Limnichthys,genus,270599
Fis-50482,Limnichthys nitidus,species,1003752
W-Oli-475801,cellular organisms,no rank,131567
W-Oli-475801,Eukaryota,superkingdom,2759
W-Oli-475801,Opisthokonta,clade,33154
W-Oli-475801,Metazoa,kingdom,33208
W-Oli-475801,Eumetazoa,clade,6072
W-Oli-475801,Bilateria,clade,33213
W-Oli-475801,Protostomia,clade,33317
W-Oli-475801,Spiralia,clade,2697495
W-Oli-475801,Lophotrochozoa,clade,1206795
W-Oli-475801,Annelida,phylum,6340
W-Oli-475801,Clitellata,class,42113
