iucn_sid,name,rank,id
48320496,cellular organisms,no rank,131567
48320496,Eukaryota,superkingdom,2759
48320496,Opisthokonta,clade,33154
48320496,Metazoa,kingdom,33208
48320496,Eumetazoa,clade,6072
48320496,Bilateria,clade,33213
48320496,Deuterostomia,clade,33511
48320496,Chordata,phylum,7711
48320496,Craniata,subphylum,89593
48320496,Vertebrata,clade,7742
48320496,Gnathostomata,clade,7776
48320496,Teleostomi,clade,117570
48320496,Euteleostomi,clade,117571
48320496,Actinopterygii,superclass,7898
48320496,Actinopteri,class,186623
48320496,Neopterygii,subclass,41665
48320496,Teleostei,infraclass,32443
48320496,Osteoglossocephalai,clade,1489341
48320496,Clupeocephala,no rank,186625
48320496,Euteleosteomorpha,cohort,1489388
48320496,Neoteleostei,clade,123365
48320496,Eurypterygia,clade,123366
48320496,Ctenosquamata,clade,123367
48320496,Acanthomorphata,clade,123368
48320496,Euacanthomorphacea,clade,123369
48320496,Percomorphaceae,clade,1489872
48320496,Ovalentaria,clade,1489908
48320496,Blenniimorphae,clade,1489920
48320496,Blenniiformes,order,1489921
48320496,Blennioidei,suborder,56717
48320496,Blenniidae,family,56718
48320496,Salariinae,subfamily,703913
48320496,Alloblennius,genus,1405690
48320496,Alloblennius pictus,species,1405691
48321090,cellular organisms,no rank,131567
48321090,Eukaryota,superkingdom,2759
48321090,Opisthokonta,clade,33154
48321090,Metazoa,kingdom,33208
48321090,Eumetazoa,clade,6072
48321090,Bilateria,clade,33213
48321090,Deuterostomia,clade,33511
48321090,Chordata,phylum,7711
48321090,Craniata,subphylum,89593
48321090,Vertebrata,clade,7742
48321090,Gnathostomata,clade,7776
48321090,Teleostomi,clade,117570
48321090,Euteleostomi,clade,117571
48321090,Actinopterygii,superclass,7898
48321090,Actinopteri,class,186623
48321090,Neopterygii,subclass,41665
48321090,Teleostei,infraclass,32443
48321090,Osteoglossocephalai,clade,1489341
48321090,Clupeocephala,no rank,186625
48321090,Euteleosteomorpha,cohort,1489388
48321090,Neoteleostei,clade,123365
48321090,Eurypterygia,clade,123366
48321090,Ctenosquamata,clade,123367
48321090,Acanthomorphata,clade,123368
48321090,Euacanthomorphacea,clade,123369
48321090,Percomorphaceae,clade,1489872
48321090,Ovalentaria,clade,1489908
48321090,Blenniimorphae,clade,1489920
48321090,Blenniiformes,order,1489921
48321090,Blennioidei,suborder,56717
48321090,Blenniidae,family,56718
48321090,Salariinae,subfamily,703913
48321090,Alticus,genus,879681
48321090,Alticus arnoldorum,species,1311411
48321151,cellular organisms,no rank,131567
48321151,Eukaryota,superkingdom,2759
48321151,Opisthokonta,clade,33154
48321151,Metazoa,kingdom,33208
48321151,Eumetazoa,clade,6072
48321151,Bilateria,clade,33213
48321151,Deuterostomia,clade,33511
48321151,Chordata,phylum,7711
48321151,Craniata,subphylum,89593
48321151,Vertebrata,clade,7742
48321151,Gnathostomata,clade,7776
48321151,Teleostomi,clade,117570
48321151,Euteleostomi,clade,117571
48321151,Actinopterygii,superclass,7898
48321151,Actinopteri,class,186623
48321151,Neopterygii,subclass,41665
48321151,Teleostei,infraclass,32443
48321151,Osteoglossocephalai,clade,1489341
48321151,Clupeocephala,no rank,186625
48321151,Euteleosteomorpha,cohort,1489388
48321151,Neoteleostei,clade,123365
48321151,Eurypterygia,clade,123366
48321151,Ctenosquamata,clade,123367
48321151,Acanthomorphata,clade,123368
48321151,Euacanthomorphacea,clade,123369
48321151,Percomorphaceae,clade,1489872
48321151,Ovalentaria,clade,1489908
48321151,Blenniimorphae,clade,1489920
48321151,Blenniiformes,order,1489921
48321151,Blennioidei,suborder,56717
48321151,Blenniidae,family,56718
48321151,Salariinae,subfamily,703913
48321151,Alticus,genus,879681
48321151,Alticus monochrus,species,1892325
48321178,cellular organisms,no rank,131567
48321178,Eukaryota,superkingdom,2759
48321178,Opisthokonta,clade,33154
48321178,Metazoa,kingdom,33208
48321178,Eumetazoa,clade,6072
48321178,Bilateria,clade,33213
48321178,Deuterostomia,clade,33511
48321178,Chordata,phylum,7711
48321178,Craniata,subphylum,89593
48321178,Vertebrata,clade,7742
48321178,Gnathostomata,clade,7776
48321178,Teleostomi,clade,117570
48321178,Euteleostomi,clade,117571
48321178,Actinopterygii,superclass,7898
48321178,Actinopteri,class,186623
48321178,Neopterygii,subclass,41665
48321178,Teleostei,infraclass,32443
48321178,Osteoglossocephalai,clade,1489341
48321178,Clupeocephala,no rank,186625
48321178,Euteleosteomorpha,cohort,1489388
48321178,Neoteleostei,clade,123365
48321178,Eurypterygia,clade,123366
48321178,Ctenosquamata,clade,123367
48321178,Acanthomorphata,clade,123368
48321178,Euacanthomorphacea,clade,123369
48321178,Percomorphaceae,clade,1489872
48321178,Ovalentaria,clade,1489908
48321178,Blenniimorphae,clade,1489920
48321178,Blenniiformes,order,1489921
48321178,Blennioidei,suborder,56717
48321178,Blenniidae,family,56718
48321178,Salariinae,subfamily,703913
48321178,Alticus,genus,879681
48321178,Alticus orientalis,species,2608408
48321187,cellular organisms,no rank,131567
48321187,Eukaryota,superkingdom,2759
48321187,Opisthokonta,clade,33154
48321187,Metazoa,kingdom,33208
48321187,Eumetazoa,clade,6072
48321187,Bilateria,clade,33213
48321187,Deuterostomia,clade,33511
48321187,Chordata,phylum,7711
48321187,Craniata,subphylum,89593
48321187,Vertebrata,clade,7742
48321187,Gnathostomata,clade,7776
48321187,Teleostomi,clade,117570
48321187,Euteleostomi,clade,117571
48321187,Actinopterygii,superclass,7898
48321187,Actinopteri,class,186623
48321187,Neopterygii,subclass,41665
48321187,Teleostei,infraclass,32443
48321187,Osteoglossocephalai,clade,1489341
48321187,Clupeocephala,no rank,186625
48321187,Euteleosteomorpha,cohort,1489388
48321187,Neoteleostei,clade,123365
48321187,Eurypterygia,clade,123366
48321187,Ctenosquamata,clade,123367
48321187,Acanthomorphata,clade,123368
48321187,Euacanthomorphacea,clade,123369
48321187,Percomorphaceae,clade,1489872
48321187,Ovalentaria,clade,1489908
48321187,Blenniimorphae,clade,1489920
48321187,Blenniiformes,order,1489921
48321187,Blennioidei,suborder,56717
48321187,Blenniidae,family,56718
48321187,Salariinae,subfamily,703913
48321187,Alticus,genus,879681
48321187,Alticus saliens,species,879682
48321557,cellular organisms,no rank,131567
48321557,Eukaryota,superkingdom,2759
48321557,Opisthokonta,clade,33154
48321557,Metazoa,kingdom,33208
48321557,Eumetazoa,clade,6072
48321557,Bilateria,clade,33213
48321557,Deuterostomia,clade,33511
48321557,Chordata,phylum,7711
48321557,Craniata,subphylum,89593
48321557,Vertebrata,clade,7742
48321557,Gnathostomata,clade,7776
48321557,Teleostomi,clade,117570
48321557,Euteleostomi,clade,117571
48321557,Actinopterygii,superclass,7898
48321557,Actinopteri,class,186623
48321557,Neopterygii,subclass,41665
48321557,Teleostei,infraclass,32443
48321557,Osteoglossocephalai,clade,1489341
48321557,Clupeocephala,no rank,186625
48321557,Euteleosteomorpha,cohort,1489388
48321557,Neoteleostei,clade,123365
48321557,Eurypterygia,clade,123366
48321557,Ctenosquamata,clade,123367
48321557,Acanthomorphata,clade,123368
48321557,Euacanthomorphacea,clade,123369
48321557,Percomorphaceae,clade,1489872
48321557,Ovalentaria,clade,1489908
48321557,Blenniimorphae,clade,1489920
48321557,Blenniiformes,order,1489921
48321557,Blennioidei,suborder,56717
48321557,Blenniidae,family,56718
48321557,Salariinae,subfamily,703913
48321557,Alticus,genus,879681
48321557,Alticus simplicirrus,species,1892326
48342089,cellular organisms,no rank,131567
48342089,Eukaryota,superkingdom,2759
48342089,Opisthokonta,clade,33154
48342089,Metazoa,kingdom,33208
48342089,Eumetazoa,clade,6072
48342089,Bilateria,clade,33213
48342089,Deuterostomia,clade,33511
48342089,Chordata,phylum,7711
48342089,Craniata,subphylum,89593
