sciname,aphia_id,valid_sciname
abdopus abaculus,534100,abdopus abaculus
abdopus aculeatus,409949,abdopus aculeatus
abdopus capricornicus,534116,abdopus capricornicus
abdopus horridus,535625,abdopus horridus
abdopus tenebricus,874525,abdopus tenebricus
abdopus tonganus,534519,abdopus tonganus
abdopus undulatus,409948,abdopus undulatus
abralia andamanica,341825,abralia andamanica
abralia armata,341826,abralia armata
abralia astrolineata,341827,abralia astrolineata
abralia astrosticta,341828,abralia astrosticta
abralia dubia,345306,abralia dubia
abralia fasciolata,341829,abralia fasciolata
abralia grimpei,341830,abralia grimpei
abralia heminuchalis,341831,abralia heminuchalis
abralia marisarabica,341834,abralia marisarabica
abralia multihamata,341836,abralia multihamata
abralia omiae,410324,abralia omiae
abralia redfieldi,341837,abralia redfieldi
abralia renschi,341838,abralia renschi
abralia robsoni,341839,abralia robsoni
abralia siedleckyi,341840,abralia siedleckyi
abralia similis,341841,abralia similis
abralia spaercki,341842,abralia spaercki
abralia steindachneri,341843,abralia steindachneri
abralia trigonura,341844,abralia trigonura
abralia veranyi,139688,abralia veranyi
abraliopsis affinis,341845,abraliopsis affinis
abraliopsis atlantica,341846,abraliopsis atlantica
abraliopsis chuni,341847,abraliopsis chuni
abraliopsis falco,341848,abraliopsis falco
abraliopsis felis,341849,abraliopsis felis
abraliopsis gilchristi,341850,abraliopsis gilchristi
abraliopsis hoylei,341851,abraliopsis hoylei
abraliopsis lineata,341852,abraliopsis lineata
abraliopsis morisii,237819,abraliopsis morisii
abraliopsis pacificus,341853,abraliopsis pacificus
abraliopsis tui,341854,abraliopsis tui
adelieledone adelieana,325317,adelieledone adelieana
adelieledone piatkowski,325318,adelieledone piatkowski
adelieledone polymorpha,325319,adelieledone polymorpha
adinaefiola aurantiaca,1437788,adinaefiola aurantiaca
adinaefiola ligulata,1437787,adinaefiola ligulata
adinaefiola pfefferi,1437789,adinaefiola pfefferi
afrololigo mercatoris,410041,afrololigo mercatoris
allonautilus scrobiculatus,342269,allonautilus scrobiculatus
alloteuthis africana,225555,alloteuthis africana
alloteuthis media,153134,alloteuthis media
alloteuthis subulata,153131,alloteuthis subulata
alluroteuthis antarcticus,325302,alluroteuthis antarcticus
ameloctopus litoralis,342270,ameloctopus litoralis
amphioctopus aegina,534097,amphioctopus aegina
amphioctopus arenicola,342271,amphioctopus arenicola
amphioctopus burryi,420653,amphioctopus burryi
amphioctopus exannulatus,535623,amphioctopus exannulatus
amphioctopus fangsiao,534733,amphioctopus fangsiao
amphioctopus kagoshimensis,534098,amphioctopus kagoshimensis
amphioctopus marginatus,534099,amphioctopus marginatus
amphioctopus membranaceus,535830,amphioctopus membranaceus
amphioctopus mototi,535841,amphioctopus mototi
amphioctopus neglectus,535842,amphioctopus neglectus
amphioctopus ovulum,534588,amphioctopus ovulum
amphioctopus polyzenia,534582,amphioctopus polyzenia
amphioctopus rex,534567,amphioctopus rex
amphioctopus robsoni,534563,amphioctopus robsoni
amphioctopus siamensis,534527,amphioctopus siamensis
amphioctopus varunae,534516,amphioctopus varunae
amphitretus pelagicus,342272,amphitretus pelagicus
amphitretus thielei,410335,amphitretus thielei
amphorateuthis alveatus,458637,amphorateuthis alveatus
ancistrocheirus lesueurii,138747,ancistrocheirus lesueurii
ancistroteuthis lichtensteinii,140647,ancistroteuthis lichtensteinii
architeuthis dux,342218,architeuthis dux
argonauta argo,138803,argonauta argo
argonauta hians,215276,argonauta hians
argonauta nodosus,1530663,argonauta nodosus
argonauta nouryi,341786,argonauta nouryi
asperoteuthis acanthoderma,342273,asperoteuthis acanthoderma
asperoteuthis lui,410336,asperoteuthis lui
asperoteuthis mangoldae,410337,asperoteuthis mangoldae
australiteuthis aldrichi,342275,australiteuthis aldrichi
austrorossia antillensis,342276,austrorossia antillensis
austrorossia australis,342277,austrorossia australis
austrorossia bipapillata,342278,austrorossia bipapillata
austrorossia enigmatica,342279,austrorossia enigmatica
austrorossia mastigophora,342280,austrorossia mastigophora
bathothauma lyromma,139422,bathothauma lyromma
bathypolypus arcticus,140596,bathypolypus arcticus
bathypolypus bairdii,157011,bathypolypus bairdii
bathypolypus ergasticus,527146,bathypolypus ergasticus
bathypolypus pugniger,181387,bathypolypus pugniger
bathypolypus rubrostictus,457664,bathypolypus rubrostictus
bathypolypus sponsalis,140598,bathypolypus sponsalis
bathypolypus valdiviae,341910,bathypolypus valdiviae
bathypurpurata profunda,325321,bathypurpurata profunda
bathyteuthis abyssicola,138848,bathyteuthis abyssicola
batoteuthis skolops,325293,batoteuthis skolops
bentheledone rotunda,342284,bentheledone rotunda
berryteuthis magister,342286,berryteuthis magister
boletzkyola knudseni,1437791,boletzkyola knudseni
bolitaena massyae,570537,bolitaena massyae
bolitaena pygmaea,410340,bolitaena pygmaea
brachioteuthis beanii,341792,brachioteuthis beanii
brachioteuthis behnii,341793,brachioteuthis behnii
brachioteuthis bowmani,341794,brachioteuthis bowmani
brachioteuthis linkovskyi,546736,brachioteuthis linkovskyi
brachioteuthis picta,341795,brachioteuthis picta
brachioteuthis riisei,138852,brachioteuthis riisei
callistoctopus alpheus,534104,callistoctopus alpheus
callistoctopus aspilosomatis,534106,callistoctopus aspilosomatis
callistoctopus bunurong,534111,callistoctopus bunurong
callistoctopus dierythraeus,534129,callistoctopus dierythraeus
callistoctopus graptus,535744,callistoctopus graptus
callistoctopus lechenaultii,535607,callistoctopus lechenaultii
callistoctopus luteus,535780,callistoctopus luteus
callistoctopus macropus,534558,callistoctopus macropus
callistoctopus nocturnus,535845,callistoctopus nocturnus
callistoctopus ornatus,534728,callistoctopus ornatus
callistoctopus rapanui,534572,callistoctopus rapanui
chiroteuthis calyx,341796,chiroteuthis calyx
chiroteuthis imperator,341798,chiroteuthis imperator
chiroteuthis joubini,341799,chiroteuthis joubini
chiroteuthis mega,394999,chiroteuthis mega
chiroteuthis picteti,139124,chiroteuthis picteti
chiroteuthis spoeli,395000,chiroteuthis spoeli
chiroteuthis veranii,139125,chiroteuthis veranii
chtenopteryx canariensis,410341,chtenopteryx canariensis
chtenopteryx sicula,181377,chtenopteryx sicula
cirroctopus glacialis,325315,cirroctopus glacialis
cirroteuthis muelleri,342212,cirroteuthis muelleri
cirrothauma magna,410348,cirrothauma magna
cirrothauma murrayi,139174,cirrothauma murrayi
cistopus chinensis,595226,cistopus chinensis
cistopus indicus,220324,cistopus indicus
cistopus platinoidus,866595,cistopus platinoidus
cistopus taiwanicus,457653,cistopus taiwanicus
cranchia scabra,181386,cranchia scabra
cryptoteuthis brevibracchiata,396052,cryptoteuthis brevibracchiata
cycloteuthis akimushkini,341824,cycloteuthis akimushkini
cycloteuthis sirventi,139472,cycloteuthis sirventi
discoteuthis discus,342234,discoteuthis discus
discoteuthis laciniosa,196595,discoteuthis laciniosa
doryteuthis gahi,574538,doryteuthis gahi
doryteuthis ocula,574539,doryteuthis ocula
doryteuthis opalescens,574540,doryteuthis opalescens
doryteuthis pealeii,574541,doryteuthis pealeii
doryteuthis pleii,574543,doryteuthis pleii
doryteuthis roperi,574544,doryteuthis roperi
doryteuthis sanpaulensis,574545,doryteuthis sanpaulensis
doryteuthis surinamensis,574542,doryteuthis surinamensis
dosidicus gigas,342291,dosidicus gigas
echinoteuthis danae,759127,echinoteuthis danae
egea inermis,342293,egea inermis
eledone caparti,341933,eledone caparti
eledone cirrhosa,140600,eledone cirrhosa
